date and time,magnitude of depth averaged velocity (m/s)
2019-01-01 00:00:00,              0
2019-01-01 01:00:00,      0.0241513
2019-01-01 02:00:00,      0.0986884
2019-01-01 03:00:00,      0.0775034
2019-01-01 04:00:00,      0.0750981
2019-01-01 05:00:00,     0.00126871
2019-01-01 06:00:00,      0.0332948
2019-01-01 07:00:00,      0.0474062
2019-01-01 08:00:00,      0.0365638
2019-01-01 09:00:00,     0.00589718
2019-01-01 10:00:00,      0.0203763
2019-01-01 11:00:00,      0.0515832
2019-01-01 12:00:00,      0.0272839
2019-01-01 13:00:00,      0.0372554
2019-01-01 14:00:00,     0.00349863
2019-01-01 15:00:00,     0.00818564
2019-01-01 16:00:00,      0.0245618
2019-01-01 17:00:00,      0.0118938
2019-01-01 18:00:00,      0.0199477
2019-01-01 19:00:00,      0.0305535
2019-01-01 20:00:00,     0.00679909
2019-01-01 21:00:00,      0.0230765
2019-01-01 22:00:00,     0.00943679
2019-01-01 23:00:00,      0.0191036
2019-01-02 00:00:00,      0.0222366
2019-01-02 01:00:00,     0.00981246
2019-01-02 02:00:00,      0.0098782
2019-01-02 03:00:00,      0.0113251
2019-01-02 04:00:00,     0.00982399
2019-01-02 05:00:00,     0.00383853
2019-01-02 06:00:00,     0.00923331
2019-01-02 07:00:00,      0.0113483
2019-01-02 08:00:00,      0.0195343
2019-01-02 09:00:00,      0.0100073
2019-01-02 10:00:00,      0.0155626
2019-01-02 11:00:00,      0.0179458
2019-01-02 12:00:00,      0.0227935
2019-01-02 13:00:00,      0.0236027
2019-01-02 14:00:00,      0.0124262
2019-01-02 15:00:00,     0.00671598
2019-01-02 16:00:00,     0.00547423
2019-01-02 17:00:00,     0.00630424
2019-01-02 18:00:00,      0.0135939
2019-01-02 19:00:00,      0.0089815
2019-01-02 20:00:00,      0.0161934
2019-01-02 21:00:00,      0.0107798
2019-01-02 22:00:00,      0.0108023
2019-01-02 23:00:00,      0.0132603
2019-01-03 00:00:00,      0.0115613
2019-01-03 01:00:00,      0.0133953
2019-01-03 02:00:00,     0.00876724
2019-01-03 03:00:00,      0.0110846
2019-01-03 04:00:00,      0.0211681
2019-01-03 05:00:00,       0.022728
2019-01-03 06:00:00,      0.0209683
2019-01-03 07:00:00,      0.0139416
2019-01-03 08:00:00,     0.00850845
2019-01-03 09:00:00,     0.00599913
