date and time,x component of depth averaged velocity (m/s)
2019-01-01 00:00:00,              0
2019-01-01 01:00:00,     0.00224364
2019-01-01 02:00:00,     -0.0154963
2019-01-01 03:00:00,       0.106444
2019-01-01 04:00:00,     -0.0351814
2019-01-01 05:00:00,      0.0513696
2019-01-01 06:00:00,      0.0072931
2019-01-01 07:00:00,      0.0388201
2019-01-01 08:00:00,      0.0445119
2019-01-01 09:00:00,      0.0114567
2019-01-01 10:00:00,      -0.025728
2019-01-01 11:00:00,     0.00301833
2019-01-01 12:00:00,     -0.0565133
2019-01-01 13:00:00,     -0.0267334
2019-01-01 14:00:00,     -0.0368147
2019-01-01 15:00:00,    0.000647105
2019-01-01 16:00:00,     0.00495233
2019-01-01 17:00:00,    -0.00750074
2019-01-01 18:00:00,    -0.00818316
2019-01-01 19:00:00,    -0.00663655
2019-01-01 20:00:00,      -0.016226
2019-01-01 21:00:00,    -0.00766761
2019-01-01 22:00:00,     -0.0379965
2019-01-01 23:00:00,     -0.0685794
2019-01-02 00:00:00,      -0.061856
2019-01-02 01:00:00,     -0.0664652
2019-01-02 02:00:00,     -0.0420943
2019-01-02 03:00:00,     -0.0236261
2019-01-02 04:00:00,      0.0089345
2019-01-02 05:00:00,      0.0155322
2019-01-02 06:00:00,      0.0173693
2019-01-02 07:00:00,      0.0176065
2019-01-02 08:00:00,      0.0251972
2019-01-02 09:00:00,     0.00654658
2019-01-02 10:00:00,     0.00829904
2019-01-02 11:00:00,     -0.0270645
2019-01-02 12:00:00,     -0.0418123
2019-01-02 13:00:00,     -0.0495702
2019-01-02 14:00:00,     -0.0276909
2019-01-02 15:00:00,     -0.0144904
2019-01-02 16:00:00,      0.0166282
2019-01-02 17:00:00,      0.0261035
2019-01-02 18:00:00,      0.0358648
2019-01-02 19:00:00,       0.020156
2019-01-02 20:00:00,      0.0224392
2019-01-02 21:00:00,     0.00502635
2019-01-02 22:00:00,    -0.00744583
2019-01-02 23:00:00,     -0.0311455
2019-01-03 00:00:00,     -0.0503191
2019-01-03 01:00:00,     -0.0642747
2019-01-03 02:00:00,      -0.048676
2019-01-03 03:00:00,     -0.0245076
2019-01-03 04:00:00,     0.00877916
2019-01-03 05:00:00,      0.0332381
2019-01-03 06:00:00,      0.0507154
2019-01-03 07:00:00,      0.0464748
2019-01-03 08:00:00,      0.0398465
2019-01-03 09:00:00,      0.0305293
2019-01-03 10:00:00,      0.0173537
2019-01-03 11:00:00,   -0.000855138
2019-01-03 12:00:00,     -0.0202323
2019-01-03 13:00:00,     -0.0338968
2019-01-03 14:00:00,     -0.0332814
2019-01-03 15:00:00,     -0.0119794
2019-01-03 16:00:00,      0.0192156
2019-01-03 17:00:00,      0.0474195
2019-01-03 18:00:00,      0.0597851
2019-01-03 19:00:00,      0.0590327
2019-01-03 20:00:00,      0.0445114
2019-01-03 21:00:00,      0.0276812
2019-01-03 22:00:00,     0.00761431
2019-01-03 23:00:00,     -0.0133396
2019-01-04 00:00:00,     -0.0373762
2019-01-04 01:00:00,     -0.0526421
2019-01-04 02:00:00,     -0.0575476
2019-01-04 03:00:00,     -0.0415964
2019-01-04 04:00:00,     -0.0107769
2019-01-04 05:00:00,      0.0275685
2019-01-04 06:00:00,      0.0573285
2019-01-04 07:00:00,       0.080839
2019-01-04 08:00:00,      0.0859113
2019-01-04 09:00:00,      0.0806893
2019-01-04 10:00:00,       0.066385
2019-01-04 11:00:00,      0.0554645
2019-01-04 12:00:00,      0.0405013
2019-01-04 13:00:00,      0.0238516
2019-01-04 14:00:00,      0.0153254
2019-01-04 15:00:00,      0.0223774
2019-01-04 16:00:00,      0.0460955
2019-01-04 17:00:00,      0.0784969
2019-01-04 18:00:00,      0.0953416
2019-01-04 19:00:00,      0.0930872
2019-01-04 20:00:00,       0.073892
2019-01-04 21:00:00,      0.0481126
2019-01-04 22:00:00,       0.015971
2019-01-04 23:00:00,     -0.0169127
2019-01-05 00:00:00,     -0.0462675
2019-01-05 01:00:00,     -0.0714545
2019-01-05 02:00:00,     -0.0868839
2019-01-05 03:00:00,     -0.0846249
2019-01-05 04:00:00,     -0.0627969
2019-01-05 05:00:00,     -0.0273199
2019-01-05 06:00:00,      0.0113514
2019-01-05 07:00:00,      0.0340746
2019-01-05 08:00:00,      0.0337902
2019-01-05 09:00:00,       0.016456
2019-01-05 10:00:00,    -0.00554152
2019-01-05 11:00:00,     -0.0273611
2019-01-05 12:00:00,     -0.0460932
2019-01-05 13:00:00,      -0.061473
2019-01-05 14:00:00,     -0.0717928
2019-01-05 15:00:00,     -0.0701389
2019-01-05 16:00:00,     -0.0486901
2019-01-05 17:00:00,     -0.0117153
2019-01-05 18:00:00,      0.0322063
2019-01-05 19:00:00,      0.0626094
2019-01-05 20:00:00,      0.0663443
