date and time,y component of depth averaged velocity (m/s)
2019-01-01 00:00:00,              0
2019-01-01 01:00:00,      -0.011624
2019-01-01 02:00:00,       0.045453
2019-01-01 03:00:00,      0.0379501
2019-01-01 04:00:00,      0.0356993
2019-01-01 05:00:00,     -0.0206542
2019-01-01 06:00:00,    -0.00294415
2019-01-01 07:00:00,      0.0133366
2019-01-01 08:00:00,    0.000985417
2019-01-01 09:00:00,    -0.00935197
2019-01-01 10:00:00,     0.00871739
2019-01-01 11:00:00,    -0.00634348
2019-01-01 12:00:00,      0.0119355
2019-01-01 13:00:00,     0.00968623
2019-01-01 14:00:00,     0.00499611
2019-01-01 15:00:00,     0.00559877
2019-01-01 16:00:00,      0.0207318
2019-01-01 17:00:00,     0.00984934
2019-01-01 18:00:00,     -0.0155659
2019-01-01 19:00:00,     -0.0126908
2019-01-01 20:00:00,    -0.00215549
2019-01-01 21:00:00,      -0.019785
2019-01-01 22:00:00,     -0.0220136
2019-01-01 23:00:00,      -0.013406
2019-01-02 00:00:00,     -0.0270326
2019-01-02 01:00:00,     -0.0212986
2019-01-02 02:00:00,     -0.0128742
2019-01-02 03:00:00,    -0.00843937
2019-01-02 04:00:00,     -0.0111105
2019-01-02 05:00:00,     0.00527651
2019-01-02 06:00:00,     0.00250782
2019-01-02 07:00:00,     -0.0071201
2019-01-02 08:00:00,    -0.00775708
2019-01-02 09:00:00,     0.00433308
2019-01-02 10:00:00,    -0.00639858
2019-01-02 11:00:00,    -0.00834533
2019-01-02 12:00:00,    -0.00976827
2019-01-02 13:00:00,     -0.0146286
2019-01-02 14:00:00,     -0.0203101
2019-01-02 15:00:00,    -0.00715871
2019-01-02 16:00:00,    -0.00677794
2019-01-02 17:00:00,    -0.00387736
2019-01-02 18:00:00,   -0.000137535
2019-01-02 19:00:00,     0.00467604
2019-01-02 20:00:00,     -0.0047595
2019-01-02 21:00:00,    0.000503768
2019-01-02 22:00:00,     0.00304576
2019-01-02 23:00:00,    -0.00117748
2019-01-03 00:00:00,    -0.00781263
2019-01-03 01:00:00,    -0.00852161
2019-01-03 02:00:00,     -0.0128415
2019-01-03 03:00:00,     -0.0104223
2019-01-03 04:00:00,    -0.00352721
2019-01-03 05:00:00,    0.000326555
2019-01-03 06:00:00,    0.000767588
2019-01-03 07:00:00,      0.0079013
2019-01-03 08:00:00,      0.0118215
2019-01-03 09:00:00,      0.0106666
2019-01-03 10:00:00,      0.0118081
2019-01-03 11:00:00,      0.0134156
2019-01-03 12:00:00,     0.00847793
2019-01-03 13:00:00,     0.00428436
2019-01-03 14:00:00,      0.0041173
2019-01-03 15:00:00,     0.00196511
2019-01-03 16:00:00,     0.00348025
2019-01-03 17:00:00,     0.00828018
2019-01-03 18:00:00,      0.0146818
2019-01-03 19:00:00,      0.0162244
2019-01-03 20:00:00,       0.016027
2019-01-03 21:00:00,      0.0128539
2019-01-03 22:00:00,     0.00924445
2019-01-03 23:00:00,     0.00849554
2019-01-04 00:00:00,     0.00929148
2019-01-04 01:00:00,     0.00575306
2019-01-04 02:00:00,     0.00419843
2019-01-04 03:00:00,     0.00382339
2019-01-04 04:00:00,     0.00592782
2019-01-04 05:00:00,     0.00880587
2019-01-04 06:00:00,      0.0147718
2019-01-04 07:00:00,      0.0227667
2019-01-04 08:00:00,      0.0280589
2019-01-04 09:00:00,      0.0247607
2019-01-04 10:00:00,      0.0215531
2019-01-04 11:00:00,      0.0178423
2019-01-04 12:00:00,      0.0177548
2019-01-04 13:00:00,      0.0173346
2019-01-04 14:00:00,      0.0152848
2019-01-04 15:00:00,      0.0144697
2019-01-04 16:00:00,      0.0177313
2019-01-04 17:00:00,      0.0213319
2019-01-04 18:00:00,      0.0305498
2019-01-04 19:00:00,      0.0344546
2019-01-04 20:00:00,      0.0280018
2019-01-04 21:00:00,      0.0175175
2019-01-04 22:00:00,     0.00974787
2019-01-04 23:00:00,     0.00551855
2019-01-05 00:00:00,     0.00236823
2019-01-05 01:00:00,    0.000798817
2019-01-05 02:00:00,    0.000586886
2019-01-05 03:00:00,     0.00191735
2019-01-05 04:00:00,     0.00411471
2019-01-05 05:00:00,     0.00744352
2019-01-05 06:00:00,      0.0115642
2019-01-05 07:00:00,      0.0140652
2019-01-05 08:00:00,      0.0146768
2019-01-05 09:00:00,      0.0115994
2019-01-05 10:00:00,     0.00559903
2019-01-05 11:00:00,     0.00159345
2019-01-05 12:00:00,   -0.000363671
2019-01-05 13:00:00,    -0.00229273
2019-01-05 14:00:00,    -0.00405231
2019-01-05 15:00:00,    -0.00317875
2019-01-05 16:00:00,    -0.00323732
2019-01-05 17:00:00,    0.000247388
2019-01-05 18:00:00,      0.0046885
2019-01-05 19:00:00,      0.0130255
2019-01-05 20:00:00,      0.0222961
2019-01-05 21:00:00,      0.0225319
2019-01-05 22:00:00,      0.0139998
2019-01-05 23:00:00,     0.00617091
2019-01-06 00:00:00,      0.0025391
2019-01-06 01:00:00,   -0.000184312
2019-01-06 02:00:00,    -0.00479774
2019-01-06 03:00:00,      -0.008766
2019-01-06 04:00:00,    -0.00884158
2019-01-06 05:00:00,     -0.0070419
2019-01-06 06:00:00,    -0.00268457
2019-01-06 07:00:00,     0.00245526
2019-01-06 08:00:00,     0.00936408
2019-01-06 09:00:00,      0.0138169
2019-01-06 10:00:00,     0.00933523
2019-01-06 11:00:00,     0.00172554
2019-01-06 12:00:00,    -0.00326734
2019-01-06 13:00:00,    -0.00628664
2019-01-06 14:00:00,    -0.00904227
2019-01-06 15:00:00,     -0.0123021
2019-01-06 16:00:00,     -0.0121986
2019-01-06 17:00:00,    -0.00899082
2019-01-06 18:00:00,    -0.00400801
2019-01-06 19:00:00,     0.00154676
2019-01-06 20:00:00,      0.0137438
2019-01-06 21:00:00,       0.020534
2019-01-06 22:00:00,      0.0151729
2019-01-06 23:00:00,     0.00636266
2019-01-07 00:00:00,     0.00158014
2019-01-07 01:00:00,   -0.000530394
2019-01-07 02:00:00,    -0.00216415
2019-01-07 03:00:00,    -0.00479073
2019-01-07 04:00:00,    -0.00614206
2019-01-07 05:00:00,    -0.00481762
2019-01-07 06:00:00,    -0.00111139
2019-01-07 07:00:00,     0.00384166
2019-01-07 08:00:00,      0.0144383
2019-01-07 09:00:00,      0.0261068
2019-01-07 10:00:00,      0.0257009
2019-01-07 11:00:00,      0.0169831
2019-01-07 12:00:00,      0.0103842
2019-01-07 13:00:00,     0.00880624
2019-01-07 14:00:00,     0.00958333
2019-01-07 15:00:00,     0.00970524
2019-01-07 16:00:00,     0.00789698
2019-01-07 17:00:00,      0.0066109
2019-01-07 18:00:00,     0.00786009
2019-01-07 19:00:00,      0.0140042
2019-01-07 20:00:00,      0.0280237
2019-01-07 21:00:00,      0.0377119
2019-01-07 22:00:00,      0.0304842
2019-01-07 23:00:00,      0.0186262
2019-01-08 00:00:00,      0.0097579
2019-01-08 01:00:00,     0.00715971
2019-01-08 02:00:00,      0.0089409
2019-01-08 03:00:00,      0.0101169
2019-01-08 04:00:00,     0.00917882
2019-01-08 05:00:00,     0.00723172
2019-01-08 06:00:00,     0.00639861
2019-01-08 07:00:00,     0.00918388
2019-01-08 08:00:00,       0.013094
2019-01-08 09:00:00,      0.0207085
2019-01-08 10:00:00,      0.0242545
2019-01-08 11:00:00,      0.0168245
2019-01-08 12:00:00,     0.00708937
2019-01-08 13:00:00,     0.00180641
2019-01-08 14:00:00,     0.00040556
2019-01-08 15:00:00,   -0.000263109
2019-01-08 16:00:00,    -0.00202327
2019-01-08 17:00:00,    -0.00302596
2019-01-08 18:00:00,     -0.0028228
2019-01-08 19:00:00,   -0.000934754
2019-01-08 20:00:00,     0.00384705
2019-01-08 21:00:00,      0.0223086
2019-01-08 22:00:00,      0.0325444
2019-01-08 23:00:00,       0.026111
2019-01-09 00:00:00,      0.0153038
2019-01-09 01:00:00,     0.00899664
2019-01-09 02:00:00,     0.00806988
2019-01-09 03:00:00,     0.00869496
2019-01-09 04:00:00,     0.00719852
2019-01-09 05:00:00,     0.00338781
2019-01-09 06:00:00,   -9.65738e-05
2019-01-09 07:00:00,   -0.000590758
2019-01-09 08:00:00,     0.00187707
2019-01-09 09:00:00,      0.0106873
2019-01-09 10:00:00,      0.0262296
2019-01-09 11:00:00,       0.028122
2019-01-09 12:00:00,      0.0188124
2019-01-09 13:00:00,      0.0112772
2019-01-09 14:00:00,     0.00959932
2019-01-09 15:00:00,      0.0120239
2019-01-09 16:00:00,      0.0141091
2019-01-09 17:00:00,      0.0128671
2019-01-09 18:00:00,     0.00897671
2019-01-09 19:00:00,     0.00751787
2019-01-09 20:00:00,     0.00990844
2019-01-09 21:00:00,      0.0219451
2019-01-09 22:00:00,      0.0365351
2019-01-09 23:00:00,      0.0334921
2019-01-10 00:00:00,      0.0205246
2019-01-10 01:00:00,      0.0103538
2019-01-10 02:00:00,     0.00770575
2019-01-10 03:00:00,        0.01033
2019-01-10 04:00:00,      0.0135813
2019-01-10 05:00:00,      0.0128965
2019-01-10 06:00:00,     0.00910217
2019-01-10 07:00:00,     0.00436827
2019-01-10 08:00:00,     0.00384612
2019-01-10 09:00:00,     0.00655355
2019-01-10 10:00:00,       0.012384
2019-01-10 11:00:00,      0.0186427
2019-01-10 12:00:00,      0.0164831
2019-01-10 13:00:00,     0.00781442
2019-01-10 14:00:00,     0.00260679
2019-01-10 15:00:00,     0.00248667
2019-01-10 16:00:00,     0.00407305
2019-01-10 17:00:00,     0.00377359
2019-01-10 18:00:00,     0.00054007
2019-01-10 19:00:00,    -0.00365424
2019-01-10 20:00:00,    -0.00478307
2019-01-10 21:00:00,    -0.00142681
2019-01-10 22:00:00,      0.0176249
2019-01-10 23:00:00,      0.0331832
2019-01-11 00:00:00,      0.0296376
2019-01-11 01:00:00,      0.0190668
2019-01-11 02:00:00,        0.01205
2019-01-11 03:00:00,      0.0113039
2019-01-11 04:00:00,      0.0153406
2019-01-11 05:00:00,      0.0176584
2019-01-11 06:00:00,      0.0152859
2019-01-11 07:00:00,     0.00980176
2019-01-11 08:00:00,     0.00651677
2019-01-11 09:00:00,     0.00816353
2019-01-11 10:00:00,      0.0137489
2019-01-11 11:00:00,      0.0240093
2019-01-11 12:00:00,      0.0243766
2019-01-11 13:00:00,      0.0147029
2019-01-11 14:00:00,     0.00689226
2019-01-11 15:00:00,     0.00659873
