date and time,y component of depth averaged velocity (m/s)
2019-01-01 00:00:00,              0
2019-01-01 01:00:00,     -0.0239401
2019-01-01 02:00:00,      0.0954382
2019-01-01 03:00:00,     -0.0774411
2019-01-01 04:00:00,      0.0608259
2019-01-01 05:00:00,   -0.000489011
2019-01-01 06:00:00,    -0.00707859
2019-01-01 07:00:00,    -0.00188751
2019-01-01 08:00:00,     -0.0260182
2019-01-01 09:00:00,    -0.00367912
2019-01-01 10:00:00,      0.0202937
2019-01-01 11:00:00,     -0.0458386
2019-01-01 12:00:00,      0.0222677
2019-01-01 13:00:00,     -0.0281996
2019-01-01 14:00:00,   -0.000208514
2019-01-01 15:00:00,     0.00786698
2019-01-01 16:00:00,     -0.0111617
2019-01-01 17:00:00,     0.00779641
2019-01-01 18:00:00,     -0.0114906
2019-01-01 19:00:00,     -0.0231845
2019-01-01 20:00:00,    -0.00536293
2019-01-01 21:00:00,     -0.0206497
2019-01-01 22:00:00,     0.00180454
2019-01-01 23:00:00,     0.00895837
2019-01-02 00:00:00,     -0.0170245
2019-01-02 01:00:00,     0.00416612
2019-01-02 02:00:00,    -0.00428413
2019-01-02 03:00:00,     0.00898556
2019-01-02 04:00:00,     0.00131595
2019-01-02 05:00:00,     0.00221582
2019-01-02 06:00:00,    -0.00785041
2019-01-02 07:00:00,     -0.0104248
2019-01-02 08:00:00,     -0.0171234
2019-01-02 09:00:00,    -0.00143932
2019-01-02 10:00:00,     -0.0110067
2019-01-02 11:00:00,     0.00111713
2019-01-02 12:00:00,     -0.0061063
2019-01-02 13:00:00,   -2.48963e-05
2019-01-02 14:00:00,    -0.00588501
2019-01-02 15:00:00,     0.00333818
2019-01-02 16:00:00,    -0.00411605
2019-01-02 17:00:00,   -0.000891071
2019-01-02 18:00:00,     -0.0132184
2019-01-02 19:00:00,    -0.00760383
2019-01-02 20:00:00,     -0.0152532
2019-01-02 21:00:00,    -0.00784336
2019-01-02 22:00:00,    -0.00698239
2019-01-02 23:00:00,     0.00248665
2019-01-03 00:00:00,     0.00168394
2019-01-03 01:00:00,     0.00792815
2019-01-03 02:00:00,     0.00608495
2019-01-03 03:00:00,     0.00838446
2019-01-03 04:00:00,     0.00673003
2019-01-03 05:00:00,     0.00667365
2019-01-03 06:00:00,     0.00234856
2019-01-03 07:00:00,    -0.00188095
2019-01-03 08:00:00,    -0.00520518
2019-01-03 09:00:00,    -0.00597949
2019-01-03 10:00:00,    -0.00552817
2019-01-03 11:00:00,    0.000640412
2019-01-03 12:00:00,     0.00537315
2019-01-03 13:00:00,     0.00616121
2019-01-03 14:00:00,     0.00751772
2019-01-03 15:00:00,     0.00580706
2019-01-03 16:00:00,     0.00724121
2019-01-03 17:00:00,     0.00490266
2019-01-03 18:00:00,     0.00309466
2019-01-03 19:00:00,    -0.00336892
2019-01-03 20:00:00,    -0.00805868
2019-01-03 21:00:00,     -0.0109327
2019-01-03 22:00:00,    -0.00724164
2019-01-03 23:00:00,     -0.0023073
2019-01-04 00:00:00,     0.00601637
2019-01-04 01:00:00,     0.00882524
2019-01-04 02:00:00,      0.0122564
2019-01-04 03:00:00,      0.0126301
2019-01-04 04:00:00,      0.0140173
2019-01-04 05:00:00,      0.0117769
2019-01-04 06:00:00,      0.0130663
2019-01-04 07:00:00,      0.0143429
2019-01-04 08:00:00,      0.0177777
2019-01-04 09:00:00,      0.0164084
2019-01-04 10:00:00,      0.0170716
2019-01-04 11:00:00,      0.0218284
2019-01-04 12:00:00,      0.0276388
2019-01-04 13:00:00,      0.0284175
2019-01-04 14:00:00,      0.0276883
2019-01-04 15:00:00,      0.0255758
2019-01-04 16:00:00,      0.0237919
2019-01-04 17:00:00,      0.0177892
2019-01-04 18:00:00,      0.0136344
2019-01-04 19:00:00,     0.00511324
2019-01-04 20:00:00,    -0.00164022
2019-01-04 21:00:00,    -0.00824487
2019-01-04 22:00:00,     -0.0114443
2019-01-04 23:00:00,    -0.00915018
2019-01-05 00:00:00,     -0.0039649
2019-01-05 01:00:00,     0.00262995
2019-01-05 02:00:00,     0.00618884
2019-01-05 03:00:00,     0.00718837
2019-01-05 04:00:00,     0.00784901
2019-01-05 05:00:00,     0.00718122
2019-01-05 06:00:00,     0.00484743
2019-01-05 07:00:00,     0.00313361
2019-01-05 08:00:00,    -0.00246094
2019-01-05 09:00:00,    -0.00642523
2019-01-05 10:00:00,    -0.00911813
2019-01-05 11:00:00,    -0.00791836
2019-01-05 12:00:00,    -0.00232503
2019-01-05 13:00:00,     0.00403138
2019-01-05 14:00:00,       0.008132
2019-01-05 15:00:00,      0.0105372
2019-01-05 16:00:00,     0.00884274
2019-01-05 17:00:00,     0.00859623
2019-01-05 18:00:00,     0.00598144
2019-01-05 19:00:00,     0.00293221
2019-01-05 20:00:00,    -0.00203627
2019-01-05 21:00:00,    -0.00834643
2019-01-05 22:00:00,     -0.0123393
2019-01-05 23:00:00,     -0.0134653
2019-01-06 00:00:00,    -0.00997761
2019-01-06 01:00:00,    -0.00309583
2019-01-06 02:00:00,     0.00216538
2019-01-06 03:00:00,     0.00446436
2019-01-06 04:00:00,     0.00475047
2019-01-06 05:00:00,     0.00271404
2019-01-06 06:00:00,    0.000836049
2019-01-06 07:00:00,    -0.00232231
2019-01-06 08:00:00,    -0.00751777
2019-01-06 09:00:00,      -0.012773
2019-01-06 10:00:00,     -0.0190237
2019-01-06 11:00:00,     -0.0206233
2019-01-06 12:00:00,     -0.0184046
2019-01-06 13:00:00,     -0.0117704
2019-01-06 14:00:00,    -0.00384781
2019-01-06 15:00:00,    0.000231884
2019-01-06 16:00:00,     0.00222173
2019-01-06 17:00:00,      0.0015356
2019-01-06 18:00:00,    5.14309e-05
2019-01-06 19:00:00,   -0.000463796
2019-01-06 20:00:00,    -0.00267716
2019-01-06 21:00:00,    -0.00528269
2019-01-06 22:00:00,    -0.00884769
2019-01-06 23:00:00,     -0.0112052
2019-01-07 00:00:00,    -0.00684405
2019-01-07 01:00:00,     9.2971e-05
2019-01-07 02:00:00,     0.00901689
2019-01-07 03:00:00,      0.0160808
2019-01-07 04:00:00,      0.0181814
2019-01-07 05:00:00,      0.0180161
2019-01-07 06:00:00,      0.0156105
2019-01-07 07:00:00,       0.013683
2019-01-07 08:00:00,      0.0110341
2019-01-07 09:00:00,     0.00606106
2019-01-07 10:00:00,   -0.000141577
2019-01-07 11:00:00,    -0.00609817
2019-01-07 12:00:00,     -0.0082711
2019-01-07 13:00:00,    -0.00608745
2019-01-07 14:00:00,    0.000293253
2019-01-07 15:00:00,     0.00635426
2019-01-07 16:00:00,     0.00854728
2019-01-07 17:00:00,     0.00651822
2019-01-07 18:00:00,     0.00486368
2019-01-07 19:00:00,     0.00221782
2019-01-07 20:00:00,     0.00132247
2019-01-07 21:00:00,    -0.00134048
2019-01-07 22:00:00,    -0.00513391
2019-01-07 23:00:00,      -0.009463
2019-01-08 00:00:00,     -0.0109961
2019-01-08 01:00:00,    -0.00631739
2019-01-08 02:00:00,     0.00198304
2019-01-08 03:00:00,      0.0115316
2019-01-08 04:00:00,       0.016512
2019-01-08 05:00:00,      0.0173832
2019-01-08 06:00:00,       0.015315
2019-01-08 07:00:00,      0.0137882
2019-01-08 08:00:00,      0.0109825
2019-01-08 09:00:00,     0.00932088
2019-01-08 10:00:00,     0.00481294
2019-01-08 11:00:00,   -0.000660461
2019-01-08 12:00:00,    -0.00372947
2019-01-08 13:00:00,    -0.00242974
2019-01-08 14:00:00,     0.00346119
2019-01-08 15:00:00,      0.0104538
2019-01-08 16:00:00,       0.015684
2019-01-08 17:00:00,       0.017141
2019-01-08 18:00:00,      0.0144221
2019-01-08 19:00:00,      0.0117916
2019-01-08 20:00:00,     0.00898446
2019-01-08 21:00:00,     0.00640755
2019-01-08 22:00:00,     0.00451929
2019-01-08 23:00:00,    4.78921e-05
2019-01-09 00:00:00,     -0.0029898
2019-01-09 01:00:00,    -0.00258542
2019-01-09 02:00:00,     0.00394872
2019-01-09 03:00:00,      0.0142016
2019-01-09 04:00:00,      0.0231102
2019-01-09 05:00:00,      0.0272702
2019-01-09 06:00:00,      0.0259184
2019-01-09 07:00:00,      0.0227736
2019-01-09 08:00:00,      0.0223702
2019-01-09 09:00:00,      0.0217896
2019-01-09 10:00:00,      0.0197523
2019-01-09 11:00:00,      0.0163546
2019-01-09 12:00:00,      0.0110857
2019-01-09 13:00:00,     0.00886795
2019-01-09 14:00:00,      0.0110389
2019-01-09 15:00:00,      0.0176046
2019-01-09 16:00:00,      0.0251348
2019-01-09 17:00:00,      0.0289255
2019-01-09 18:00:00,      0.0254826
2019-01-09 19:00:00,      0.0209355
2019-01-09 20:00:00,      0.0169508
2019-01-09 21:00:00,      0.0135491
2019-01-09 22:00:00,      0.0116536
2019-01-09 23:00:00,     0.00754176
2019-01-10 00:00:00,      0.0022409
2019-01-10 01:00:00,     -0.0011588
2019-01-10 02:00:00,    0.000797676
2019-01-10 03:00:00,     0.00803106
2019-01-10 04:00:00,      0.0173757
2019-01-10 05:00:00,      0.0234807
2019-01-10 06:00:00,       0.023704
2019-01-10 07:00:00,      0.0199805
2019-01-10 08:00:00,      0.0175841
2019-01-10 09:00:00,       0.016883
2019-01-10 10:00:00,       0.017292
2019-01-10 11:00:00,      0.0163955
2019-01-10 12:00:00,      0.0137013
2019-01-10 13:00:00,     0.00986725
2019-01-10 14:00:00,      0.0092332
2019-01-10 15:00:00,      0.0138207
2019-01-10 16:00:00,      0.0221789
2019-01-10 17:00:00,      0.0286083
2019-01-10 18:00:00,      0.0295931
2019-01-10 19:00:00,      0.0259732
2019-01-10 20:00:00,      0.0212226
2019-01-10 21:00:00,      0.0183622
2019-01-10 22:00:00,      0.0179709
2019-01-10 23:00:00,      0.0167534
2019-01-11 00:00:00,       0.012344
2019-01-11 01:00:00,     0.00800311
2019-01-11 02:00:00,     0.00538887
2019-01-11 03:00:00,     0.00901943
2019-01-11 04:00:00,      0.0184273
2019-01-11 05:00:00,      0.0256936
2019-01-11 06:00:00,      0.0285225
2019-01-11 07:00:00,      0.0253074
2019-01-11 08:00:00,      0.0197707
2019-01-11 09:00:00,      0.0164866
2019-01-11 10:00:00,      0.0157419
2019-01-11 11:00:00,      0.0156546
2019-01-11 12:00:00,      0.0143722
2019-01-11 13:00:00,     0.00876024
2019-01-11 14:00:00,     0.00602841
2019-01-11 15:00:00,     0.00723346
2019-01-11 16:00:00,      0.0133229
2019-01-11 17:00:00,      0.0221547
2019-01-11 18:00:00,      0.0271358
2019-01-11 19:00:00,      0.0263949
2019-01-11 20:00:00,      0.0213902
2019-01-11 21:00:00,      0.0170197
2019-01-11 22:00:00,      0.0169806
2019-01-11 23:00:00,      0.0183355
2019-01-12 00:00:00,      0.0176281
2019-01-12 01:00:00,      0.0136581
2019-01-12 02:00:00,     0.00874216
2019-01-12 03:00:00,     0.00761865
2019-01-12 04:00:00,       0.012169
2019-01-12 05:00:00,      0.0198623
2019-01-12 06:00:00,      0.0257035
2019-01-12 07:00:00,      0.0259512
2019-01-12 08:00:00,      0.0206834
2019-01-12 09:00:00,      0.0154051
2019-01-12 10:00:00,       0.012338
2019-01-12 11:00:00,      0.0136458
2019-01-12 12:00:00,      0.0142404
2019-01-12 13:00:00,      0.0115811
2019-01-12 14:00:00,      0.0070369
2019-01-12 15:00:00,     0.00394715
2019-01-12 16:00:00,     0.00549152
2019-01-12 17:00:00,      0.0114839
2019-01-12 18:00:00,      0.0194974
2019-01-12 19:00:00,      0.0214739
2019-01-12 20:00:00,      0.0170502
2019-01-12 21:00:00,      0.0113331
2019-01-12 22:00:00,     0.00712495
2019-01-12 23:00:00,     0.00800178
2019-01-13 00:00:00,     0.00978507
2019-01-13 01:00:00,     0.00909404
2019-01-13 02:00:00,     0.00519308
2019-01-13 03:00:00,    0.000458355
2019-01-13 04:00:00,   -0.000532968
2019-01-13 05:00:00,     0.00540807
2019-01-13 06:00:00,      0.0130189
2019-01-13 07:00:00,      0.0171776
2019-01-13 08:00:00,      0.0151257
2019-01-13 09:00:00,      0.0085783
2019-01-13 10:00:00,      0.0044955
2019-01-13 11:00:00,     0.00419503
2019-01-13 12:00:00,     0.00607434
2019-01-13 13:00:00,     0.00687156
2019-01-13 14:00:00,     0.00368864
2019-01-13 15:00:00,    -0.00169439
2019-01-13 16:00:00,      -0.004623
2019-01-13 17:00:00,    -0.00210016
2019-01-13 18:00:00,     0.00430427
2019-01-13 19:00:00,       0.010503
2019-01-13 20:00:00,      0.0113659
2019-01-13 21:00:00,      0.0068954
2019-01-13 22:00:00,     0.00168164
2019-01-13 23:00:00,    0.000430424
2019-01-14 00:00:00,      0.0020924
2019-01-14 01:00:00,     0.00493782
2019-01-14 02:00:00,     0.00288318
2019-01-14 03:00:00,    -0.00237185
2019-01-14 04:00:00,    -0.00687861
2019-01-14 05:00:00,     -0.0072243
2019-01-14 06:00:00,    -0.00241441
2019-01-14 07:00:00,     0.00371998
2019-01-14 08:00:00,     0.00567496
2019-01-14 09:00:00,     0.00147122
2019-01-14 10:00:00,    -0.00444593
2019-01-14 11:00:00,    -0.00853923
2019-01-14 12:00:00,    -0.00855169
2019-01-14 13:00:00,    -0.00614654
2019-01-14 14:00:00,    -0.00609589
