date and time,y component of depth averaged velocity (m/s)
2019-01-01 00:00:00,              0
2019-01-01 01:00:00,        0.15966
2019-01-01 02:00:00,       0.116323
2019-01-01 03:00:00,      -0.112154
2019-01-01 04:00:00,      0.0449781
2019-01-01 05:00:00,      -0.095377
2019-01-01 06:00:00,     -0.0800085
2019-01-01 07:00:00,      0.0149871
2019-01-01 08:00:00,      -0.121905
2019-01-01 09:00:00,      0.0366857
2019-01-01 10:00:00,      0.0187101
2019-01-01 11:00:00,      0.0291091
2019-01-01 12:00:00,       0.103739
2019-01-01 13:00:00,      0.0284757
2019-01-01 14:00:00,      0.0523634
2019-01-01 15:00:00,      0.0219966
2019-01-01 16:00:00,     -0.0300122
2019-01-01 17:00:00,      0.0427416
2019-01-01 18:00:00,     -0.0204324
2019-01-01 19:00:00,     -0.0169554
2019-01-01 20:00:00,    0.000169009
2019-01-01 21:00:00,     -0.0209166
2019-01-01 22:00:00,      0.0458753
2019-01-01 23:00:00,      0.0767415
2019-01-02 00:00:00,      0.0800133
2019-01-02 01:00:00,      0.0816635
2019-01-02 02:00:00,      0.0455542
2019-01-02 03:00:00,      0.0363866
2019-01-02 04:00:00,     0.00908641
2019-01-02 05:00:00,     -0.0128011
2019-01-02 06:00:00,    -0.00225896
2019-01-02 07:00:00,     -0.0263746
2019-01-02 08:00:00,     -0.0260425
2019-01-02 09:00:00,     -0.0121335
2019-01-02 10:00:00,     0.00862798
2019-01-02 11:00:00,      0.0496017
2019-01-02 12:00:00,      0.0769753
2019-01-02 13:00:00,      0.0750661
2019-01-02 14:00:00,      0.0573068
2019-01-02 15:00:00,      0.0278879
2019-01-02 16:00:00,     0.00870579
2019-01-02 17:00:00,     -0.0140544
2019-01-02 18:00:00,      -0.021737
2019-01-02 19:00:00,     -0.0253301
2019-01-02 20:00:00,     -0.0305738
2019-01-02 21:00:00,     -0.0257427
2019-01-02 22:00:00,     0.00354903
2019-01-02 23:00:00,       0.039064
2019-01-03 00:00:00,      0.0785023
2019-01-03 01:00:00,      0.0939042
2019-01-03 02:00:00,       0.085128
2019-01-03 03:00:00,        0.05729
2019-01-03 04:00:00,      0.0237466
2019-01-03 05:00:00,     -0.0113076
2019-01-03 06:00:00,      -0.031086
2019-01-03 07:00:00,      -0.039988
2019-01-03 08:00:00,     -0.0368993
2019-01-03 09:00:00,     -0.0332932
2019-01-03 10:00:00,     -0.0156352
2019-01-03 11:00:00,      0.0198144
2019-01-03 12:00:00,      0.0590885
2019-01-03 13:00:00,      0.0823208
2019-01-03 14:00:00,      0.0824744
2019-01-03 15:00:00,      0.0595283
2019-01-03 16:00:00,      0.0219894
2019-01-03 17:00:00,     -0.0161721
2019-01-03 18:00:00,     -0.0359116
2019-01-03 19:00:00,      -0.043943
2019-01-03 20:00:00,     -0.0445667
2019-01-03 21:00:00,     -0.0370361
2019-01-03 22:00:00,     -0.0219325
2019-01-03 23:00:00,      0.0113296
2019-01-04 00:00:00,      0.0565596
2019-01-04 01:00:00,      0.0925706
2019-01-04 02:00:00,       0.103477
2019-01-04 03:00:00,      0.0925053
2019-01-04 04:00:00,      0.0588841
2019-01-04 05:00:00,      0.0110324
2019-01-04 06:00:00,     -0.0309328
2019-01-04 07:00:00,     -0.0504115
2019-01-04 08:00:00,      -0.048241
2019-01-04 09:00:00,     -0.0368771
2019-01-04 10:00:00,     -0.0213266
2019-01-04 11:00:00,     0.00634116
2019-01-04 12:00:00,      0.0455784
2019-01-04 13:00:00,      0.0825402
2019-01-04 14:00:00,      0.0916492
2019-01-04 15:00:00,      0.0772456
2019-01-04 16:00:00,       0.042012
2019-01-04 17:00:00,    -0.00459208
2019-01-04 18:00:00,     -0.0484362
2019-01-04 19:00:00,     -0.0688499
2019-01-04 20:00:00,     -0.0605926
2019-01-04 21:00:00,     -0.0438651
2019-01-04 22:00:00,     -0.0226383
2019-01-04 23:00:00,     0.00865323
2019-01-05 00:00:00,      0.0460984
2019-01-05 01:00:00,      0.0902147
2019-01-05 02:00:00,       0.116896
2019-01-05 03:00:00,       0.115205
2019-01-05 04:00:00,      0.0907505
2019-01-05 05:00:00,      0.0450262
2019-01-05 06:00:00,     -0.0157248
2019-01-05 07:00:00,     -0.0549671
2019-01-05 08:00:00,     -0.0640015
2019-01-05 09:00:00,     -0.0515217
2019-01-05 10:00:00,     -0.0335351
2019-01-05 11:00:00,      -0.010373
2019-01-05 12:00:00,      0.0215427
2019-01-05 13:00:00,      0.0579009
2019-01-05 14:00:00,      0.0871473
2019-01-05 15:00:00,      0.0977288
2019-01-05 16:00:00,      0.0781188
2019-01-05 17:00:00,      0.0346674
2019-01-05 18:00:00,     -0.0254391
2019-01-05 19:00:00,     -0.0659927
2019-01-05 20:00:00,     -0.0764374
2019-01-05 21:00:00,     -0.0698871
2019-01-05 22:00:00,     -0.0518545
2019-01-05 23:00:00,     -0.0290006
2019-01-06 00:00:00,     0.00490773
2019-01-06 01:00:00,      0.0489549
2019-01-06 02:00:00,      0.0916948
2019-01-06 03:00:00,       0.115372
2019-01-06 04:00:00,       0.112549
2019-01-06 05:00:00,      0.0803383
2019-01-06 06:00:00,      0.0244569
2019-01-06 07:00:00,     -0.0378434
2019-01-06 08:00:00,     -0.0675877
2019-01-06 09:00:00,     -0.0674083
2019-01-06 10:00:00,     -0.0515793
2019-01-06 11:00:00,     -0.0276598
2019-01-06 12:00:00,   -0.000871889
2019-01-06 13:00:00,      0.0331431
2019-01-06 14:00:00,      0.0684395
2019-01-06 15:00:00,      0.0902805
2019-01-06 16:00:00,      0.0898946
2019-01-06 17:00:00,      0.0624914
2019-01-06 18:00:00,     0.00770061
2019-01-06 19:00:00,     -0.0529628
2019-01-06 20:00:00,     -0.0858713
2019-01-06 21:00:00,     -0.0882585
2019-01-06 22:00:00,      -0.072314
2019-01-06 23:00:00,     -0.0471559
2019-01-07 00:00:00,     -0.0159006
2019-01-07 01:00:00,      0.0217275
2019-01-07 02:00:00,      0.0688086
2019-01-07 03:00:00,       0.104496
2019-01-07 04:00:00,       0.116035
2019-01-07 05:00:00,       0.101709
2019-01-07 06:00:00,      0.0579305
2019-01-07 07:00:00,       -0.01114
2019-01-07 08:00:00,     -0.0638716
2019-01-07 09:00:00,     -0.0790323
2019-01-07 10:00:00,     -0.0634714
2019-01-07 11:00:00,     -0.0388106
2019-01-07 12:00:00,    -0.00724529
2019-01-07 13:00:00,      0.0236894
2019-01-07 14:00:00,      0.0578008
2019-01-07 15:00:00,      0.0867912
2019-01-07 16:00:00,      0.0974153
2019-01-07 17:00:00,      0.0853288
2019-01-07 18:00:00,      0.0427986
2019-01-07 19:00:00,     -0.0249288
2019-01-07 20:00:00,     -0.0779001
2019-01-07 21:00:00,     -0.0933201
2019-01-07 22:00:00,     -0.0809231
2019-01-07 23:00:00,     -0.0547649
2019-01-08 00:00:00,     -0.0264924
2019-01-08 01:00:00,     0.00632651
2019-01-08 02:00:00,      0.0459861
2019-01-08 03:00:00,      0.0884834
2019-01-08 04:00:00,       0.113857
2019-01-08 05:00:00,       0.113514
2019-01-08 06:00:00,      0.0839689
2019-01-08 07:00:00,      0.0259721
2019-01-08 08:00:00,     -0.0450027
2019-01-08 09:00:00,     -0.0798228
2019-01-08 10:00:00,     -0.0798644
2019-01-08 11:00:00,     -0.0542198
2019-01-08 12:00:00,     -0.0235405
2019-01-08 13:00:00,     0.00461264
2019-01-08 14:00:00,      0.0337462
2019-01-08 15:00:00,       0.063537
2019-01-08 16:00:00,       0.088582
2019-01-08 17:00:00,      0.0917041
2019-01-08 18:00:00,      0.0673398
2019-01-08 19:00:00,      0.0127454
2019-01-08 20:00:00,      -0.057939
2019-01-08 21:00:00,     -0.0943172
2019-01-08 22:00:00,     -0.0939965
2019-01-08 23:00:00,     -0.0719171
2019-01-09 00:00:00,     -0.0411278
2019-01-09 01:00:00,     -0.0132826
2019-01-09 02:00:00,      0.0192911
2019-01-09 03:00:00,      0.0609115
2019-01-09 04:00:00,       0.097357
2019-01-09 05:00:00,       0.113638
2019-01-09 06:00:00,       0.100536
2019-01-09 07:00:00,      0.0589161
2019-01-09 08:00:00,    -0.00896703
2019-01-09 09:00:00,     -0.0665698
2019-01-09 10:00:00,     -0.0809479
2019-01-09 11:00:00,     -0.0623889
2019-01-09 12:00:00,     -0.0323181
2019-01-09 13:00:00,    -0.00303068
2019-01-09 14:00:00,      0.0199347
2019-01-09 15:00:00,      0.0446558
2019-01-09 16:00:00,      0.0728019
2019-01-09 17:00:00,      0.0952265
2019-01-09 18:00:00,      0.0881732
2019-01-09 19:00:00,      0.0493096
2019-01-09 20:00:00,      -0.018942
2019-01-09 21:00:00,     -0.0779021
2019-01-09 22:00:00,     -0.0930316
2019-01-09 23:00:00,     -0.0795524
2019-01-10 00:00:00,     -0.0517779
2019-01-10 01:00:00,      -0.023562
2019-01-10 02:00:00,    0.000392821
2019-01-10 03:00:00,      0.0289153
2019-01-10 04:00:00,      0.0673431
2019-01-10 05:00:00,      0.0989736
2019-01-10 06:00:00,       0.108535
2019-01-10 07:00:00,      0.0852976
2019-01-10 08:00:00,      0.0332091
2019-01-10 09:00:00,     -0.0368129
2019-01-10 10:00:00,     -0.0735279
2019-01-10 11:00:00,     -0.0713334
2019-01-10 12:00:00,     -0.0444238
2019-01-10 13:00:00,     -0.0144406
2019-01-10 14:00:00,       0.005153
2019-01-10 15:00:00,      0.0183929
2019-01-10 16:00:00,      0.0392786
2019-01-10 17:00:00,      0.0712124
2019-01-10 18:00:00,      0.0906019
2019-01-10 19:00:00,      0.0757277
2019-01-10 20:00:00,      0.0275501
2019-01-10 21:00:00,     -0.0429054
2019-01-10 22:00:00,     -0.0829115
2019-01-10 23:00:00,     -0.0831147
2019-01-11 00:00:00,     -0.0611775
2019-01-11 01:00:00,     -0.0313187
2019-01-11 02:00:00,     -0.0100155
2019-01-11 03:00:00,     0.00722844
2019-01-11 04:00:00,      0.0311261
2019-01-11 05:00:00,      0.0674681
2019-01-11 06:00:00,      0.0965676
2019-01-11 07:00:00,      0.0982701
2019-01-11 08:00:00,      0.0652583
2019-01-11 09:00:00,     0.00774576
2019-01-11 10:00:00,     -0.0517333
2019-01-11 11:00:00,     -0.0678162
2019-01-11 12:00:00,     -0.0511035
2019-01-11 13:00:00,     -0.0217839
2019-01-11 14:00:00,     0.00204226
2019-01-11 15:00:00,     0.00742395
2019-01-11 16:00:00,      0.0119609
2019-01-11 17:00:00,      0.0336973
2019-01-11 18:00:00,      0.0683287
2019-01-11 19:00:00,      0.0830597
2019-01-11 20:00:00,      0.0602594
2019-01-11 21:00:00,     0.00472972
2019-01-11 22:00:00,     -0.0556699
2019-01-11 23:00:00,     -0.0783716
2019-01-12 00:00:00,     -0.0689161
2019-01-12 01:00:00,     -0.0416641
2019-01-12 02:00:00,     -0.0170058
2019-01-12 03:00:00,    -0.00668123
2019-01-12 04:00:00,     -0.0011533
2019-01-12 05:00:00,      0.0198651
2019-01-12 06:00:00,      0.0591301
2019-01-12 07:00:00,      0.0890576
2019-01-12 08:00:00,      0.0831415
