date and time,magnitude of depth averaged velocity (m/s)
2019-01-01 00:00:00,              0
2019-01-01 01:00:00,      0.0118386
2019-01-01 02:00:00,       0.048022
2019-01-01 03:00:00,       0.113007
2019-01-01 04:00:00,      0.0501215
2019-01-01 05:00:00,      0.0553664
2019-01-01 06:00:00,     0.00786495
2019-01-01 07:00:00,      0.0410471
2019-01-01 08:00:00,      0.0445228
2019-01-01 09:00:00,       0.014789
2019-01-01 10:00:00,      0.0271647
2019-01-01 11:00:00,     0.00702496
2019-01-01 12:00:00,      0.0577599
2019-01-01 13:00:00,      0.0284341
2019-01-01 14:00:00,      0.0371522
2019-01-01 15:00:00,     0.00563604
2019-01-01 16:00:00,      0.0213151
2019-01-01 17:00:00,      0.0123803
2019-01-01 18:00:00,      0.0175859
2019-01-01 19:00:00,      0.0143213
2019-01-01 20:00:00,      0.0163685
2019-01-01 21:00:00,      0.0212189
2019-01-01 22:00:00,      0.0439127
2019-01-01 23:00:00,      0.0698775
2019-01-02 00:00:00,       0.067505
2019-01-02 01:00:00,      0.0697943
2019-01-02 02:00:00,      0.0440191
2019-01-02 03:00:00,      0.0250882
2019-01-02 04:00:00,      0.0142573
2019-01-02 05:00:00,       0.016404
2019-01-02 06:00:00,      0.0175495
2019-01-02 07:00:00,      0.0189917
2019-01-02 08:00:00,      0.0263642
2019-01-02 09:00:00,     0.00785069
2019-01-02 10:00:00,      0.0104793
2019-01-02 11:00:00,      0.0283219
2019-01-02 12:00:00,      0.0429382
2019-01-02 13:00:00,      0.0516837
2019-01-02 14:00:00,      0.0343407
2019-01-02 15:00:00,      0.0161623
2019-01-02 16:00:00,      0.0179566
2019-01-02 17:00:00,      0.0263899
2019-01-02 18:00:00,      0.0358651
2019-01-02 19:00:00,      0.0206913
2019-01-02 20:00:00,      0.0229384
2019-01-02 21:00:00,     0.00505154
2019-01-02 22:00:00,     0.00804469
2019-01-02 23:00:00,      0.0311677
2019-01-03 00:00:00,       0.050922
2019-01-03 01:00:00,      0.0648371
2019-01-03 02:00:00,      0.0503414
2019-01-03 03:00:00,      0.0266317
2019-01-03 04:00:00,     0.00946123
2019-01-03 05:00:00,      0.0332397
2019-01-03 06:00:00,      0.0507212
2019-01-03 07:00:00,      0.0471417
2019-01-03 08:00:00,      0.0415631
2019-01-03 09:00:00,       0.032339
2019-01-03 10:00:00,      0.0209901
2019-01-03 11:00:00,      0.0134428
2019-01-03 12:00:00,      0.0219368
2019-01-03 13:00:00,      0.0341665
2019-01-03 14:00:00,      0.0335351
2019-01-03 15:00:00,      0.0121395
2019-01-03 16:00:00,      0.0195282
2019-01-03 17:00:00,       0.048137
2019-01-03 18:00:00,      0.0615614
2019-01-03 19:00:00,      0.0612216
2019-01-03 20:00:00,      0.0473088
2019-01-03 21:00:00,        0.03052
2019-01-03 22:00:00,      0.0119765
2019-01-03 23:00:00,      0.0158152
2019-01-04 00:00:00,      0.0385138
2019-01-04 01:00:00,      0.0529556
2019-01-04 02:00:00,      0.0577005
2019-01-04 03:00:00,      0.0417717
2019-01-04 04:00:00,      0.0122996
2019-01-04 05:00:00,      0.0289407
2019-01-04 06:00:00,       0.059201
2019-01-04 07:00:00,      0.0839837
2019-01-04 08:00:00,      0.0903773
2019-01-04 09:00:00,      0.0844029
2019-01-04 10:00:00,      0.0697961
2019-01-04 11:00:00,      0.0582637
2019-01-04 12:00:00,       0.044222
2019-01-04 13:00:00,      0.0294854
2019-01-04 14:00:00,      0.0216447
2019-01-04 15:00:00,      0.0266481
2019-01-04 16:00:00,      0.0493882
2019-01-04 17:00:00,      0.0813438
2019-01-04 18:00:00,       0.100116
2019-01-04 19:00:00,       0.099259
2019-01-04 20:00:00,      0.0790197
2019-01-04 21:00:00,      0.0512024
2019-01-04 22:00:00,      0.0187108
2019-01-04 23:00:00,      0.0177902
2019-01-05 00:00:00,       0.046328
2019-01-05 01:00:00,      0.0714589
2019-01-05 02:00:00,      0.0868859
2019-01-05 03:00:00,      0.0846466
2019-01-05 04:00:00,      0.0629315
2019-01-05 05:00:00,      0.0283158
2019-01-05 06:00:00,      0.0162045
2019-01-05 07:00:00,      0.0368634
2019-01-05 08:00:00,        0.03684
2019-01-05 09:00:00,      0.0201332
2019-01-05 10:00:00,     0.00787767
2019-01-05 11:00:00,      0.0274075
2019-01-05 12:00:00,      0.0460946
2019-01-05 13:00:00,      0.0615157
2019-01-05 14:00:00,      0.0719071
2019-01-05 15:00:00,      0.0702109
2019-01-05 16:00:00,      0.0487976
2019-01-05 17:00:00,       0.011718
2019-01-05 18:00:00,      0.0325458
2019-01-05 19:00:00,        0.06395
2019-01-05 20:00:00,      0.0699906
2019-01-05 21:00:00,      0.0537556
2019-01-05 22:00:00,      0.0254991
2019-01-05 23:00:00,      0.0115171
2019-01-06 00:00:00,      0.0387638
2019-01-06 01:00:00,      0.0624582
2019-01-06 02:00:00,      0.0778412
2019-01-06 03:00:00,      0.0825407
2019-01-06 04:00:00,      0.0702136
2019-01-06 05:00:00,       0.038563
2019-01-06 06:00:00,      0.0066085
2019-01-06 07:00:00,      0.0462199
2019-01-06 08:00:00,      0.0637074
2019-01-06 09:00:00,      0.0538154
2019-01-06 10:00:00,      0.0285859
2019-01-06 11:00:00,     0.00306273
2019-01-06 12:00:00,      0.0284161
2019-01-06 13:00:00,       0.047393
2019-01-06 14:00:00,      0.0606001
2019-01-06 15:00:00,        0.06561
2019-01-06 16:00:00,      0.0571662
2019-01-06 17:00:00,      0.0284802
2019-01-06 18:00:00,      0.0180898
2019-01-06 19:00:00,      0.0628871
2019-01-06 20:00:00,      0.0854137
2019-01-06 21:00:00,      0.0779324
2019-01-06 22:00:00,      0.0505827
2019-01-06 23:00:00,      0.0147157
2019-01-07 00:00:00,      0.0200086
2019-01-07 01:00:00,      0.0441242
2019-01-07 02:00:00,      0.0608741
2019-01-07 03:00:00,      0.0688405
2019-01-07 04:00:00,      0.0646295
2019-01-07 05:00:00,      0.0425241
2019-01-07 06:00:00,     0.00132249
2019-01-07 07:00:00,      0.0488135
2019-01-07 08:00:00,      0.0828593
2019-01-07 09:00:00,      0.0878343
2019-01-07 10:00:00,      0.0697864
2019-01-07 11:00:00,      0.0399073
2019-01-07 12:00:00,      0.0113782
2019-01-07 13:00:00,      0.0206953
2019-01-07 14:00:00,      0.0345941
2019-01-07 15:00:00,      0.0418506
2019-01-07 16:00:00,      0.0394734
2019-01-07 17:00:00,      0.0241288
2019-01-07 18:00:00,      0.0130613
2019-01-07 19:00:00,      0.0598334
2019-01-07 20:00:00,      0.0942381
2019-01-07 21:00:00,       0.102007
2019-01-07 22:00:00,      0.0822529
2019-01-07 23:00:00,      0.0451648
2019-01-08 00:00:00,       0.010054
2019-01-08 01:00:00,      0.0309643
2019-01-08 02:00:00,      0.0526992
2019-01-08 03:00:00,      0.0676352
2019-01-08 04:00:00,      0.0755871
2019-01-08 05:00:00,      0.0696956
2019-01-08 06:00:00,      0.0442838
2019-01-08 07:00:00,     0.00920115
2019-01-08 08:00:00,      0.0456246
2019-01-08 09:00:00,      0.0672355
2019-01-08 10:00:00,      0.0591807
2019-01-08 11:00:00,      0.0308148
2019-01-08 12:00:00,     0.00966358
2019-01-08 13:00:00,      0.0328213
2019-01-08 14:00:00,      0.0488379
2019-01-08 15:00:00,      0.0569346
2019-01-08 16:00:00,      0.0602459
2019-01-08 17:00:00,      0.0523883
2019-01-08 18:00:00,      0.0264971
2019-01-08 19:00:00,      0.0180956
2019-01-08 20:00:00,      0.0693967
2019-01-08 21:00:00,      0.0972546
