date and time,magnitude of depth averaged velocity (m/s)
2019-01-01 00:00:00,              0
2019-01-01 01:00:00,      0.0945883
2019-01-01 02:00:00,       0.105635
2019-01-01 03:00:00,      0.0812467
2019-01-01 04:00:00,      0.0569513
2019-01-01 05:00:00,       0.017194
2019-01-01 06:00:00,      0.0141031
2019-01-01 07:00:00,      0.0202294
2019-01-01 08:00:00,      0.0107552
2019-01-01 09:00:00,      0.0224009
2019-01-01 10:00:00,      0.0416259
2019-01-01 11:00:00,       0.038153
2019-01-01 12:00:00,      0.0350574
2019-01-01 13:00:00,      0.0251922
2019-01-01 14:00:00,      0.0156369
2019-01-01 15:00:00,     0.00742677
2019-01-01 16:00:00,      0.0195314
2019-01-01 17:00:00,       0.013393
2019-01-01 18:00:00,      0.0177591
2019-01-01 19:00:00,      0.0154001
2019-01-01 20:00:00,      0.0174604
2019-01-01 21:00:00,      0.0204475
2019-01-01 22:00:00,      0.0232785
2019-01-01 23:00:00,      0.0380535
2019-01-02 00:00:00,       0.027981
2019-01-02 01:00:00,      0.0295296
2019-01-02 02:00:00,      0.0125179
2019-01-02 03:00:00,     0.00962444
2019-01-02 04:00:00,      0.0123696
2019-01-02 05:00:00,      0.0104249
2019-01-02 06:00:00,      0.0117086
2019-01-02 07:00:00,      0.0132647
2019-01-02 08:00:00,      0.0154156
2019-01-02 09:00:00,      0.0161636
2019-01-02 10:00:00,      0.0181221
2019-01-02 11:00:00,      0.0294122
2019-01-02 12:00:00,      0.0310061
2019-01-02 13:00:00,       0.035968
2019-01-02 14:00:00,      0.0216017
2019-01-02 15:00:00,      0.0161473
2019-01-02 16:00:00,     0.00969023
2019-01-02 17:00:00,     0.00764374
2019-01-02 18:00:00,      0.0167322
2019-01-02 19:00:00,      0.0154347
2019-01-02 20:00:00,      0.0231214
2019-01-02 21:00:00,      0.0216703
2019-01-02 22:00:00,      0.0190281
2019-01-02 23:00:00,      0.0232373
2019-01-03 00:00:00,      0.0273135
2019-01-03 01:00:00,      0.0308705
2019-01-03 02:00:00,      0.0200779
2019-01-03 03:00:00,     0.00786419
2019-01-03 04:00:00,     0.00578875
2019-01-03 05:00:00,      0.0124671
2019-01-03 06:00:00,      0.0143255
2019-01-03 07:00:00,      0.0119839
2019-01-03 08:00:00,     0.00935388
2019-01-03 09:00:00,     0.00627191
2019-01-03 10:00:00,     0.00914798
2019-01-03 11:00:00,      0.0167076
2019-01-03 12:00:00,      0.0234894
2019-01-03 13:00:00,      0.0261459
2019-01-03 14:00:00,      0.0245796
2019-01-03 15:00:00,      0.0126108
2019-01-03 16:00:00,     0.00594279
2019-01-03 17:00:00,     0.00965949
