date and time,magnitude of depth averaged velocity (m/s)
2019-01-01 00:00:00,              0
2019-01-01 01:00:00,       0.160551
2019-01-01 02:00:00,       0.117095
2019-01-01 03:00:00,       0.112192
2019-01-01 04:00:00,      0.0486616
2019-01-01 05:00:00,       0.102476
2019-01-01 06:00:00,      0.0800236
2019-01-01 07:00:00,      0.0218179
2019-01-01 08:00:00,       0.124919
2019-01-01 09:00:00,      0.0371322
2019-01-01 10:00:00,      0.0235182
2019-01-01 11:00:00,      0.0292964
2019-01-01 12:00:00,       0.104109
2019-01-01 13:00:00,      0.0290966
2019-01-01 14:00:00,      0.0523665
2019-01-01 15:00:00,      0.0291691
2019-01-01 16:00:00,      0.0311213
2019-01-01 17:00:00,      0.0444854
2019-01-01 18:00:00,      0.0336509
2019-01-01 19:00:00,      0.0250377
2019-01-01 20:00:00,      0.0222658
2019-01-01 21:00:00,      0.0281556
2019-01-01 22:00:00,      0.0477142
2019-01-01 23:00:00,      0.0786037
2019-01-02 00:00:00,      0.0808715
2019-01-02 01:00:00,      0.0827109
2019-01-02 02:00:00,      0.0459105
2019-01-02 03:00:00,      0.0363901
2019-01-02 04:00:00,      0.0112166
2019-01-02 05:00:00,      0.0163046
2019-01-02 06:00:00,      0.0166023
2019-01-02 07:00:00,      0.0382455
2019-01-02 08:00:00,      0.0370259
2019-01-02 09:00:00,      0.0278586
2019-01-02 10:00:00,      0.0221679
2019-01-02 11:00:00,      0.0528786
2019-01-02 12:00:00,      0.0788656
2019-01-02 13:00:00,      0.0763597
2019-01-02 14:00:00,      0.0578908
2019-01-02 15:00:00,      0.0291299
2019-01-02 16:00:00,      0.0139458
2019-01-02 17:00:00,      0.0227043
2019-01-02 18:00:00,      0.0313828
2019-01-02 19:00:00,      0.0377435
2019-01-02 20:00:00,      0.0429148
2019-01-02 21:00:00,      0.0372172
2019-01-02 22:00:00,      0.0226737
2019-01-02 23:00:00,      0.0435723
2019-01-03 00:00:00,       0.079975
2019-01-03 01:00:00,      0.0945117
2019-01-03 02:00:00,      0.0851696
2019-01-03 03:00:00,      0.0574865
2019-01-03 04:00:00,      0.0245526
2019-01-03 05:00:00,      0.0113479
2019-01-03 06:00:00,      0.0317723
2019-01-03 07:00:00,      0.0424129
2019-01-03 08:00:00,      0.0424754
2019-01-03 09:00:00,      0.0416312
2019-01-03 10:00:00,      0.0266034
2019-01-03 11:00:00,      0.0263321
2019-01-03 12:00:00,      0.0605677
2019-01-03 13:00:00,      0.0828327
2019-01-03 14:00:00,      0.0825775
2019-01-03 15:00:00,      0.0595283
2019-01-03 16:00:00,       0.021991
2019-01-03 17:00:00,      0.0166145
2019-01-03 18:00:00,      0.0383087
2019-01-03 19:00:00,      0.0489975
2019-01-03 20:00:00,      0.0507409
2019-01-03 21:00:00,      0.0435706
2019-01-03 22:00:00,      0.0293724
2019-01-03 23:00:00,      0.0183497
2019-01-04 00:00:00,      0.0575448
2019-01-04 01:00:00,      0.0929603
2019-01-04 02:00:00,        0.10352
2019-01-04 03:00:00,      0.0926787
2019-01-04 04:00:00,      0.0599555
2019-01-04 05:00:00,      0.0150811
2019-01-04 06:00:00,      0.0310706
2019-01-04 07:00:00,        0.05068
2019-01-04 08:00:00,      0.0494827
2019-01-04 09:00:00,      0.0393973
2019-01-04 10:00:00,      0.0258334
2019-01-04 11:00:00,       0.012813
2019-01-04 12:00:00,      0.0459535
2019-01-04 13:00:00,      0.0825402
2019-01-04 14:00:00,      0.0917764
2019-01-04 15:00:00,      0.0782876
2019-01-04 16:00:00,      0.0458736
2019-01-04 17:00:00,      0.0179689
2019-01-04 18:00:00,      0.0490952
2019-01-04 19:00:00,      0.0690122
2019-01-04 20:00:00,      0.0623319
2019-01-04 21:00:00,      0.0479184
2019-01-04 22:00:00,      0.0298722
2019-01-04 23:00:00,      0.0203202
2019-01-05 00:00:00,      0.0487844
2019-01-05 01:00:00,      0.0910325
2019-01-05 02:00:00,        0.11708
2019-01-05 03:00:00,       0.115252
2019-01-05 04:00:00,      0.0916961
2019-01-05 05:00:00,       0.047562
2019-01-05 06:00:00,      0.0187309
2019-01-05 07:00:00,      0.0550336
2019-01-05 08:00:00,      0.0654096
2019-01-05 09:00:00,      0.0559735
2019-01-05 10:00:00,      0.0418411
2019-01-05 11:00:00,      0.0260898
2019-01-05 12:00:00,      0.0301009
2019-01-05 13:00:00,      0.0601857
2019-01-05 14:00:00,       0.087898
2019-01-05 15:00:00,       0.097787
2019-01-05 16:00:00,      0.0782802
2019-01-05 17:00:00,      0.0355679
2019-01-05 18:00:00,       0.025579
2019-01-05 19:00:00,       0.067051
2019-01-05 20:00:00,      0.0800695
2019-01-05 21:00:00,      0.0746412
2019-01-05 22:00:00,      0.0566459
2019-01-05 23:00:00,      0.0350697
2019-01-06 00:00:00,      0.0169517
2019-01-06 01:00:00,      0.0505784
2019-01-06 02:00:00,      0.0922648
2019-01-06 03:00:00,       0.115508
2019-01-06 04:00:00,       0.112596
2019-01-06 05:00:00,      0.0809336
2019-01-06 06:00:00,      0.0256161
2019-01-06 07:00:00,      0.0379742
2019-01-06 08:00:00,      0.0697382
2019-01-06 09:00:00,      0.0719826
2019-01-06 10:00:00,      0.0582297
2019-01-06 11:00:00,      0.0376519
2019-01-06 12:00:00,      0.0226605
2019-01-06 13:00:00,      0.0382682
2019-01-06 14:00:00,      0.0701806
2019-01-06 15:00:00,      0.0909385
2019-01-06 16:00:00,      0.0899474
2019-01-06 17:00:00,      0.0625336
2019-01-06 18:00:00,      0.0079927
2019-01-06 19:00:00,      0.0539331
2019-01-06 20:00:00,      0.0887569
