date and time,x component of depth averaged velocity (m/s)
2019-01-01 00:00:00,              0
2019-01-01 01:00:00,     0.00318657
2019-01-01 02:00:00,      0.0251186
2019-01-01 03:00:00,     0.00310781
2019-01-01 04:00:00,      0.0440446
2019-01-01 05:00:00,    -0.00117068
2019-01-01 06:00:00,     -0.0325336
2019-01-01 07:00:00,      0.0473686
2019-01-01 08:00:00,     -0.0256898
2019-01-01 09:00:00,    -0.00460878
2019-01-01 10:00:00,     0.00183249
2019-01-01 11:00:00,     -0.0236568
2019-01-01 12:00:00,     -0.0157658
2019-01-01 13:00:00,     -0.0243465
2019-01-01 14:00:00,    -0.00349241
2019-01-01 15:00:00,    -0.00226171
2019-01-01 16:00:00,     -0.0218791
2019-01-01 17:00:00,     0.00898217
2019-01-01 18:00:00,     -0.0163058
2019-01-01 19:00:00,     -0.0198997
2019-01-01 20:00:00,     0.00417931
2019-01-01 21:00:00,     -0.0103013
2019-01-01 22:00:00,    -0.00926265
2019-01-01 23:00:00,     -0.0168729
2019-01-02 00:00:00,      -0.014305
2019-01-02 01:00:00,    -0.00888413
2019-01-02 02:00:00,    -0.00890085
2019-01-02 03:00:00,     0.00689325
2019-01-02 04:00:00,     0.00973546
2019-01-02 05:00:00,    -0.00313439
2019-01-02 06:00:00,     0.00486057
2019-01-02 07:00:00,     -0.0044839
2019-01-02 08:00:00,    -0.00940109
2019-01-02 09:00:00,    -0.00990325
2019-01-02 10:00:00,     -0.0110022
2019-01-02 11:00:00,      -0.017911
2019-01-02 12:00:00,     -0.0219603
2019-01-02 13:00:00,     -0.0236027
2019-01-02 14:00:00,     -0.0109443
2019-01-02 15:00:00,     -0.0058276
2019-01-02 16:00:00,     0.00360906
2019-01-02 17:00:00,     0.00624095
2019-01-02 18:00:00,     0.00317323
2019-01-02 19:00:00,    -0.00478007
2019-01-02 20:00:00,    -0.00543752
2019-01-02 21:00:00,    -0.00739498
2019-01-02 22:00:00,    -0.00824236
2019-01-02 23:00:00,      -0.013025
2019-01-03 00:00:00,      -0.011438
2019-01-03 01:00:00,     -0.0107972
2019-01-03 02:00:00,    -0.00631172
2019-01-03 03:00:00,     0.00725043
2019-01-03 04:00:00,      0.0200697
2019-01-03 05:00:00,      0.0217261
2019-01-03 06:00:00,      0.0208363
2019-01-03 07:00:00,      0.0138141
2019-01-03 08:00:00,     0.00673051
2019-01-03 09:00:00,    0.000485039
2019-01-03 10:00:00,    -0.00320348
2019-01-03 11:00:00,     -0.0048248
2019-01-03 12:00:00,    -0.00989273
2019-01-03 13:00:00,     -0.0106744
2019-01-03 14:00:00,    -0.00500045
2019-01-03 15:00:00,     0.00296999
2019-01-03 16:00:00,      0.0137172
2019-01-03 17:00:00,      0.0217502
2019-01-03 18:00:00,      0.0203558
2019-01-03 19:00:00,      0.0137385
2019-01-03 20:00:00,     0.00533742
2019-01-03 21:00:00,    -0.00130473
2019-01-03 22:00:00,    -0.00832118
2019-01-03 23:00:00,    -0.00972851
2019-01-04 00:00:00,    -0.00914062
2019-01-04 01:00:00,    -0.00962317
2019-01-04 02:00:00,    -0.00744426
2019-01-04 03:00:00,     0.00330687
2019-01-04 04:00:00,      0.0138746
2019-01-04 05:00:00,      0.0219105
2019-01-04 06:00:00,      0.0312877
2019-01-04 07:00:00,      0.0437503
2019-01-04 08:00:00,      0.0503215
2019-01-04 09:00:00,      0.0484953
2019-01-04 10:00:00,      0.0419527
2019-01-04 11:00:00,      0.0396732
2019-01-04 12:00:00,      0.0350379
2019-01-04 13:00:00,      0.0283372
2019-01-04 14:00:00,      0.0217249
2019-01-04 15:00:00,      0.0216702
2019-01-04 16:00:00,      0.0262555
2019-01-04 17:00:00,      0.0318188
2019-01-04 18:00:00,      0.0330299
2019-01-04 19:00:00,      0.0262602
2019-01-04 20:00:00,      0.0137359
2019-01-04 21:00:00,    -0.00096175
2019-01-04 22:00:00,     -0.0130648
2019-01-04 23:00:00,     -0.0194396
2019-01-05 00:00:00,     -0.0237912
2019-01-05 01:00:00,     -0.0252337
2019-01-05 02:00:00,     -0.0231156
2019-01-05 03:00:00,     -0.0174099
2019-01-05 04:00:00,    -0.00578462
2019-01-05 05:00:00,      0.0083743
2019-01-05 06:00:00,      0.0189962
2019-01-05 07:00:00,      0.0229323
2019-01-05 08:00:00,      0.0184536
2019-01-05 09:00:00,     0.00910686
2019-01-05 10:00:00,    -0.00096655
