date and time,x component of depth averaged velocity (m/s)
2019-01-01 00:00:00,              0
2019-01-01 01:00:00,      0.0168887
2019-01-01 02:00:00,      0.0134294
2019-01-01 03:00:00,     0.00293692
2019-01-01 04:00:00,      0.0185721
2019-01-01 05:00:00,     -0.0374773
2019-01-01 06:00:00,     0.00155837
2019-01-01 07:00:00,     -0.0158558
2019-01-01 08:00:00,     -0.0272735
2019-01-01 09:00:00,     0.00574142
2019-01-01 10:00:00,     -0.0142492
2019-01-01 11:00:00,     0.00330737
2019-01-01 12:00:00,    -0.00876838
2019-01-01 13:00:00,    -0.00597891
2019-01-01 14:00:00,   -0.000567028
2019-01-01 15:00:00,      -0.019157
2019-01-01 16:00:00,    -0.00823402
2019-01-01 17:00:00,     -0.0123333
2019-01-01 18:00:00,     -0.0267375
2019-01-01 19:00:00,     -0.0184228
2019-01-01 20:00:00,     -0.0222652
2019-01-01 21:00:00,     -0.0188477
2019-01-01 22:00:00,     -0.0131189
2019-01-01 23:00:00,     -0.0170083
2019-01-02 00:00:00,     -0.0117504
2019-01-02 01:00:00,     -0.0131213
2019-01-02 02:00:00,    -0.00570872
2019-01-02 03:00:00,   -0.000510287
2019-01-02 04:00:00,    -0.00657634
2019-01-02 05:00:00,      -0.010098
2019-01-02 06:00:00,     -0.0164479
2019-01-02 07:00:00,     -0.0276966
2019-01-02 08:00:00,     -0.0263193
2019-01-02 09:00:00,     -0.0250774
2019-01-02 10:00:00,     -0.0204199
2019-01-02 11:00:00,     -0.0183252
2019-01-02 12:00:00,     -0.0171636
2019-01-02 13:00:00,     -0.0139958
2019-01-02 14:00:00,    -0.00820216
2019-01-02 15:00:00,    -0.00841524
2019-01-02 16:00:00,     -0.0108947
2019-01-02 17:00:00,     -0.0178314
2019-01-02 18:00:00,     -0.0226359
2019-01-02 19:00:00,     -0.0279814
2019-01-02 20:00:00,     -0.0301152
2019-01-02 21:00:00,     -0.0268782
2019-01-02 22:00:00,     -0.0223942
2019-01-02 23:00:00,     -0.0193015
2019-01-03 00:00:00,     -0.0152771
2019-01-03 01:00:00,     -0.0106984
2019-01-03 02:00:00,    -0.00266396
2019-01-03 03:00:00,     0.00474992
2019-01-03 04:00:00,     0.00623906
2019-01-03 05:00:00,    0.000955651
2019-01-03 06:00:00,    -0.00656806
2019-01-03 07:00:00,     -0.0141355
2019-01-03 08:00:00,     -0.0210379
2019-01-03 09:00:00,     -0.0249944
2019-01-03 10:00:00,     -0.0215239
2019-01-03 11:00:00,     -0.0173427
2019-01-03 12:00:00,     -0.0133041
2019-01-03 13:00:00,    -0.00919475
2019-01-03 14:00:00,      -0.004125
2019-01-03 15:00:00,   -3.02593e-05
2019-01-03 16:00:00,    0.000263406
2019-01-03 17:00:00,    -0.00380861
