date and time,y component of depth averaged velocity (m/s)
2019-01-01 00:00:00,              0
2019-01-01 01:00:00,     -0.0485447
2019-01-01 02:00:00,       0.105254
2019-01-01 03:00:00,     -0.0627797
2019-01-01 04:00:00,      0.0568578
2019-01-01 05:00:00,     0.00246087
2019-01-01 06:00:00,     -0.0106482
2019-01-01 07:00:00,      0.0195845
2019-01-01 08:00:00,     -0.0087467
2019-01-01 09:00:00,      0.0187514
2019-01-01 10:00:00,      0.0272867
2019-01-01 11:00:00,     -0.0377711
2019-01-01 12:00:00,      0.0327663
2019-01-01 13:00:00,      -0.016269
2019-01-01 14:00:00,    -0.00438909
2019-01-01 15:00:00,     0.00711634
2019-01-01 16:00:00,     -0.0186204
2019-01-01 17:00:00,    -0.00950256
2019-01-01 18:00:00,     -0.0068655
2019-01-01 19:00:00,    -0.00475895
2019-01-01 20:00:00,     0.00348746
2019-01-01 21:00:00,     -0.0117989
2019-01-01 22:00:00,     0.00929329
2019-01-01 23:00:00,      0.0164695
2019-01-02 00:00:00,    0.000382904
2019-01-02 01:00:00,      0.0165051
2019-01-02 02:00:00,    -0.00511788
2019-01-02 03:00:00,    0.000850297
2019-01-02 04:00:00,     -0.0111229
2019-01-02 05:00:00,     -0.0103286
2019-01-02 06:00:00,     -0.0117084
2019-01-02 07:00:00,     -0.0105167
2019-01-02 08:00:00,     -0.0146422
2019-01-02 09:00:00,     -0.0017505
2019-01-02 10:00:00,    -0.00879687
2019-01-02 11:00:00,     0.00956171
2019-01-02 12:00:00,     0.00741513
2019-01-02 13:00:00,     0.00990201
2019-01-02 14:00:00,    -0.00371479
2019-01-02 15:00:00,    0.000710202
2019-01-02 16:00:00,    -0.00956801
2019-01-02 17:00:00,    -0.00760291
2019-01-02 18:00:00,      -0.016661
2019-01-02 19:00:00,      -0.013237
2019-01-02 20:00:00,      -0.021017
2019-01-02 21:00:00,     -0.0140607
2019-01-02 22:00:00,     -0.0109684
2019-01-02 23:00:00,     0.00242838
2019-01-03 00:00:00,      0.0025918
2019-01-03 01:00:00,      0.0054995
2019-01-03 02:00:00,     0.00387288
2019-01-03 03:00:00,     0.00243245
2019-01-03 04:00:00,    -0.00187456
2019-01-03 05:00:00,    -0.00147927
2019-01-03 06:00:00,    -0.00469441
2019-01-03 07:00:00,    -0.00849507
2019-01-03 08:00:00,    -0.00903786
2019-01-03 09:00:00,     -0.0052426
2019-01-03 10:00:00,    -0.00242534
2019-01-03 11:00:00,     0.00487464
2019-01-03 12:00:00,      0.0113345
2019-01-03 13:00:00,      0.0117497
2019-01-03 14:00:00,      0.0111687
2019-01-03 15:00:00,     0.00763115
2019-01-03 16:00:00,     0.00572476
2019-01-03 17:00:00,     0.00247577
2019-01-03 18:00:00,     0.00272327
2019-01-03 19:00:00,     0.00102074
2019-01-03 20:00:00,     0.00122545
2019-01-03 21:00:00,     0.00123887
2019-01-03 22:00:00,     0.00696496
2019-01-03 23:00:00,      0.0113468
2019-01-04 00:00:00,      0.0177432
2019-01-04 01:00:00,      0.0203774
2019-01-04 02:00:00,      0.0208428
2019-01-04 03:00:00,      0.0154926
2019-01-04 04:00:00,      0.0128465
2019-01-04 05:00:00,     0.00847747
2019-01-04 06:00:00,     0.00842771
2019-01-04 07:00:00,     0.00892387
2019-01-04 08:00:00,      0.0113851
2019-01-04 09:00:00,     0.00960227
2019-01-04 10:00:00,      0.0100171
2019-01-04 11:00:00,      0.0145702
2019-01-04 12:00:00,      0.0204623
2019-01-04 13:00:00,       0.023684
2019-01-04 14:00:00,      0.0238922
2019-01-04 15:00:00,       0.020875
2019-01-04 16:00:00,      0.0148261
2019-01-04 17:00:00,     0.00647744
2019-01-04 18:00:00,    0.000792807
2019-01-04 19:00:00,    -0.00617602
2019-01-04 20:00:00,    -0.00846406
2019-01-04 21:00:00,     -0.0102438
2019-01-04 22:00:00,    -0.00759189
2019-01-04 23:00:00,    -0.00090199
2019-01-05 00:00:00,     0.00667041
2019-01-05 01:00:00,      0.0148163
2019-01-05 02:00:00,       0.019138
2019-01-05 03:00:00,      0.0193365
2019-01-05 04:00:00,      0.0164158
2019-01-05 05:00:00,      0.0109596
2019-01-05 06:00:00,     0.00460195
2019-01-05 07:00:00,     0.00151555
2019-01-05 08:00:00,    -0.00151141
2019-01-05 09:00:00,    -0.00202232
2019-01-05 10:00:00,   -0.000764404
2019-01-05 11:00:00,     0.00433464
2019-01-05 12:00:00,      0.0119326
2019-01-05 13:00:00,      0.0201957
2019-01-05 14:00:00,      0.0256476
2019-01-05 15:00:00,      0.0274747
2019-01-05 16:00:00,      0.0236465
2019-01-05 17:00:00,      0.0194741
2019-01-05 18:00:00,      0.0121294
2019-01-05 19:00:00,     0.00574563
2019-01-05 20:00:00,    6.57563e-05
2019-01-05 21:00:00,    -0.00382752
2019-01-05 22:00:00,    -0.00321537
2019-01-05 23:00:00,     0.00157237
2019-01-06 00:00:00,     0.00998208
2019-01-06 01:00:00,      0.0210325
2019-01-06 02:00:00,      0.0287204
2019-01-06 03:00:00,      0.0311463
2019-01-06 04:00:00,      0.0281678
2019-01-06 05:00:00,      0.0213322
2019-01-06 06:00:00,      0.0135772
2019-01-06 07:00:00,     0.00691707
2019-01-06 08:00:00,     0.00430542
2019-01-06 09:00:00,     0.00323295
2019-01-06 10:00:00,     0.00290482
2019-01-06 11:00:00,     0.00470526
2019-01-06 12:00:00,     0.00882273
2019-01-06 13:00:00,      0.0134083
2019-01-06 14:00:00,      0.0179491
2019-01-06 15:00:00,      0.0188844
2019-01-06 16:00:00,      0.0165879
2019-01-06 17:00:00,       0.010203
2019-01-06 18:00:00,     0.00299134
2019-01-06 19:00:00,    -0.00217359
2019-01-06 20:00:00,    -0.00407209
2019-01-06 21:00:00,    -0.00286114
2019-01-06 22:00:00,    -0.00139127
2019-01-06 23:00:00,     0.00138728
2019-01-07 00:00:00,     0.00756336
2019-01-07 01:00:00,      0.0146971
2019-01-07 02:00:00,      0.0237185
2019-01-07 03:00:00,      0.0281615
2019-01-07 04:00:00,      0.0273405
2019-01-07 05:00:00,      0.0240602
2019-01-07 06:00:00,      0.0176396
2019-01-07 07:00:00,      0.0116133
2019-01-07 08:00:00,     0.00743633
2019-01-07 09:00:00,      0.0033985
2019-01-07 10:00:00,     0.00192876
2019-01-07 11:00:00,     0.00241382
2019-01-07 12:00:00,     0.00634215
2019-01-07 13:00:00,      0.0123897
2019-01-07 14:00:00,      0.0196316
2019-01-07 15:00:00,      0.0253752
2019-01-07 16:00:00,      0.0252037
2019-01-07 17:00:00,       0.020022
2019-01-07 18:00:00,      0.0125578
2019-01-07 19:00:00,     0.00438388
2019-01-07 20:00:00,    0.000704051
2019-01-07 21:00:00,    -0.00176025
2019-01-07 22:00:00,    -0.00198411
2019-01-07 23:00:00,   -0.000687102
2019-01-08 00:00:00,     0.00309781
2019-01-08 01:00:00,      0.0102597
2019-01-08 02:00:00,      0.0179843
2019-01-08 03:00:00,      0.0251464
2019-01-08 04:00:00,      0.0273931
2019-01-08 05:00:00,      0.0243638
2019-01-08 06:00:00,      0.0176853
2019-01-08 07:00:00,      0.0107926
2019-01-08 08:00:00,     0.00538774
2019-01-08 09:00:00,     0.00401774
2019-01-08 10:00:00,     0.00222985
2019-01-08 11:00:00,     0.00253005
2019-01-08 12:00:00,     0.00485396
2019-01-08 13:00:00,      0.0094286
