Date Time,Day,Hour,Minutes,Seconds,Wind speed
2019-01-01 00:00:00,0,0,0,0,2.0
2019-01-01 01:00:00,0,1,0,0,1.1
2019-01-01 02:00:00,0,2,0,0,0.7
2019-01-01 03:00:00,0,3,0,0,0.5
2019-01-01 04:00:00,0,4,0,0,0.7
2019-01-01 05:00:00,0,5,0,0,0.7
2019-01-01 06:00:00,0,6,0,0,0.9
2019-01-01 07:00:00,0,7,0,0,0.5
2019-01-01 08:00:00,0,8,0,0,0.9
2019-01-01 09:00:00,0,9,0,0,0.8
2019-01-01 10:00:00,0,10,0,0,0.9
2019-01-01 11:00:00,0,11,0,0,1.6
2019-01-01 12:00:00,0,12,0,0,2.4
2019-01-01 13:00:00,0,13,0,0,1.5
2019-01-01 14:00:00,0,14,0,0,2.2
2019-01-01 15:00:00,0,15,0,0,2.3
2019-01-01 16:00:00,0,16,0,0,2.5
2019-01-01 17:00:00,0,17,0,0,2.1
2019-01-01 18:00:00,0,18,0,0,2.5
2019-01-01 19:00:00,0,19,0,0,2.1
2019-01-01 20:00:00,0,20,0,0,2.0
2019-01-01 21:00:00,0,21,0,0,1.9
2019-01-01 22:00:00,0,22,0,0,1.2
2019-01-01 23:00:00,0,23,0,0,1.5
2019-01-02 00:00:00,1,0,0,0,1.0
2019-01-02 01:00:00,1,1,0,0,0.6
2019-01-02 02:00:00,1,2,0,0,1.0
2019-01-02 03:00:00,1,3,0,0,0.6
2019-01-02 04:00:00,1,4,0,0,0.8
2019-01-02 05:00:00,1,5,0,0,1.0
2019-01-02 06:00:00,1,6,0,0,0.8
2019-01-02 07:00:00,1,7,0,0,0.4
2019-01-02 08:00:00,1,8,0,0,1.0
2019-01-02 09:00:00,1,9,0,0,1.3
2019-01-02 10:00:00,1,10,0,0,0.6
2019-01-02 11:00:00,1,11,0,0,1.1
2019-01-02 12:00:00,1,12,0,0,1.2
2019-01-02 13:00:00,1,13,0,0,1.7
2019-01-02 14:00:00,1,14,0,0,1.8
2019-01-02 15:00:00,1,15,0,0,2.0
2019-01-02 16:00:00,1,16,0,0,1.9
2019-01-02 17:00:00,1,17,0,0,1.4
2019-01-02 18:00:00,1,18,0,0,1.6
2019-01-02 19:00:00,1,19,0,0,1.7
2019-01-02 20:00:00,1,20,0,0,1.8
2019-01-02 21:00:00,1,21,0,0,1.6
2019-01-02 22:00:00,1,22,0,0,0.7
2019-01-02 23:00:00,1,23,0,0,1.7
2019-01-03 00:00:00,2,0,0,0,0.8
2019-01-03 01:00:00,2,1,0,0,0.6
2019-01-03 02:00:00,2,2,0,0,0.9
2019-01-03 03:00:00,2,3,0,0,1.0
2019-01-03 04:00:00,2,4,0,0,1.2
2019-01-03 05:00:00,2,5,0,0,1.2
2019-01-03 06:00:00,2,6,0,0,1.5
2019-01-03 07:00:00,2,7,0,0,1.4
2019-01-03 08:00:00,2,8,0,0,1.6
2019-01-03 09:00:00,2,9,0,0,1.7
2019-01-03 10:00:00,2,10,0,0,1.7
2019-01-03 11:00:00,2,11,0,0,2.3
2019-01-03 12:00:00,2,12,0,0,0.9
2019-01-03 13:00:00,2,13,0,0,2.2
2019-01-03 14:00:00,2,14,0,0,2.3
2019-01-03 15:00:00,2,15,0,0,2.2
2019-01-03 16:00:00,2,16,0,0,1.7
2019-01-03 17:00:00,2,17,0,0,2.2
2019-01-03 18:00:00,2,18,0,0,1.9
2019-01-03 19:00:00,2,19,0,0,2.4
2019-01-03 20:00:00,2,20,0,0,1.7
2019-01-03 21:00:00,2,21,0,0,1.2
2019-01-03 22:00:00,2,22,0,0,1.2
2019-01-03 23:00:00,2,23,0,0,2.6
2019-01-04 00:00:00,3,0,0,0,2.8
2019-01-04 01:00:00,3,1,0,0,2.1
2019-01-04 02:00:00,3,2,0,0,2.4
2019-01-04 03:00:00,3,3,0,0,2.2
2019-01-04 04:00:00,3,4,0,0,2.2
2019-01-04 05:00:00,3,5,0,0,2.4
2019-01-04 06:00:00,3,6,0,0,6.3
2019-01-04 07:00:00,3,7,0,0,7.5
2019-01-04 08:00:00,3,8,0,0,6.6
2019-01-04 09:00:00,3,9,0,0,5.0
2019-01-04 10:00:00,3,10,0,0,4.8
2019-01-04 11:00:00,3,11,0,0,5.3
2019-01-04 12:00:00,3,12,0,0,1.5
2019-01-04 13:00:00,3,13,0,0,1.2
2019-01-04 14:00:00,3,14,0,0,0.8
2019-01-04 15:00:00,3,15,0,0,0.9
2019-01-04 16:00:00,3,16,0,0,2.3
2019-01-04 17:00:00,3,17,0,0,3.2
2019-01-04 18:00:00,3,18,0,0,4.2
2019-01-04 19:00:00,3,19,0,0,1.9
2019-01-04 20:00:00,3,20,0,0,2.0
2019-01-04 21:00:00,3,21,0,0,1.1
2019-01-04 22:00:00,3,22,0,0,1.5
2019-01-04 23:00:00,3,23,0,0,0.7
2019-01-05 00:00:00,4,0,0,0,0.9
2019-01-05 01:00:00,4,1,0,0,0.9
2019-01-05 02:00:00,4,2,0,0,0.7
2019-01-05 03:00:00,4,3,0,0,1.4
2019-01-05 04:00:00,4,4,0,0,1.0
2019-01-05 05:00:00,4,5,0,0,1.0
2019-01-05 06:00:00,4,6,0,0,0.5
2019-01-05 07:00:00,4,7,0,0,1.6
2019-01-05 08:00:00,4,8,0,0,1.1
2019-01-05 09:00:00,4,9,0,0,1.2
2019-01-05 10:00:00,4,10,0,0,1.7
2019-01-05 11:00:00,4,11,0,0,1.1
2019-01-05 12:00:00,4,12,0,0,1.1
2019-01-05 13:00:00,4,13,0,0,1.4
2019-01-05 14:00:00,4,14,0,0,0.8
2019-01-05 15:00:00,4,15,0,0,0.6
2019-01-05 16:00:00,4,16,0,0,1.3
2019-01-05 17:00:00,4,17,0,0,1.2
2019-01-05 18:00:00,4,18,0,0,0.8
2019-01-05 19:00:00,4,19,0,0,0.7
2019-01-05 20:00:00,4,20,0,0,1.6
2019-01-05 21:00:00,4,21,0,0,0.7
2019-01-05 22:00:00,4,22,0,0,1.2
2019-01-05 23:00:00,4,23,0,0,1.2
2019-01-06 00:00:00,5,0,0,0,1.4
2019-01-06 01:00:00,5,1,0,0,0.8
2019-01-06 02:00:00,5,2,0,0,0.9
2019-01-06 03:00:00,5,3,0,0,0.7
2019-01-06 04:00:00,5,4,0,0,1.1
2019-01-06 05:00:00,5,5,0,0,0.9
2019-01-06 06:00:00,5,6,0,0,1.0
2019-01-06 07:00:00,5,7,0,0,0.9
2019-01-06 08:00:00,5,8,0,0,0.6
2019-01-06 09:00:00,5,9,0,0,1.0
2019-01-06 10:00:00,5,10,0,0,0.8
2019-01-06 11:00:00,5,11,0,0,0.5
2019-01-06 12:00:00,5,12,0,0,0.8
2019-01-06 13:00:00,5,13,0,0,1.5
2019-01-06 14:00:00,5,14,0,0,2.4
2019-01-06 15:00:00,5,15,0,0,2.6
2019-01-06 16:00:00,5,16,0,0,1.9
2019-01-06 17:00:00,5,17,0,0,1.6
2019-01-06 18:00:00,5,18,0,0,1.6
2019-01-06 19:00:00,5,19,0,0,1.5
2019-01-06 20:00:00,5,20,0,0,1.0
2019-01-06 21:00:00,5,21,0,0,1.6
2019-01-06 22:00:00,5,22,0,0,0.8
2019-01-06 23:00:00,5,23,0,0,1.2
2019-01-07 00:00:00,6,0,0,0,2.4
2019-01-07 01:00:00,6,1,0,0,1.4
2019-01-07 02:00:00,6,2,0,0,0.8
2019-01-07 03:00:00,6,3,0,0,0.4
2019-01-07 04:00:00,6,4,0,0,0.3
2019-01-07 05:00:00,6,5,0,0,0.8
2019-01-07 06:00:00,6,6,0,0,0.5
2019-01-07 07:00:00,6,7,0,0,0.8
2019-01-07 08:00:00,6,8,0,0,0.4
2019-01-07 09:00:00,6,9,0,0,0.9
2019-01-07 10:00:00,6,10,0,0,1.3
2019-01-07 11:00:00,6,11,0,0,3.3
2019-01-07 12:00:00,6,12,0,0,2.7
2019-01-07 13:00:00,6,13,0,0,2.3
2019-01-07 14:00:00,6,14,0,0,2.4
2019-01-07 15:00:00,6,15,0,0,2.5
2019-01-07 16:00:00,6,16,0,0,2.5
2019-01-07 17:00:00,6,17,0,0,2.9
2019-01-07 18:00:00,6,18,0,0,2.6
2019-01-07 19:00:00,6,19,0,0,1.9
2019-01-07 20:00:00,6,20,0,0,1.4
2019-01-07 21:00:00,6,21,0,0,1.1
2019-01-07 22:00:00,6,22,0,0,0.8
2019-01-07 23:00:00,6,23,0,0,1.5
2019-01-08 00:00:00,7,0,0,0,0.7
2019-01-08 01:00:00,7,1,0,0,0.4
2019-01-08 02:00:00,7,2,0,0,1.5
2019-01-08 03:00:00,7,3,0,0,0.8
2019-01-08 04:00:00,7,4,0,0,0.9
2019-01-08 05:00:00,7,5,0,0,0.9
2019-01-08 06:00:00,7,6,0,0,1.0
2019-01-08 07:00:00,7,7,0,0,1.1
2019-01-08 08:00:00,7,8,0,0,0.8
2019-01-08 09:00:00,7,9,0,0,0.8
2019-01-08 10:00:00,7,10,0,0,1.2
2019-01-08 11:00:00,7,11,0,0,0.6
2019-01-08 12:00:00,7,12,0,0,1.0
2019-01-08 13:00:00,7,13,0,0,1.5
2019-01-08 14:00:00,7,14,0,0,1.7
2019-01-08 15:00:00,7,15,0,0,2.4
2019-01-08 16:00:00,7,16,0,0,1.6
2019-01-08 17:00:00,7,17,0,0,1.3
2019-01-08 18:00:00,7,18,0,0,1.2
2019-01-08 19:00:00,7,19,0,0,2.3
2019-01-08 20:00:00,7,20,0,0,1.5
2019-01-08 21:00:00,7,21,0,0,2.1
2019-01-08 22:00:00,7,22,0,0,0.8
2019-01-08 23:00:00,7,23,0,0,0.7
2019-01-09 00:00:00,8,0,0,0,0.9
2019-01-09 01:00:00,8,1,0,0,1.2
2019-01-09 02:00:00,8,2,0,0,1.4
2019-01-09 03:00:00,8,3,0,0,2.9
2019-01-09 04:00:00,8,4,0,0,3.0
2019-01-09 05:00:00,8,5,0,0,1.7
2019-01-09 06:00:00,8,6,0,0,1.6
2019-01-09 07:00:00,8,7,0,0,0.5
2019-01-09 08:00:00,8,8,0,0,0.6
2019-01-09 09:00:00,8,9,0,0,1.0
2019-01-09 10:00:00,8,10,0,0,0.8
2019-01-09 11:00:00,8,11,0,0,0.7
2019-01-09 12:00:00,8,12,0,0,1.4
2019-01-09 13:00:00,8,13,0,0,2.2
2019-01-09 14:00:00,8,14,0,0,2.5
2019-01-09 15:00:00,8,15,0,0,3.5
2019-01-09 16:00:00,8,16,0,0,2.8
2019-01-09 17:00:00,8,17,0,0,3.1
2019-01-09 18:00:00,8,18,0,0,2.7
