date and time,temperature (°C) - PG3 - layer 1
2019-01-01 00:00:00,          26.33
2019-01-01 01:00:00,        26.3209
2019-01-01 02:00:00,        26.3153
2019-01-01 03:00:00,        26.3125
2019-01-01 04:00:00,        26.3118
2019-01-01 05:00:00,        26.3129
2019-01-01 06:00:00,        26.3159
2019-01-01 07:00:00,         26.325
2019-01-01 08:00:00,        26.3436
2019-01-01 09:00:00,        26.3714
2019-01-01 10:00:00,        26.4091
2019-01-01 11:00:00,        26.4542
2019-01-01 12:00:00,        26.5081
2019-01-01 13:00:00,        26.5605
2019-01-01 14:00:00,        26.6038
2019-01-01 15:00:00,        26.6396
2019-01-01 16:00:00,        26.6668
2019-01-01 17:00:00,        26.6855
2019-01-01 18:00:00,        26.6977
2019-01-01 19:00:00,        26.7026
2019-01-01 20:00:00,        26.7062
2019-01-01 21:00:00,        26.7057
2019-01-01 22:00:00,        26.7025
2019-01-01 23:00:00,        26.6953
2019-01-02 00:00:00,        26.6848
2019-01-02 01:00:00,        26.6746
2019-01-02 02:00:00,        26.6683
2019-01-02 03:00:00,        26.6645
2019-01-02 04:00:00,        26.6647
2019-01-02 05:00:00,        26.6667
2019-01-02 06:00:00,        26.6715
2019-01-02 07:00:00,         26.683
2019-01-02 08:00:00,        26.7038
2019-01-02 09:00:00,        26.7329
2019-01-02 10:00:00,        26.7713
2019-01-02 11:00:00,        26.8177
2019-01-02 12:00:00,        26.8716
2019-01-02 13:00:00,        26.9239
2019-01-02 14:00:00,        26.9673
2019-01-02 15:00:00,         27.003
2019-01-02 16:00:00,        27.0316
2019-01-02 17:00:00,        27.0539
2019-01-02 18:00:00,        27.0691
2019-01-02 19:00:00,        27.0789
2019-01-02 20:00:00,        27.0861
2019-01-02 21:00:00,        27.0902
2019-01-02 22:00:00,        27.0908
2019-01-02 23:00:00,        27.0865
2019-01-03 00:00:00,        27.0771
2019-01-03 01:00:00,        27.0676
2019-01-03 02:00:00,          27.06
2019-01-03 03:00:00,        27.0558
2019-01-03 04:00:00,        27.0549
2019-01-03 05:00:00,        27.0573
2019-01-03 06:00:00,        27.0619
2019-01-03 07:00:00,        27.0724
2019-01-03 08:00:00,        27.0917
2019-01-03 09:00:00,        27.1199
2019-01-03 10:00:00,        27.1558
2019-01-03 11:00:00,        27.1985
2019-01-03 12:00:00,        27.2477
2019-01-03 13:00:00,        27.2954
2019-01-03 14:00:00,         27.333
2019-01-03 15:00:00,        27.3635
2019-01-03 16:00:00,        27.3882
2019-01-03 17:00:00,        27.4077
2019-01-03 18:00:00,        27.4213
2019-01-03 19:00:00,        27.4313
2019-01-03 20:00:00,        27.4398
2019-01-03 21:00:00,        27.4466
2019-01-03 22:00:00,        27.4493
2019-01-03 23:00:00,        27.4457
2019-01-04 00:00:00,        27.4351
2019-01-04 01:00:00,        27.4216
2019-01-04 02:00:00,        27.4092
2019-01-04 03:00:00,         27.399
2019-01-04 04:00:00,        27.3926
2019-01-04 05:00:00,        27.3897
2019-01-04 06:00:00,        27.3885
2019-01-04 07:00:00,        27.3894
2019-01-04 08:00:00,        27.3966
2019-01-04 09:00:00,        27.4117
2019-01-04 10:00:00,        27.4328
2019-01-04 11:00:00,        27.4565
2019-01-04 12:00:00,        27.4845
2019-01-04 13:00:00,         27.512
2019-01-04 14:00:00,        27.5327
2019-01-04 15:00:00,        27.5487
2019-01-04 16:00:00,        27.5613
2019-01-04 17:00:00,        27.5711
2019-01-04 18:00:00,         27.578
2019-01-04 19:00:00,        27.5845
2019-01-04 20:00:00,        27.5908
2019-01-04 21:00:00,        27.5942
2019-01-04 22:00:00,        27.5932
2019-01-04 23:00:00,        27.5869
2019-01-05 00:00:00,        27.5755
2019-01-05 01:00:00,        27.5594
2019-01-05 02:00:00,        27.5419
2019-01-05 03:00:00,         27.525
2019-01-05 04:00:00,        27.5119
2019-01-05 05:00:00,        27.5054
2019-01-05 06:00:00,        27.5056
2019-01-05 07:00:00,        27.5115
2019-01-05 08:00:00,        27.5221
2019-01-05 09:00:00,        27.5361
2019-01-05 10:00:00,        27.5511
2019-01-05 11:00:00,        27.5665
2019-01-05 12:00:00,        27.5825
2019-01-05 13:00:00,        27.5943
2019-01-05 14:00:00,        27.5997
2019-01-05 15:00:00,        27.6015
2019-01-05 16:00:00,        27.6013
2019-01-05 17:00:00,        27.6019
2019-01-05 18:00:00,        27.6054
2019-01-05 19:00:00,        27.6119
2019-01-05 20:00:00,        27.6185
2019-01-05 21:00:00,        27.6232
2019-01-05 22:00:00,        27.6241
2019-01-05 23:00:00,        27.6188
2019-01-06 00:00:00,        27.6073
2019-01-06 01:00:00,        27.5917
2019-01-06 02:00:00,        27.5735
2019-01-06 03:00:00,        27.5542
2019-01-06 04:00:00,        27.5366
2019-01-06 05:00:00,        27.5243
2019-01-06 06:00:00,        27.5192
2019-01-06 07:00:00,        27.5219
2019-01-06 08:00:00,        27.5315
2019-01-06 09:00:00,        27.5445
2019-01-06 10:00:00,        27.5583
2019-01-06 11:00:00,        27.5724
2019-01-06 12:00:00,        27.5862
2019-01-06 13:00:00,         27.595
2019-01-06 14:00:00,        27.5959
2019-01-06 15:00:00,        27.5917
2019-01-06 16:00:00,        27.5873
2019-01-06 17:00:00,        27.5863
2019-01-06 18:00:00,        27.5899
2019-01-06 19:00:00,        27.5992
2019-01-06 20:00:00,        27.6138
2019-01-06 21:00:00,        27.6288
2019-01-06 22:00:00,        27.6398
2019-01-06 23:00:00,        27.6443
2019-01-07 00:00:00,        27.6398
2019-01-07 01:00:00,        27.6304
2019-01-07 02:00:00,        27.6207
2019-01-07 03:00:00,        27.6113
2019-01-07 04:00:00,        27.6041
2019-01-07 05:00:00,        27.6012
2019-01-07 06:00:00,        27.6053
2019-01-07 07:00:00,        27.6201
2019-01-07 08:00:00,         27.648
2019-01-07 09:00:00,        27.6865
2019-01-07 10:00:00,        27.7336
2019-01-07 11:00:00,        27.7873
2019-01-07 12:00:00,        27.8464
2019-01-07 13:00:00,        27.9025
2019-01-07 14:00:00,        27.9448
2019-01-07 15:00:00,        27.9734
2019-01-07 16:00:00,        27.9908
2019-01-07 17:00:00,         28.001
2019-01-07 18:00:00,        28.0088
2019-01-07 19:00:00,        28.0198
2019-01-07 20:00:00,         28.037
2019-01-07 21:00:00,        28.0576
2019-01-07 22:00:00,        28.0771
2019-01-07 23:00:00,        28.0905
2019-01-08 00:00:00,         28.095
2019-01-08 01:00:00,        28.0934
2019-01-08 02:00:00,        28.0874
2019-01-08 03:00:00,        28.0777
2019-01-08 04:00:00,        28.0669
2019-01-08 05:00:00,        28.0582
2019-01-08 06:00:00,        28.0565
2019-01-08 07:00:00,        28.0682
2019-01-08 08:00:00,        28.0976
2019-01-08 09:00:00,        28.1412
2019-01-08 10:00:00,        28.1945
2019-01-08 11:00:00,        28.2554
2019-01-08 12:00:00,        28.3237
2019-01-08 13:00:00,        28.3878
2019-01-08 14:00:00,        28.4372
2019-01-08 15:00:00,        28.4709
2019-01-08 16:00:00,        28.4912
2019-01-08 17:00:00,         28.503
2019-01-08 18:00:00,        28.5113
2019-01-08 19:00:00,        28.5213
2019-01-08 20:00:00,         28.537
2019-01-08 21:00:00,        28.5545
2019-01-08 22:00:00,        28.5699
2019-01-08 23:00:00,        28.5817
2019-01-09 00:00:00,        28.5873
2019-01-09 01:00:00,        28.5884
2019-01-09 02:00:00,        28.5854
2019-01-09 03:00:00,        28.5756
2019-01-09 04:00:00,        28.5601
2019-01-09 05:00:00,        28.5468
2019-01-09 06:00:00,        28.5409
2019-01-09 07:00:00,        28.5485
2019-01-09 08:00:00,        28.5727
2019-01-09 09:00:00,        28.6094
2019-01-09 10:00:00,        28.6558
2019-01-09 11:00:00,        28.7119
2019-01-09 12:00:00,        28.7753
2019-01-09 13:00:00,        28.8337
2019-01-09 14:00:00,        28.8777
2019-01-09 15:00:00,         28.906
2019-01-09 16:00:00,          28.92
2019-01-09 17:00:00,        28.9216
2019-01-09 18:00:00,         28.915
2019-01-09 19:00:00,        28.9097
2019-01-09 20:00:00,        28.9105
2019-01-09 21:00:00,        28.9168
2019-01-09 22:00:00,         28.924
2019-01-09 23:00:00,        28.9277
2019-01-10 00:00:00,        28.9277
2019-01-10 01:00:00,        28.9259
2019-01-10 02:00:00,        28.9228
2019-01-10 03:00:00,        28.9163
2019-01-10 04:00:00,        28.9065
2019-01-10 05:00:00,        28.8942
2019-01-10 06:00:00,        28.8841
2019-01-10 07:00:00,        28.8844
2019-01-10 08:00:00,        28.9002
2019-01-10 09:00:00,        28.9318
2019-01-10 10:00:00,        28.9771
2019-01-10 11:00:00,        29.0329
2019-01-10 12:00:00,        29.0952
2019-01-10 13:00:00,        29.1539
2019-01-10 14:00:00,         29.201
2019-01-10 15:00:00,        29.2357
2019-01-10 16:00:00,        29.2569
2019-01-10 17:00:00,         29.264
2019-01-10 18:00:00,        29.2572
2019-01-10 19:00:00,        29.2439
2019-01-10 20:00:00,        29.2325
2019-01-10 21:00:00,         29.226
2019-01-10 22:00:00,        29.2232
2019-01-10 23:00:00,        29.2208
2019-01-11 00:00:00,        29.2161
2019-01-11 01:00:00,        29.2099
2019-01-11 02:00:00,        29.2046
2019-01-11 03:00:00,        29.1933
2019-01-11 04:00:00,        29.1736
2019-01-11 05:00:00,        29.1482
2019-01-11 06:00:00,        29.1187
2019-01-11 07:00:00,        29.0932
2019-01-11 08:00:00,        29.0842
2019-01-11 09:00:00,        29.0964
2019-01-11 10:00:00,        29.1261
2019-01-11 11:00:00,        29.1679
2019-01-11 12:00:00,        29.2201
2019-01-11 13:00:00,        29.2725
2019-01-11 14:00:00,        29.3174
2019-01-11 15:00:00,        29.3528
2019-01-11 16:00:00,         29.373
2019-01-11 17:00:00,         29.375
2019-01-11 18:00:00,        29.3598
2019-01-11 19:00:00,        29.3369
2019-01-11 20:00:00,        29.3157
2019-01-11 21:00:00,        29.3016
2019-01-11 22:00:00,        29.2973
2019-01-11 23:00:00,        29.2969
2019-01-12 00:00:00,        29.2932
2019-01-12 01:00:00,        29.2874
2019-01-12 02:00:00,        29.2828
2019-01-12 03:00:00,        29.2793
2019-01-12 04:00:00,        29.2735
2019-01-12 05:00:00,        29.2623
2019-01-12 06:00:00,        29.2453
2019-01-12 07:00:00,        29.2307
2019-01-12 08:00:00,        29.2287
2019-01-12 09:00:00,        29.2437
2019-01-12 10:00:00,        29.2775
2019-01-12 11:00:00,        29.3262
2019-01-12 12:00:00,        29.3848
2019-01-12 13:00:00,        29.4408
2019-01-12 14:00:00,        29.4852
2019-01-12 15:00:00,        29.5205
2019-01-12 16:00:00,        29.5451
2019-01-12 17:00:00,        29.5567
2019-01-12 18:00:00,        29.5543
2019-01-12 19:00:00,        29.5406
2019-01-12 20:00:00,        29.5266
2019-01-12 21:00:00,        29.5174
2019-01-12 22:00:00,        29.5127
2019-01-12 23:00:00,        29.5122
2019-01-13 00:00:00,        29.5128
2019-01-13 01:00:00,        29.5137
2019-01-13 02:00:00,        29.5145
2019-01-13 03:00:00,        29.5165
2019-01-13 04:00:00,        29.5207
2019-01-13 05:00:00,        29.5241
2019-01-13 06:00:00,        29.5226
2019-01-13 07:00:00,        29.5192
2019-01-13 08:00:00,        29.5225
2019-01-13 09:00:00,        29.5382
2019-01-13 10:00:00,        29.5688
2019-01-13 11:00:00,        29.6146
2019-01-13 12:00:00,        29.6727
2019-01-13 13:00:00,         29.731
2019-01-13 14:00:00,        29.7792
2019-01-13 15:00:00,        29.8185
2019-01-13 16:00:00,        29.8504
2019-01-13 17:00:00,        29.8753
2019-01-13 18:00:00,        29.8876
2019-01-13 19:00:00,        29.8854
2019-01-13 20:00:00,        29.8773
2019-01-13 21:00:00,        29.8678
2019-01-13 22:00:00,        29.8618
2019-01-13 23:00:00,         29.862
2019-01-14 00:00:00,         29.864
2019-01-14 01:00:00,        29.8663
2019-01-14 02:00:00,        29.8685
2019-01-14 03:00:00,        29.8716
2019-01-14 04:00:00,        29.8781
2019-01-14 05:00:00,        29.8885
2019-01-14 06:00:00,        29.8989
2019-01-14 07:00:00,        29.9064
2019-01-14 08:00:00,        29.9136
2019-01-14 09:00:00,        29.9262
2019-01-14 10:00:00,        29.9517
2019-01-14 11:00:00,        29.9947
2019-01-14 12:00:00,        30.0539
2019-01-14 13:00:00,        30.1142
2019-01-14 14:00:00,        30.1627
2019-01-14 15:00:00,        30.1995
2019-01-14 16:00:00,        30.2267
2019-01-14 17:00:00,        30.2447
2019-01-14 18:00:00,        30.2532
2019-01-14 19:00:00,        30.2535
2019-01-14 20:00:00,        30.2446
2019-01-14 21:00:00,        30.2258
2019-01-14 22:00:00,        30.2035
2019-01-14 23:00:00,        30.1859
2019-01-15 00:00:00,        30.1766
2019-01-15 01:00:00,        30.1751
