date and time,temperature (°C) - PG2 - layer 1
2019-01-01 00:00:00,          26.33
2019-01-01 01:00:00,        26.3174
2019-01-01 02:00:00,        26.3093
2019-01-01 03:00:00,        26.3026
2019-01-01 04:00:00,        26.2996
2019-01-01 05:00:00,        26.3014
2019-01-01 06:00:00,        26.2989
2019-01-01 07:00:00,        26.3082
2019-01-01 08:00:00,        26.3222
2019-01-01 09:00:00,         26.343
2019-01-01 10:00:00,        26.3764
2019-01-01 11:00:00,        26.4148
2019-01-01 12:00:00,        26.4639
2019-01-01 13:00:00,         26.511
2019-01-01 14:00:00,        26.5471
2019-01-01 15:00:00,        26.5777
2019-01-01 16:00:00,        26.5972
2019-01-01 17:00:00,        26.6133
2019-01-01 18:00:00,        26.6252
2019-01-01 19:00:00,         26.632
2019-01-01 20:00:00,        26.6386
2019-01-01 21:00:00,        26.6403
2019-01-01 22:00:00,         26.639
2019-01-01 23:00:00,        26.6364
2019-01-02 00:00:00,        26.6302
2019-01-02 01:00:00,        26.6242
2019-01-02 02:00:00,        26.6187
2019-01-02 03:00:00,        26.6131
2019-01-02 04:00:00,        26.6087
2019-01-02 05:00:00,        26.6054
2019-01-02 06:00:00,        26.6067
2019-01-02 07:00:00,        26.6166
2019-01-02 08:00:00,        26.6346
2019-01-02 09:00:00,        26.6601
2019-01-02 10:00:00,        26.6936
2019-01-02 11:00:00,        26.7358
2019-01-02 12:00:00,        26.7851
2019-01-02 13:00:00,        26.8326
2019-01-02 14:00:00,        26.8717
2019-01-02 15:00:00,        26.9023
2019-01-02 16:00:00,        26.9245
2019-01-02 17:00:00,        26.9409
2019-01-02 18:00:00,        26.9523
2019-01-02 19:00:00,        26.9619
2019-01-02 20:00:00,        26.9716
2019-01-02 21:00:00,        26.9791
2019-01-02 22:00:00,        26.9831
2019-01-02 23:00:00,        26.9829
2019-01-03 00:00:00,        26.9786
2019-01-03 01:00:00,         26.973
2019-01-03 02:00:00,        26.9669
2019-01-03 03:00:00,        26.9616
2019-01-03 04:00:00,        26.9555
2019-01-03 05:00:00,        26.9462
2019-01-03 06:00:00,        26.9402
2019-01-03 07:00:00,        26.9438
2019-01-03 08:00:00,        26.9589
2019-01-03 09:00:00,        26.9835
2019-01-03 10:00:00,        27.0158
2019-01-03 11:00:00,        27.0553
2019-01-03 12:00:00,        27.1018
2019-01-03 13:00:00,        27.1477
2019-01-03 14:00:00,         27.184
2019-01-03 15:00:00,        27.2109
2019-01-03 16:00:00,        27.2273
2019-01-03 17:00:00,        27.2302
2019-01-03 18:00:00,        27.2256
2019-01-03 19:00:00,        27.2223
2019-01-03 20:00:00,        27.2256
2019-01-03 21:00:00,        27.2335
2019-01-03 22:00:00,        27.2433
2019-01-03 23:00:00,        27.2517
2019-01-04 00:00:00,        27.2553
2019-01-04 01:00:00,        27.2557
2019-01-04 02:00:00,        27.2546
2019-01-04 03:00:00,          27.25
2019-01-04 04:00:00,        27.2415
2019-01-04 05:00:00,        27.2249
2019-01-04 06:00:00,        27.2047
2019-01-04 07:00:00,        27.1869
2019-01-04 08:00:00,        27.1848
2019-01-04 09:00:00,        27.1995
2019-01-04 10:00:00,        27.2225
2019-01-04 11:00:00,        27.2494
2019-01-04 12:00:00,        27.2836
2019-01-04 13:00:00,        27.3201
2019-01-04 14:00:00,        27.3504
2019-01-04 15:00:00,        27.3742
2019-01-04 16:00:00,        27.3926
2019-01-04 17:00:00,        27.4096
2019-01-04 18:00:00,         27.427
2019-01-04 19:00:00,        27.4421
2019-01-04 20:00:00,        27.4531
2019-01-04 21:00:00,        27.4589
2019-01-04 22:00:00,        27.4596
2019-01-04 23:00:00,        27.4558
2019-01-05 00:00:00,         27.447
2019-01-05 01:00:00,        27.4354
2019-01-05 02:00:00,         27.423
2019-01-05 03:00:00,          27.41
2019-01-05 04:00:00,         27.398
2019-01-05 05:00:00,        27.3853
2019-01-05 06:00:00,        27.3719
2019-01-05 07:00:00,        27.3664
2019-01-05 08:00:00,        27.3723
2019-01-05 09:00:00,         27.384
2019-01-05 10:00:00,        27.3962
2019-01-05 11:00:00,        27.4087
2019-01-05 12:00:00,        27.4221
2019-01-05 13:00:00,        27.4337
2019-01-05 14:00:00,        27.4416
2019-01-05 15:00:00,        27.4463
2019-01-05 16:00:00,        27.4462
2019-01-05 17:00:00,        27.4405
2019-01-05 18:00:00,        27.4359
2019-01-05 19:00:00,        27.4416
2019-01-05 20:00:00,        27.4579
2019-01-05 21:00:00,         27.472
2019-01-05 22:00:00,        27.4764
2019-01-05 23:00:00,        27.4712
2019-01-06 00:00:00,        27.4589
2019-01-06 01:00:00,        27.4451
2019-01-06 02:00:00,        27.4319
2019-01-06 03:00:00,        27.4184
2019-01-06 04:00:00,        27.4051
2019-01-06 05:00:00,        27.3945
2019-01-06 06:00:00,        27.3861
2019-01-06 07:00:00,        27.3795
2019-01-06 08:00:00,          27.38
2019-01-06 09:00:00,        27.3876
2019-01-06 10:00:00,        27.3992
2019-01-06 11:00:00,        27.4123
2019-01-06 12:00:00,        27.4265
2019-01-06 13:00:00,        27.4382
2019-01-06 14:00:00,        27.4443
2019-01-06 15:00:00,        27.4456
