date and time,temperature (°C) - Guaruja - layer 1
2019-01-01 00:00:00,          26.33
2019-01-01 01:00:00,        26.3229
2019-01-01 02:00:00,        26.3184
2019-01-01 03:00:00,        26.3164
2019-01-01 04:00:00,        26.3158
2019-01-01 05:00:00,        26.3165
2019-01-01 06:00:00,         26.319
2019-01-01 07:00:00,        26.3259
2019-01-01 08:00:00,        26.3405
2019-01-01 09:00:00,        26.3614
2019-01-01 10:00:00,        26.3907
2019-01-01 11:00:00,        26.4229
2019-01-01 12:00:00,        26.4612
2019-01-01 13:00:00,         26.499
2019-01-01 14:00:00,        26.5295
2019-01-01 15:00:00,         26.556
2019-01-01 16:00:00,        26.5759
2019-01-01 17:00:00,        26.5892
2019-01-01 18:00:00,        26.5977
2019-01-01 19:00:00,        26.5985
2019-01-01 20:00:00,        26.6001
2019-01-01 21:00:00,        26.5972
2019-01-01 22:00:00,        26.5916
2019-01-01 23:00:00,        26.5834
2019-01-02 00:00:00,        26.5737
2019-01-02 01:00:00,        26.5663
2019-01-02 02:00:00,        26.5631
2019-01-02 03:00:00,        26.5619
2019-01-02 04:00:00,        26.5626
2019-01-02 05:00:00,        26.5645
2019-01-02 06:00:00,        26.5688
2019-01-02 07:00:00,         26.578
2019-01-02 08:00:00,        26.5946
2019-01-02 09:00:00,        26.6184
2019-01-02 10:00:00,        26.6493
2019-01-02 11:00:00,        26.6834
2019-01-02 12:00:00,        26.7223
2019-01-02 13:00:00,        26.7603
2019-01-02 14:00:00,        26.7912
2019-01-02 15:00:00,        26.8171
2019-01-02 16:00:00,        26.8409
2019-01-02 17:00:00,        26.8638
2019-01-02 18:00:00,        26.8846
2019-01-02 19:00:00,        26.9014
2019-01-02 20:00:00,        26.9144
2019-01-02 21:00:00,        26.9215
2019-01-02 22:00:00,        26.9208
2019-01-02 23:00:00,        26.9099
2019-01-03 00:00:00,        26.8903
2019-01-03 01:00:00,        26.8708
2019-01-03 02:00:00,        26.8552
2019-01-03 03:00:00,        26.8464
2019-01-03 04:00:00,        26.8452
2019-01-03 05:00:00,        26.8518
2019-01-03 06:00:00,        26.8628
2019-01-03 07:00:00,        26.8793
2019-01-03 08:00:00,        26.9094
2019-01-03 09:00:00,        26.9486
2019-01-03 10:00:00,        26.9869
2019-01-03 11:00:00,        27.0223
2019-01-03 12:00:00,        27.0523
2019-01-03 13:00:00,        27.0731
2019-01-03 14:00:00,        27.0879
2019-01-03 15:00:00,        27.1046
2019-01-03 16:00:00,        27.1268
2019-01-03 17:00:00,        27.1589
2019-01-03 18:00:00,        27.2005
2019-01-03 19:00:00,        27.2397
2019-01-03 20:00:00,        27.2545
2019-01-03 21:00:00,        27.2559
2019-01-03 22:00:00,        27.2527
2019-01-03 23:00:00,        27.2433
2019-01-04 00:00:00,        27.2262
2019-01-04 01:00:00,        27.2036
2019-01-04 02:00:00,        27.1785
2019-01-04 03:00:00,        27.1562
2019-01-04 04:00:00,        27.1445
2019-01-04 05:00:00,        27.1467
2019-01-04 06:00:00,          27.16
2019-01-04 07:00:00,        27.1818
2019-01-04 08:00:00,        27.2266
2019-01-04 09:00:00,        27.2491
2019-01-04 10:00:00,        27.2539
2019-01-04 11:00:00,        27.2619
2019-01-04 12:00:00,        27.2761
2019-01-04 13:00:00,        27.2903
2019-01-04 14:00:00,        27.2993
2019-01-04 15:00:00,        27.3059
2019-01-04 16:00:00,        27.3151
2019-01-04 17:00:00,        27.3229
2019-01-04 18:00:00,         27.296
2019-01-04 19:00:00,        27.2819
2019-01-04 20:00:00,        27.2908
2019-01-04 21:00:00,        27.3005
2019-01-04 22:00:00,        27.3033
2019-01-04 23:00:00,        27.2961
2019-01-05 00:00:00,        27.2773
2019-01-05 01:00:00,        27.2479
2019-01-05 02:00:00,        27.2092
2019-01-05 03:00:00,        27.1733
2019-01-05 04:00:00,        27.1589
2019-01-05 05:00:00,        27.1557
2019-01-05 06:00:00,        27.1523
2019-01-05 07:00:00,        27.1478
2019-01-05 08:00:00,        27.1474
2019-01-05 09:00:00,        27.1533
2019-01-05 10:00:00,         27.163
2019-01-05 11:00:00,        27.1722
2019-01-05 12:00:00,         27.183
2019-01-05 13:00:00,         27.196
2019-01-05 14:00:00,        27.2088
2019-01-05 15:00:00,        27.2198
2019-01-05 16:00:00,         27.229
2019-01-05 17:00:00,         27.233
2019-01-05 18:00:00,        27.2308
2019-01-05 19:00:00,        27.2229
2019-01-05 20:00:00,        27.2144
2019-01-05 21:00:00,        27.2349
