date and time,temperature (°C) - Santos - layer 1
2019-01-01 00:00:00,          26.33
2019-01-01 01:00:00,         26.316
2019-01-01 02:00:00,        26.3103
2019-01-01 03:00:00,        26.3069
2019-01-01 04:00:00,        26.2913
2019-01-01 05:00:00,        26.3023
2019-01-01 06:00:00,         26.291
2019-01-01 07:00:00,         26.319
2019-01-01 08:00:00,        26.3362
2019-01-01 09:00:00,        26.3533
2019-01-01 10:00:00,        26.3958
2019-01-01 11:00:00,        26.3821
2019-01-01 12:00:00,        26.4195
2019-01-01 13:00:00,        26.4853
2019-01-01 14:00:00,        26.5335
2019-01-01 15:00:00,        26.5541
2019-01-01 16:00:00,        26.5688
2019-01-01 17:00:00,        26.5737
2019-01-01 18:00:00,        26.5888
2019-01-01 19:00:00,        26.5946
2019-01-01 20:00:00,        26.6296
2019-01-01 21:00:00,        26.6361
2019-01-01 22:00:00,         26.599
2019-01-01 23:00:00,        26.5679
2019-01-02 00:00:00,         26.598
2019-01-02 01:00:00,        26.6148
2019-01-02 02:00:00,        26.6171
2019-01-02 03:00:00,          26.61
2019-01-02 04:00:00,        26.5977
2019-01-02 05:00:00,        26.5873
2019-01-02 06:00:00,         26.588
2019-01-02 07:00:00,        26.6107
2019-01-02 08:00:00,        26.6484
2019-01-02 09:00:00,        26.6949
2019-01-02 10:00:00,        26.7328
2019-01-02 11:00:00,        26.7276
2019-01-02 12:00:00,        26.7528
2019-01-02 13:00:00,        26.8227
2019-01-02 14:00:00,        26.8781
2019-01-02 15:00:00,         26.913
2019-01-02 16:00:00,        26.9269
2019-01-02 17:00:00,        26.9395
2019-01-02 18:00:00,        26.9629
2019-01-02 19:00:00,        26.9979
2019-01-02 20:00:00,        27.0361
2019-01-02 21:00:00,        27.0649
2019-01-02 22:00:00,        27.0768
2019-01-02 23:00:00,        27.0339
2019-01-03 00:00:00,        26.9695
2019-01-03 01:00:00,        26.9649
2019-01-03 02:00:00,        26.9667
2019-01-03 03:00:00,        26.9696
2019-01-03 04:00:00,        26.9701
2019-01-03 05:00:00,        26.9661
2019-01-03 06:00:00,        26.9592
2019-01-03 07:00:00,        26.9634
2019-01-03 08:00:00,        26.9902
2019-01-03 09:00:00,        27.0415
2019-01-03 10:00:00,        27.1034
2019-01-03 11:00:00,        27.1454
2019-01-03 12:00:00,        27.1315
2019-01-03 13:00:00,        27.1442
2019-01-03 14:00:00,        27.1907
2019-01-03 15:00:00,         27.236
2019-01-03 16:00:00,        27.2686
2019-01-03 17:00:00,        27.2781
2019-01-03 18:00:00,         27.277
2019-01-03 19:00:00,        27.2966
2019-01-03 20:00:00,        27.3446
2019-01-03 21:00:00,         27.401
2019-01-03 22:00:00,        27.4402
2019-01-03 23:00:00,        27.4452
2019-01-04 00:00:00,        27.3807
2019-01-04 01:00:00,        27.3373
2019-01-04 02:00:00,        27.3162
2019-01-04 03:00:00,        27.2975
2019-01-04 04:00:00,        27.3153
2019-01-04 05:00:00,        27.3281
2019-01-04 06:00:00,        27.3233
2019-01-04 07:00:00,        27.3088
2019-01-04 08:00:00,        27.3092
2019-01-04 09:00:00,        27.3368
2019-01-04 10:00:00,        27.3814
2019-01-04 11:00:00,        27.4204
2019-01-04 12:00:00,        27.4129
2019-01-04 13:00:00,        27.3977
2019-01-04 14:00:00,        27.4393
2019-01-04 15:00:00,        27.5056
2019-01-04 16:00:00,         27.564
2019-01-04 17:00:00,        27.5922
2019-01-04 18:00:00,        27.5847
2019-01-04 19:00:00,        27.5524
2019-01-04 20:00:00,        27.5241
2019-01-04 21:00:00,        27.5278
2019-01-04 22:00:00,        27.5481
2019-01-04 23:00:00,        27.5587
2019-01-05 00:00:00,        27.5173
2019-01-05 01:00:00,        27.4866
2019-01-05 02:00:00,        27.5189
2019-01-05 03:00:00,        27.5263
2019-01-05 04:00:00,         27.563
2019-01-05 05:00:00,        27.5957
2019-01-05 06:00:00,        27.5993
2019-01-05 07:00:00,        27.5806
2019-01-05 08:00:00,        27.5538
2019-01-05 09:00:00,        27.5446
2019-01-05 10:00:00,        27.5711
2019-01-05 11:00:00,        27.6109
2019-01-05 12:00:00,        27.6267
2019-01-05 13:00:00,        27.5887
2019-01-05 14:00:00,         27.585
2019-01-05 15:00:00,        27.6105
2019-01-05 16:00:00,        27.6382
2019-01-05 17:00:00,         27.664
2019-01-05 18:00:00,        27.6618
2019-01-05 19:00:00,        27.6346
2019-01-05 20:00:00,        27.6276
2019-01-05 21:00:00,         27.672
2019-01-05 22:00:00,        27.7119
2019-01-05 23:00:00,        27.7208
2019-01-06 00:00:00,         27.714
2019-01-06 01:00:00,        27.6634
2019-01-06 02:00:00,         27.637
2019-01-06 03:00:00,        27.6571
2019-01-06 04:00:00,         27.615
2019-01-06 05:00:00,        27.6199
2019-01-06 06:00:00,        27.6346
2019-01-06 07:00:00,        27.6245
2019-01-06 08:00:00,        27.6097
2019-01-06 09:00:00,        27.6198
2019-01-06 10:00:00,        27.6603
2019-01-06 11:00:00,         27.705
2019-01-06 12:00:00,        27.7373
2019-01-06 13:00:00,        27.7229
2019-01-06 14:00:00,        27.6793
2019-01-06 15:00:00,        27.6876
2019-01-06 16:00:00,        27.6891
2019-01-06 17:00:00,        27.6881
2019-01-06 18:00:00,        27.6899
2019-01-06 19:00:00,        27.6747
2019-01-06 20:00:00,        27.6812
2019-01-06 21:00:00,         27.727
2019-01-06 22:00:00,        27.7709
2019-01-06 23:00:00,        27.7864
2019-01-07 00:00:00,        27.7836
2019-01-07 01:00:00,        27.7622
2019-01-07 02:00:00,        27.7022
2019-01-07 03:00:00,         27.703
2019-01-07 04:00:00,         27.704
2019-01-07 05:00:00,        27.6647
2019-01-07 06:00:00,        27.6677
2019-01-07 07:00:00,        27.6817
2019-01-07 08:00:00,        27.6939
2019-01-07 09:00:00,        27.7306
2019-01-07 10:00:00,        27.7933
2019-01-07 11:00:00,        27.8641
2019-01-07 12:00:00,        27.9336
2019-01-07 13:00:00,        27.9737
2019-01-07 14:00:00,        27.9589
2019-01-07 15:00:00,        27.9818
2019-01-07 16:00:00,        28.0187
2019-01-07 17:00:00,        28.0223
2019-01-07 18:00:00,        28.0361
2019-01-07 19:00:00,        28.0399
2019-01-07 20:00:00,        28.0358
2019-01-07 21:00:00,        28.0646
2019-01-07 22:00:00,        28.1142
2019-01-07 23:00:00,        28.1499
2019-01-08 00:00:00,        28.1679
2019-01-08 01:00:00,        28.1704
2019-01-08 02:00:00,         28.121
2019-01-08 03:00:00,        28.0827
