date and time,BOD5 (gO2/m3)
2012-01-01 00:00:00,              0
2012-01-01 02:00:00,     0.00100255
2012-01-01 04:00:00,      0.0128157
2012-01-01 06:00:00,        0.01872
2012-01-01 08:00:00,      0.0155556
2012-01-01 10:00:00,      0.0114559
2012-01-01 12:00:00,       0.014603
2012-01-01 14:00:00,      0.0178619
2012-01-01 16:00:00,      0.0179204
2012-01-01 18:00:00,      0.0169123
2012-01-01 20:00:00,      0.0136713
2012-01-01 22:00:00,     0.00920394
2012-01-02 00:00:00,     0.00542462
2012-01-02 02:00:00,     0.00295331
2012-01-02 04:00:00,     0.00181574
2012-01-02 06:00:00,     0.00141618
2012-01-02 08:00:00,     0.00133934
2012-01-02 10:00:00,     0.00138466
2012-01-02 12:00:00,     0.00149114
2012-01-02 14:00:00,     0.00154467
2012-01-02 16:00:00,     0.00181116
2012-01-02 18:00:00,     0.00621795
2012-01-02 20:00:00,      0.0113794
2012-01-02 22:00:00,      0.0104048
2012-01-03 00:00:00,      0.0107163
2012-01-03 02:00:00,      0.0172907
2012-01-03 04:00:00,      0.0279488
2012-01-03 06:00:00,      0.0417129
2012-01-03 08:00:00,      0.0512809
2012-01-03 10:00:00,      0.0529983
2012-01-03 12:00:00,      0.0536547
2012-01-03 14:00:00,      0.0581685
2012-01-03 16:00:00,      0.0603051
2012-01-03 18:00:00,      0.0619788
2012-01-03 20:00:00,      0.0672915
2012-01-03 22:00:00,      0.0679931
2012-01-04 00:00:00,      0.0513246
2012-01-04 02:00:00,      0.0418012
2012-01-04 04:00:00,      0.0406611
2012-01-04 06:00:00,      0.0453329
2012-01-04 08:00:00,       0.050636
2012-01-04 10:00:00,      0.0484116
2012-01-04 12:00:00,      0.0353509
2012-01-04 14:00:00,      0.0278816
2012-01-04 16:00:00,      0.0285069
2012-01-04 18:00:00,      0.0328637
2012-01-04 20:00:00,      0.0329527
2012-01-04 22:00:00,      0.0246469
2012-01-05 00:00:00,      0.0154463
2012-01-05 02:00:00,      0.0131116
2012-01-05 04:00:00,        0.01483
2012-01-05 06:00:00,      0.0191047
2012-01-05 08:00:00,      0.0239907
2012-01-05 10:00:00,      0.0261124
2012-01-05 12:00:00,      0.0280105
2012-01-05 14:00:00,      0.0327921
2012-01-05 16:00:00,      0.0419864
2012-01-05 18:00:00,      0.0595606
2012-01-05 20:00:00,      0.0797508
2012-01-05 22:00:00,      0.0992709
2012-01-06 00:00:00,       0.125717
2012-01-06 02:00:00,       0.168963
2012-01-06 04:00:00,       0.205214
2012-01-06 06:00:00,       0.220561
2012-01-06 08:00:00,       0.219043
2012-01-06 10:00:00,       0.211171
2012-01-06 12:00:00,       0.211371
2012-01-06 14:00:00,       0.219012
2012-01-06 16:00:00,       0.213656
2012-01-06 18:00:00,       0.191759
