date and time,Kjeldahl nitrogen (gN/m3)
2012-01-01 00:00:00,              0
2012-01-01 02:00:00,    0.000333574
2012-01-01 04:00:00,      0.0042908
2012-01-01 06:00:00,     0.00630567
2012-01-01 08:00:00,     0.00526322
2012-01-01 10:00:00,     0.00388067
2012-01-01 12:00:00,     0.00493042
2012-01-01 14:00:00,     0.00604831
2012-01-01 16:00:00,     0.00611565
2012-01-01 18:00:00,      0.0058651
2012-01-01 20:00:00,     0.00483417
2012-01-01 22:00:00,     0.00331005
2012-01-02 00:00:00,      0.0019808
2012-01-02 02:00:00,     0.00109226
2012-01-02 04:00:00,    0.000675795
2012-01-02 06:00:00,    0.000526155
2012-01-02 08:00:00,     0.00049434
2012-01-02 10:00:00,    0.000509591
2012-01-02 12:00:00,    0.000553268
2012-01-02 14:00:00,    0.000579861
2012-01-02 16:00:00,    0.000665239
2012-01-02 18:00:00,     0.00212995
2012-01-02 20:00:00,     0.00386585
2012-01-02 22:00:00,     0.00354198
2012-01-03 00:00:00,     0.00364746
2012-01-03 02:00:00,     0.00587651
2012-01-03 04:00:00,     0.00949265
2012-01-03 06:00:00,      0.0141624
2012-01-03 08:00:00,      0.0174481
2012-01-03 10:00:00,      0.0180562
2012-01-03 12:00:00,      0.0182853
2012-01-03 14:00:00,      0.0198941
2012-01-03 16:00:00,      0.0207771
2012-01-03 18:00:00,      0.0214665
2012-01-03 20:00:00,      0.0232994
2012-01-03 22:00:00,      0.0234657
2012-01-04 00:00:00,      0.0177379
2012-01-04 02:00:00,      0.0144366
2012-01-04 04:00:00,      0.0140021
2012-01-04 06:00:00,      0.0155474
2012-01-04 08:00:00,      0.0173534
2012-01-04 10:00:00,      0.0166208
2012-01-04 12:00:00,      0.0122204
2012-01-04 14:00:00,     0.00967988
2012-01-04 16:00:00,     0.00984549
2012-01-04 18:00:00,      0.0112381
2012-01-04 20:00:00,      0.0111798
2012-01-04 22:00:00,     0.00822153
2012-01-05 00:00:00,     0.00457511
2012-01-05 02:00:00,     0.00268413
2012-01-05 04:00:00,     0.00208573
2012-01-05 06:00:00,     0.00256753
2012-01-05 08:00:00,     0.00358724
2012-01-05 10:00:00,     0.00368856
2012-01-05 12:00:00,      0.0028583
2012-01-05 14:00:00,     0.00215165
2012-01-05 16:00:00,      0.0030578
2012-01-05 18:00:00,     0.00679584
