date and time,suspended solids (g/m3)
2012-01-01 00:00:00,              0
2012-01-01 02:00:00,     0.00158584
2012-01-01 04:00:00,      0.0203923
2012-01-01 06:00:00,      0.0299589
2012-01-01 08:00:00,      0.0250023
2012-01-01 10:00:00,      0.0184378
2012-01-01 12:00:00,      0.0234396
2012-01-01 14:00:00,      0.0287543
2012-01-01 16:00:00,      0.0290605
2012-01-01 18:00:00,      0.0278338
2012-01-01 20:00:00,      0.0229055
2012-01-01 22:00:00,      0.0156685
2012-01-02 00:00:00,     0.00937529
2012-01-02 02:00:00,     0.00517192
2012-01-02 04:00:00,     0.00319733
2012-01-02 06:00:00,     0.00248189
2012-01-02 08:00:00,     0.00232211
2012-01-02 10:00:00,     0.00238569
2012-01-02 12:00:00,     0.00258694
2012-01-02 14:00:00,     0.00270975
2012-01-02 16:00:00,       0.003116
2012-01-02 18:00:00,       0.010116
2012-01-02 20:00:00,      0.0184076
2012-01-02 22:00:00,      0.0168584
2012-01-03 00:00:00,      0.0173683
2012-01-03 02:00:00,      0.0280287
2012-01-03 04:00:00,      0.0453253
2012-01-03 06:00:00,      0.0676704
2012-01-03 08:00:00,      0.0833906
2012-01-03 10:00:00,      0.0863185
2012-01-03 12:00:00,      0.0874453
2012-01-03 14:00:00,      0.0951445
2012-01-03 16:00:00,      0.0993342
2012-01-03 18:00:00,       0.102621
2012-01-03 20:00:00,       0.111438
2012-01-03 22:00:00,       0.112318
2012-01-04 00:00:00,      0.0849458
2012-01-04 02:00:00,      0.0691939
2012-01-04 04:00:00,      0.0671719
2012-01-04 06:00:00,      0.0746475
2012-01-04 08:00:00,      0.0833537
2012-01-04 10:00:00,      0.0798506
2012-01-04 12:00:00,      0.0587148
2012-01-04 14:00:00,      0.0465233
2012-01-04 16:00:00,       0.047351
2012-01-04 18:00:00,      0.0540931
2012-01-04 20:00:00,      0.0538434
2012-01-04 22:00:00,      0.0396017
2012-01-05 00:00:00,        0.02203
2012-01-05 02:00:00,       0.012924
2012-01-05 04:00:00,      0.0100532
2012-01-05 06:00:00,      0.0123969
2012-01-05 08:00:00,      0.0173325
2012-01-05 10:00:00,      0.0178281
2012-01-05 12:00:00,       0.013843
2012-01-05 14:00:00,      0.0104769
2012-01-05 16:00:00,      0.0149147
2012-01-05 18:00:00,      0.0330657
2012-01-05 20:00:00,      0.0498354
2012-01-05 22:00:00,      0.0490513
2012-01-06 00:00:00,      0.0274088
2012-01-06 02:00:00,      0.0125803
2012-01-06 04:00:00,     0.00805407
2012-01-06 06:00:00,     0.00745328
2012-01-06 08:00:00,     0.00751291
2012-01-06 10:00:00,     0.00713739
2012-01-06 12:00:00,     0.00553035
2012-01-06 14:00:00,     0.00433237
2012-01-06 16:00:00,     0.00344674
2012-01-06 18:00:00,     0.00333335
2012-01-06 20:00:00,     0.00460255
2012-01-06 22:00:00,     0.00624626
2012-01-07 00:00:00,     0.00695234
2012-01-07 02:00:00,     0.00647145
2012-01-07 04:00:00,     0.00645232
2012-01-07 06:00:00,     0.00846945
2012-01-07 08:00:00,      0.0111705
2012-01-07 10:00:00,      0.0128879
2012-01-07 12:00:00,      0.0131487
2012-01-07 14:00:00,      0.0118182
2012-01-07 16:00:00,      0.0103318
2012-01-07 18:00:00,      0.0101212
2012-01-07 20:00:00,      0.0111813
2012-01-07 22:00:00,      0.0123311
2012-01-08 00:00:00,      0.0115629
2012-01-08 02:00:00,     0.00903408
2012-01-08 04:00:00,     0.00684226
2012-01-08 06:00:00,     0.00611478
2012-01-08 08:00:00,      0.0066937
2012-01-08 10:00:00,     0.00804934
2012-01-08 12:00:00,     0.00831905
2012-01-08 14:00:00,     0.00686262
2012-01-08 16:00:00,     0.00592384
2012-01-08 18:00:00,     0.00621626
2012-01-08 20:00:00,      0.0103337
2012-01-08 22:00:00,      0.0185384
2012-01-09 00:00:00,      0.0302052
2012-01-09 02:00:00,      0.0249443
2012-01-09 04:00:00,      0.0152952
2012-01-09 06:00:00,      0.0112479
2012-01-09 08:00:00,      0.0135796
2012-01-09 10:00:00,      0.0249489
2012-01-09 12:00:00,      0.0446232
2012-01-09 14:00:00,       0.037413
2012-01-09 16:00:00,      0.0211089
2012-01-09 18:00:00,      0.0190252
2012-01-09 20:00:00,      0.0348339
2012-01-09 22:00:00,      0.0508806
2012-01-10 00:00:00,      0.0537868
2012-01-10 02:00:00,      0.0382692
2012-01-10 04:00:00,      0.0207576
2012-01-10 06:00:00,      0.0166463
2012-01-10 08:00:00,      0.0246024
2012-01-10 10:00:00,      0.0424197
2012-01-10 12:00:00,      0.0609768
2012-01-10 14:00:00,      0.0650239
2012-01-10 16:00:00,      0.0507276
2012-01-10 18:00:00,      0.0397535
2012-01-10 20:00:00,      0.0483463
2012-01-10 22:00:00,      0.0591559
2012-01-11 00:00:00,      0.0729717
2012-01-11 02:00:00,       0.077545
2012-01-11 04:00:00,      0.0480897
2012-01-11 06:00:00,      0.0260796
2012-01-11 08:00:00,      0.0178646
2012-01-11 10:00:00,      0.0142398
2012-01-11 12:00:00,      0.0113475
2012-01-11 14:00:00,     0.00911417
2012-01-11 16:00:00,     0.00773238
2012-01-11 18:00:00,     0.00766559
2012-01-11 20:00:00,     0.00746452
2012-01-11 22:00:00,     0.00620083
2012-01-12 00:00:00,     0.00538202
2012-01-12 02:00:00,     0.00491255
2012-01-12 04:00:00,     0.00469632
2012-01-12 06:00:00,     0.00538697
2012-01-12 08:00:00,     0.00626334
2012-01-12 10:00:00,      0.0051452
2012-01-12 12:00:00,     0.00453734
2012-01-12 14:00:00,     0.00429045
2012-01-12 16:00:00,     0.00415539
2012-01-12 18:00:00,     0.00421322
2012-01-12 20:00:00,     0.00417888
2012-01-12 22:00:00,     0.00387119
2012-01-13 00:00:00,     0.00372117
2012-01-13 02:00:00,     0.00356114
