date and time,ambient water temperature (oC)
2012-01-01 00:00:00,          25.68
2012-01-01 02:00:00,        25.6525
2012-01-01 04:00:00,        25.6277
2012-01-01 06:00:00,        25.6115
2012-01-01 08:00:00,        25.6066
2012-01-01 10:00:00,        25.6102
2012-01-01 12:00:00,         25.622
2012-01-01 14:00:00,        25.6335
2012-01-01 16:00:00,        25.6346
2012-01-01 18:00:00,        25.6262
2012-01-01 20:00:00,        25.6103
2012-01-01 22:00:00,        25.5902
2012-01-02 00:00:00,        25.5517
2012-01-02 02:00:00,        25.5492
2012-01-02 04:00:00,        25.5499
2012-01-02 06:00:00,        25.5436
2012-01-02 08:00:00,        25.5418
2012-01-02 10:00:00,        25.5365
2012-01-02 12:00:00,          25.55
2012-01-02 14:00:00,        25.5781
2012-01-02 16:00:00,        25.5943
2012-01-02 18:00:00,        25.5941
2012-01-02 20:00:00,        25.5794
2012-01-02 22:00:00,        25.5573
2012-01-03 00:00:00,        25.5322
2012-01-03 02:00:00,        25.5095
2012-01-03 04:00:00,        25.4975
2012-01-03 06:00:00,        25.4966
2012-01-03 08:00:00,        25.5138
2012-01-03 10:00:00,        25.5593
2012-01-03 12:00:00,        25.6293
2012-01-03 14:00:00,        25.6904
2012-01-03 16:00:00,        25.7197
2012-01-03 18:00:00,        25.7184
2012-01-03 20:00:00,        25.6985
2012-01-03 22:00:00,        25.6686
2012-01-04 00:00:00,        25.6327
2012-01-04 02:00:00,        25.5994
2012-01-04 04:00:00,        25.5732
2012-01-04 06:00:00,        25.5545
2012-01-04 08:00:00,        25.5531
2012-01-04 10:00:00,         25.578
2012-01-04 12:00:00,        25.6241
2012-01-04 14:00:00,         25.661
2012-01-04 16:00:00,        25.6718
2012-01-04 18:00:00,        25.6568
2012-01-04 20:00:00,        25.6269
2012-01-04 22:00:00,        25.5834
2012-01-05 00:00:00,        25.5603
2012-01-05 02:00:00,        25.5443
2012-01-05 04:00:00,        25.5282
2012-01-05 06:00:00,        25.5132
2012-01-05 08:00:00,        25.5019
2012-01-05 10:00:00,        25.4981
2012-01-05 12:00:00,        25.5008
2012-01-05 14:00:00,        25.5031
2012-01-05 16:00:00,         25.495
2012-01-05 18:00:00,        25.4749
2012-01-05 20:00:00,        25.4465
2012-01-05 22:00:00,        25.4243
2012-01-06 00:00:00,        25.3962
2012-01-06 02:00:00,        25.3699
2012-01-06 04:00:00,         25.359
2012-01-06 06:00:00,        25.3499
2012-01-06 08:00:00,        25.3501
2012-01-06 10:00:00,        25.3615
2012-01-06 12:00:00,        25.3859
2012-01-06 14:00:00,        25.4126
2012-01-06 16:00:00,        25.4242
2012-01-06 18:00:00,        25.4205
2012-01-06 20:00:00,        25.4147
2012-01-06 22:00:00,        25.4057
2012-01-07 00:00:00,         25.395
2012-01-07 02:00:00,        25.3856
2012-01-07 04:00:00,        25.3771
2012-01-07 06:00:00,        25.3313
2012-01-07 08:00:00,        25.2783
2012-01-07 10:00:00,        25.3176
2012-01-07 12:00:00,        25.3811
2012-01-07 14:00:00,        25.4471
2012-01-07 16:00:00,        25.4929
2012-01-07 18:00:00,        25.5109
2012-01-07 20:00:00,        25.5048
2012-01-07 22:00:00,        25.4968
2012-01-08 00:00:00,         25.487
2012-01-08 02:00:00,          25.49
2012-01-08 04:00:00,        25.4955
2012-01-08 06:00:00,        25.4919
2012-01-08 08:00:00,        25.4853
2012-01-08 10:00:00,        25.4854
2012-01-08 12:00:00,        25.5027
2012-01-08 14:00:00,        25.5301
2012-01-08 16:00:00,        25.5474
2012-01-08 18:00:00,        25.5441
2012-01-08 20:00:00,        25.5248
2012-01-08 22:00:00,        25.5023
2012-01-09 00:00:00,        25.4893
2012-01-09 02:00:00,        25.4918
2012-01-09 04:00:00,        25.4929
2012-01-09 06:00:00,         25.488
2012-01-09 08:00:00,        25.4858
2012-01-09 10:00:00,        25.4951
2012-01-09 12:00:00,        25.5175
2012-01-09 14:00:00,        25.5401
2012-01-09 16:00:00,        25.5443
2012-01-09 18:00:00,        25.5162
2012-01-09 20:00:00,        25.4887
2012-01-09 22:00:00,        25.4673
2012-01-10 00:00:00,        25.4535
2012-01-10 02:00:00,        25.4357
2012-01-10 04:00:00,        25.4094
2012-01-10 06:00:00,        25.3994
2012-01-10 08:00:00,        25.4179
2012-01-10 10:00:00,        25.5118
2012-01-10 12:00:00,        25.6627
2012-01-10 14:00:00,        25.7849
2012-01-10 16:00:00,        25.7622
2012-01-10 18:00:00,        25.7687
2012-01-10 20:00:00,        25.7742
2012-01-10 22:00:00,        25.7436
2012-01-11 00:00:00,        25.7278
2012-01-11 02:00:00,        25.7851
2012-01-11 04:00:00,        26.3358
2012-01-11 06:00:00,        26.5297
2012-01-11 08:00:00,        26.5663
2012-01-11 10:00:00,        26.5615
2012-01-11 12:00:00,         26.573
2012-01-11 14:00:00,         26.595
2012-01-11 16:00:00,        26.5812
2012-01-11 18:00:00,        26.5074
2012-01-11 20:00:00,        26.4627
2012-01-11 22:00:00,        26.5003
2012-01-12 00:00:00,        26.5087
2012-01-12 02:00:00,        26.4904
2012-01-12 04:00:00,        26.4589
2012-01-12 06:00:00,        26.3947
2012-01-12 08:00:00,        26.3592
2012-01-12 10:00:00,        26.3915
2012-01-12 12:00:00,        26.4461
2012-01-12 14:00:00,        26.4607
2012-01-12 16:00:00,        26.4358
2012-01-12 18:00:00,        26.3847
2012-01-12 20:00:00,        26.3382
2012-01-12 22:00:00,         26.323
2012-01-13 00:00:00,        26.3608
2012-01-13 02:00:00,        26.3585
2012-01-13 04:00:00,        26.3263
2012-01-13 06:00:00,        26.2523
2012-01-13 08:00:00,         26.196
2012-01-13 10:00:00,        26.2046
