date and time,Salinity (g/kg)
2012-01-01 00:00:00,          35.28
2012-01-01 02:00:00,          35.28
2012-01-01 04:00:00,        35.2736
2012-01-01 06:00:00,        35.2735
2012-01-01 08:00:00,        35.2776
2012-01-01 10:00:00,        35.2781
2012-01-01 12:00:00,        35.2758
2012-01-01 14:00:00,        35.2741
2012-01-01 16:00:00,        35.2739
2012-01-01 18:00:00,        35.2751
2012-01-01 20:00:00,         35.276
2012-01-01 22:00:00,        35.2767
2012-01-02 00:00:00,        35.2799
2012-01-02 02:00:00,          35.28
2012-01-02 04:00:00,          35.28
2012-01-02 06:00:00,        35.2801
2012-01-02 08:00:00,        35.2799
2012-01-02 10:00:00,        35.2786
2012-01-02 12:00:00,        35.2782
2012-01-02 14:00:00,        35.2784
2012-01-02 16:00:00,        35.2787
2012-01-02 18:00:00,        35.2791
2012-01-02 20:00:00,        35.2778
2012-01-02 22:00:00,        35.2789
2012-01-03 00:00:00,        35.2789
2012-01-03 02:00:00,        35.2766
2012-01-03 04:00:00,        35.2718
2012-01-03 06:00:00,        35.2596
2012-01-03 08:00:00,        35.2492
2012-01-03 10:00:00,        35.2523
2012-01-03 12:00:00,        35.2541
2012-01-03 14:00:00,        35.2509
2012-01-03 16:00:00,        35.2506
2012-01-03 18:00:00,        35.2529
2012-01-03 20:00:00,        35.2551
2012-01-03 22:00:00,        35.2385
2012-01-04 00:00:00,        35.2659
2012-01-04 02:00:00,        35.2736
2012-01-04 04:00:00,        35.2697
2012-01-04 06:00:00,        35.2617
2012-01-04 08:00:00,        35.2548
2012-01-04 10:00:00,        35.2546
2012-01-04 12:00:00,        35.2678
2012-01-04 14:00:00,        35.2749
2012-01-04 16:00:00,        35.2725
2012-01-04 18:00:00,        35.2634
2012-01-04 20:00:00,        35.2649
2012-01-04 22:00:00,        35.2719
2012-01-05 00:00:00,        35.2755
2012-01-05 02:00:00,        35.2781
2012-01-05 04:00:00,        35.2793
2012-01-05 06:00:00,        35.2789
2012-01-05 08:00:00,        35.2772
2012-01-05 10:00:00,         35.277
2012-01-05 12:00:00,        35.2787
2012-01-05 14:00:00,        35.2794
2012-01-05 16:00:00,        35.2776
2012-01-05 18:00:00,        35.2711
2012-01-05 20:00:00,         35.261
2012-01-05 22:00:00,        35.2658
2012-01-06 00:00:00,        35.2796
2012-01-06 02:00:00,        35.2806
2012-01-06 04:00:00,        35.2799
2012-01-06 06:00:00,         35.277
2012-01-06 08:00:00,        35.2771
2012-01-06 10:00:00,        35.2777
2012-01-06 12:00:00,        35.2779
2012-01-06 14:00:00,        35.2799
2012-01-06 16:00:00,        35.2804
2012-01-06 18:00:00,        35.2787
2012-01-06 20:00:00,        35.2807
2012-01-06 22:00:00,        35.2808
2012-01-07 00:00:00,        35.2802
2012-01-07 02:00:00,        35.2798
2012-01-07 04:00:00,        35.2788
2012-01-07 06:00:00,        35.2638
2012-01-07 08:00:00,        35.2342
2012-01-07 10:00:00,        35.2443
2012-01-07 12:00:00,        35.2549
2012-01-07 14:00:00,        35.2623
2012-01-07 16:00:00,        35.2655
2012-01-07 18:00:00,        35.2667
2012-01-07 20:00:00,        35.2647
2012-01-07 22:00:00,        35.2642
2012-01-08 00:00:00,        35.2651
2012-01-08 02:00:00,        35.2703
2012-01-08 04:00:00,         35.275
2012-01-08 06:00:00,        35.2757
2012-01-08 08:00:00,        35.2735
2012-01-08 10:00:00,        35.2704
