date and time,magnitude of depth averaged velocity (m/s)
2012-01-01 00:00:00,              0
2012-01-01 02:00:00,      0.0672171
2012-01-01 04:00:00,      0.0987182
2012-01-01 06:00:00,      0.0757691
2012-01-01 08:00:00,      0.0335184
2012-01-01 10:00:00,      0.0145603
2012-01-01 12:00:00,       0.069194
2012-01-01 14:00:00,      0.0792445
2012-01-01 16:00:00,      0.0822259
2012-01-01 18:00:00,      0.0887164
2012-01-01 20:00:00,      0.0943108
2012-01-01 22:00:00,       0.106017
2012-01-02 00:00:00,       0.134543
2012-01-02 02:00:00,       0.120199
2012-01-02 04:00:00,      0.0937166
2012-01-02 06:00:00,       0.090594
2012-01-02 08:00:00,      0.0772933
2012-01-02 10:00:00,      0.0564263
2012-01-02 12:00:00,      0.0618636
2012-01-02 14:00:00,      0.0551595
2012-01-02 16:00:00,      0.0249258
2012-01-02 18:00:00,      0.0115268
2012-01-02 20:00:00,      0.0197806
2012-01-02 22:00:00,      0.0393413
2012-01-03 00:00:00,      0.0248163
2012-01-03 02:00:00,     0.00906802
2012-01-03 04:00:00,      0.0173895
2012-01-03 06:00:00,      0.0157975
2012-01-03 08:00:00,      0.0113391
2012-01-03 10:00:00,      0.0187048
2012-01-03 12:00:00,        0.01083
2012-01-03 14:00:00,      0.0257699
2012-01-03 16:00:00,      0.0239692
2012-01-03 18:00:00,      0.0178464
2012-01-03 20:00:00,      0.0165674
2012-01-03 22:00:00,       0.044396
2012-01-04 00:00:00,      0.0451094
2012-01-04 02:00:00,      0.0197091
2012-01-04 04:00:00,     0.00994073
2012-01-04 06:00:00,     0.00560418
2012-01-04 08:00:00,     0.00138147
2012-01-04 10:00:00,       0.023727
2012-01-04 12:00:00,      0.0306186
2012-01-04 14:00:00,      0.0133724
2012-01-04 16:00:00,       0.014847
2012-01-04 18:00:00,      0.0355767
2012-01-04 20:00:00,      0.0447746
2012-01-04 22:00:00,      0.0430609
2012-01-05 00:00:00,      0.0114233
2012-01-05 02:00:00,      0.0475992
2012-01-05 04:00:00,      0.0683989
2012-01-05 06:00:00,      0.0691284
2012-01-05 08:00:00,       0.060911
2012-01-05 10:00:00,      0.0300422
2012-01-05 12:00:00,     0.00367538
2012-01-05 14:00:00,      0.0165142
2012-01-05 16:00:00,      0.0302402
2012-01-05 18:00:00,      0.0339255
2012-01-05 20:00:00,      0.0481596
2012-01-05 22:00:00,       0.080578
2012-01-06 00:00:00,      0.0785696
2012-01-06 02:00:00,       0.027028
2012-01-06 04:00:00,      0.0337975
2012-01-06 06:00:00,      0.0500104
2012-01-06 08:00:00,      0.0452253
2012-01-06 10:00:00,      0.0271799
2012-01-06 12:00:00,      0.0294999
2012-01-06 14:00:00,       0.029669
2012-01-06 16:00:00,      0.0335147
2012-01-06 18:00:00,      0.0520161
2012-01-06 20:00:00,      0.0499298
2012-01-06 22:00:00,      0.0329743
2012-01-07 00:00:00,      0.0223802
2012-01-07 02:00:00,      0.0273865
2012-01-07 04:00:00,      0.0306855
2012-01-07 06:00:00,        0.06007
2012-01-07 08:00:00,      0.0609341
2012-01-07 10:00:00,      0.0396346
2012-01-07 12:00:00,      0.0140957
2012-01-07 14:00:00,      0.0312616
2012-01-07 16:00:00,      0.0124247
2012-01-07 18:00:00,      0.0365077
2012-01-07 20:00:00,      0.0411689
2012-01-07 22:00:00,      0.0207189
2012-01-08 00:00:00,      0.0181699
2012-01-08 02:00:00,      0.0498209
2012-01-08 04:00:00,      0.0314524
2012-01-08 06:00:00,      0.0161768
2012-01-08 08:00:00,      0.0321461
2012-01-08 10:00:00,      0.0176347
2012-01-08 12:00:00,      0.0201982
2012-01-08 14:00:00,      0.0564025
2012-01-08 16:00:00,      0.0496446
2012-01-08 18:00:00,     0.00936482
2012-01-08 20:00:00,     0.00832366
2012-01-08 22:00:00,      0.0346798
2012-01-09 00:00:00,      0.0676625
2012-01-09 02:00:00,      0.0852124
2012-01-09 04:00:00,      0.0576206
2012-01-09 06:00:00,       0.012392
2012-01-09 08:00:00,      0.0257352
2012-01-09 10:00:00,      0.0102779
2012-01-09 12:00:00,      0.0486847
2012-01-09 14:00:00,      0.0741555
2012-01-09 16:00:00,       0.049016
2012-01-09 18:00:00,      0.0222597
2012-01-09 20:00:00,      0.0464133
2012-01-09 22:00:00,      0.0340461
2012-01-10 00:00:00,      0.0427682
2012-01-10 02:00:00,      0.0264374
2012-01-10 04:00:00,      0.0880914
2012-01-10 06:00:00,       0.062381
2012-01-10 08:00:00,      0.0735256
2012-01-10 10:00:00,      0.0544676
2012-01-10 12:00:00,      0.0349069
2012-01-10 14:00:00,      0.0294334
2012-01-10 16:00:00,      0.0183062
2012-01-10 18:00:00,      0.0235162
2012-01-10 20:00:00,      0.0681564
2012-01-10 22:00:00,      0.0609471
2012-01-11 00:00:00,      0.0124463
2012-01-11 02:00:00,      0.0367934
2012-01-11 04:00:00,      0.0820551
2012-01-11 06:00:00,      0.0788361
2012-01-11 08:00:00,      0.0477732
2012-01-11 10:00:00,      0.0406252
2012-01-11 12:00:00,      0.0488193
2012-01-11 14:00:00,      0.0671391
2012-01-11 16:00:00,       0.080611
2012-01-11 18:00:00,      0.0577024
2012-01-11 20:00:00,      0.0135355
2012-01-11 22:00:00,      0.0375619
2012-01-12 00:00:00,      0.0159183
2012-01-12 02:00:00,      0.0329491
2012-01-12 04:00:00,      0.0488048
2012-01-12 06:00:00,      0.0439749
2012-01-12 08:00:00,      0.0155679
2012-01-12 10:00:00,      0.0547981
2012-01-12 12:00:00,      0.0280039
2012-01-12 14:00:00,      0.0141214
2012-01-12 16:00:00,      0.0263166
2012-01-12 18:00:00,      0.0258493
2012-01-12 20:00:00,      0.0529347
2012-01-12 22:00:00,      0.0916985
2012-01-13 00:00:00,      0.0503303
2012-01-13 02:00:00,      0.0207574
2012-01-13 04:00:00,      0.0344685
2012-01-13 06:00:00,      0.0473507
2012-01-13 08:00:00,      0.0269595
2012-01-13 10:00:00,      0.0431166
2012-01-13 12:00:00,      0.0233711
2012-01-13 14:00:00,      0.0233957
2012-01-13 16:00:00,      0.0264239
2012-01-13 18:00:00,      0.0344524
2012-01-13 20:00:00,      0.0178546
2012-01-13 22:00:00,      0.0390354
2012-01-14 00:00:00,      0.0302973
2012-01-14 02:00:00,      0.0177264
2012-01-14 04:00:00,      0.0307782
2012-01-14 06:00:00,      0.0507296
2012-01-14 08:00:00,      0.0556168
2012-01-14 10:00:00,       0.014577
2012-01-14 12:00:00,     0.00982447
2012-01-14 14:00:00,      0.0427352
2012-01-14 16:00:00,      0.0264238
2012-01-14 18:00:00,       0.011433
2012-01-14 20:00:00,      0.0232637
