date and time,Kjeldahl nitrogen (gN/m3)
2012-01-01 00:00:00,              0
2012-01-01 02:00:00,    2.01298e-11
2012-01-01 04:00:00,              0
2012-01-01 06:00:00,    7.24573e-10
2012-01-01 08:00:00,    3.85511e-09
2012-01-01 10:00:00,    1.19898e-08
2012-01-01 12:00:00,     2.4223e-07
2012-01-01 14:00:00,    1.89619e-06
2012-01-01 16:00:00,    2.03558e-05
2012-01-01 18:00:00,    0.000143162
2012-01-01 20:00:00,    0.000345942
2012-01-01 22:00:00,    0.000373584
2012-01-02 00:00:00,    0.000247214
2012-01-02 02:00:00,    0.000152367
2012-01-02 04:00:00,     0.00011613
2012-01-02 06:00:00,    0.000107446
2012-01-02 08:00:00,    0.000112326
2012-01-02 10:00:00,    0.000122891
2012-01-02 12:00:00,     0.00013775
2012-01-02 14:00:00,    0.000161407
2012-01-02 16:00:00,    0.000177139
2012-01-02 18:00:00,    0.000173166
2012-01-02 20:00:00,    0.000161825
2012-01-02 22:00:00,    0.000184577
2012-01-03 00:00:00,     0.00031053
2012-01-03 02:00:00,    0.000398296
2012-01-03 04:00:00,    0.000487754
2012-01-03 06:00:00,     0.00057079
2012-01-03 08:00:00,    0.000639914
2012-01-03 10:00:00,    0.000755594
2012-01-03 12:00:00,     0.00084351
2012-01-03 14:00:00,    0.000866236
2012-01-03 16:00:00,    0.000864574
2012-01-03 18:00:00,    0.000872074
2012-01-03 20:00:00,    0.000914626
2012-01-03 22:00:00,     0.00102683
2012-01-04 00:00:00,     0.00114624
2012-01-04 02:00:00,     0.00121199
2012-01-04 04:00:00,     0.00124141
2012-01-04 06:00:00,     0.00126322
2012-01-04 08:00:00,     0.00127893
2012-01-04 10:00:00,      0.0013217
2012-01-04 12:00:00,      0.0013917
2012-01-04 14:00:00,      0.0014216
2012-01-04 16:00:00,     0.00142206
2012-01-04 18:00:00,     0.00140728
2012-01-04 20:00:00,      0.0013918
2012-01-04 22:00:00,     0.00136789
2012-01-05 00:00:00,     0.00130534
2012-01-05 02:00:00,     0.00122336
2012-01-05 04:00:00,     0.00115863
2012-01-05 06:00:00,     0.00112055
2012-01-05 08:00:00,     0.00110114
2012-01-05 10:00:00,     0.00109026
2012-01-05 12:00:00,     0.00110274
2012-01-05 14:00:00,     0.00114276
2012-01-05 16:00:00,     0.00121755
2012-01-05 18:00:00,     0.00127603
2012-01-05 20:00:00,      0.0012223
2012-01-05 22:00:00,     0.00103839
2012-01-06 00:00:00,    0.000839212
2012-01-06 02:00:00,    0.000757516
2012-01-06 04:00:00,    0.000735459
2012-01-06 06:00:00,     0.00074167
2012-01-06 08:00:00,    0.000807903
2012-01-06 10:00:00,    0.000963277
2012-01-06 12:00:00,     0.00149619
2012-01-06 14:00:00,     0.00297971
2012-01-06 16:00:00,     0.00462194
2012-01-06 18:00:00,     0.00484557
2012-01-06 20:00:00,     0.00434757
2012-01-06 22:00:00,     0.00398559
2012-01-07 00:00:00,     0.00426537
2012-01-07 02:00:00,     0.00498834
2012-01-07 04:00:00,     0.00517897
2012-01-07 06:00:00,     0.00476557
2012-01-07 08:00:00,     0.00428819
2012-01-07 10:00:00,      0.0039447
