date and time,ambient water temperature (oC)
2012-01-01 00:00:00,          25.68
2012-01-01 02:00:00,         25.644
2012-01-01 04:00:00,        25.6127
2012-01-01 06:00:00,         25.592
2012-01-01 08:00:00,        25.5788
2012-01-01 10:00:00,        25.5786
2012-01-01 12:00:00,        25.5933
2012-01-01 14:00:00,        25.6107
2012-01-01 16:00:00,        25.6184
2012-01-01 18:00:00,         25.615
2012-01-01 20:00:00,        25.6006
2012-01-01 22:00:00,        25.5795
2012-01-02 00:00:00,        25.5468
2012-01-02 02:00:00,        25.5024
2012-01-02 04:00:00,        25.4956
2012-01-02 06:00:00,        25.4935
2012-01-02 08:00:00,        25.4989
2012-01-02 10:00:00,        25.5194
2012-01-02 12:00:00,        25.5585
2012-01-02 14:00:00,        25.5968
2012-01-02 16:00:00,        25.6153
2012-01-02 18:00:00,         25.612
2012-01-02 20:00:00,        25.5931
2012-01-02 22:00:00,        25.5658
2012-01-03 00:00:00,        25.5299
2012-01-03 02:00:00,        25.4948
2012-01-03 04:00:00,         25.472
2012-01-03 06:00:00,        25.4605
2012-01-03 08:00:00,        25.4709
2012-01-03 10:00:00,        25.5134
2012-01-03 12:00:00,        25.5861
2012-01-03 14:00:00,        25.6571
2012-01-03 16:00:00,        25.6921
2012-01-03 18:00:00,        25.6873
2012-01-03 20:00:00,        25.6581
2012-01-03 22:00:00,        25.6228
2012-01-04 00:00:00,        25.5912
2012-01-04 02:00:00,        25.5608
2012-01-04 04:00:00,        25.5365
2012-01-04 06:00:00,        25.5216
2012-01-04 08:00:00,        25.5235
2012-01-04 10:00:00,        25.5502
2012-01-04 12:00:00,        25.5978
2012-01-04 14:00:00,        25.6423
2012-01-04 16:00:00,         25.657
2012-01-04 18:00:00,         25.641
2012-01-04 20:00:00,        25.6079
2012-01-04 22:00:00,        25.5726
2012-01-05 00:00:00,        25.5284
2012-01-05 02:00:00,        25.4907
2012-01-05 04:00:00,        25.4696
2012-01-05 06:00:00,        25.4556
2012-01-05 08:00:00,        25.4483
2012-01-05 10:00:00,        25.4517
2012-01-05 12:00:00,        25.4607
2012-01-05 14:00:00,         25.457
2012-01-05 16:00:00,        25.4302
2012-01-05 18:00:00,         25.383
2012-01-05 20:00:00,        25.3446
2012-01-05 22:00:00,        25.3361
2012-01-06 00:00:00,        25.3396
2012-01-06 02:00:00,        25.3058
2012-01-06 04:00:00,        25.2901
2012-01-06 06:00:00,        25.2846
2012-01-06 08:00:00,        25.2884
2012-01-06 10:00:00,         25.305
2012-01-06 12:00:00,        25.3344
2012-01-06 14:00:00,        25.3634
2012-01-06 16:00:00,        25.3805
2012-01-06 18:00:00,         25.384
2012-01-06 20:00:00,        25.3762
2012-01-06 22:00:00,        25.3645
2012-01-07 00:00:00,        25.3518
2012-01-07 02:00:00,        25.3425
2012-01-07 04:00:00,         25.338
2012-01-07 06:00:00,        25.3355
2012-01-07 08:00:00,        25.3447
2012-01-07 10:00:00,         25.378
2012-01-07 12:00:00,        25.4375
2012-01-07 14:00:00,        25.4994
2012-01-07 16:00:00,        25.5391
2012-01-07 18:00:00,         25.555
2012-01-07 20:00:00,        25.5542
2012-01-07 22:00:00,        25.5438
2012-01-08 00:00:00,        25.5247
2012-01-08 02:00:00,        25.5068
2012-01-08 04:00:00,        25.4946
2012-01-08 06:00:00,        25.4852
2012-01-08 08:00:00,        25.4865
2012-01-08 10:00:00,        25.4981
2012-01-08 12:00:00,        25.5223
2012-01-08 14:00:00,         25.546
2012-01-08 16:00:00,        25.5413
2012-01-08 18:00:00,         25.523
2012-01-08 20:00:00,        25.5087
2012-01-08 22:00:00,        25.4918
2012-01-09 00:00:00,        25.4674
2012-01-09 02:00:00,        25.4491
2012-01-09 04:00:00,        25.4401
2012-01-09 06:00:00,        25.4351
2012-01-09 08:00:00,        25.4359
2012-01-09 10:00:00,        25.4482
2012-01-09 12:00:00,        25.4774
2012-01-09 14:00:00,        25.5101
2012-01-09 16:00:00,        25.5157
2012-01-09 18:00:00,        25.4961
2012-01-09 20:00:00,        25.4688
2012-01-09 22:00:00,        25.4405
2012-01-10 00:00:00,        25.3994
2012-01-10 02:00:00,        25.3653
2012-01-10 04:00:00,        25.3647
2012-01-10 06:00:00,        25.3468
2012-01-10 08:00:00,        25.3447
2012-01-10 10:00:00,        25.3669
2012-01-10 12:00:00,        25.3884
2012-01-10 14:00:00,         25.398
2012-01-10 16:00:00,        25.3859
2012-01-10 18:00:00,        25.3689
2012-01-10 20:00:00,        25.3512
2012-01-10 22:00:00,        25.3305
2012-01-11 00:00:00,        25.3116
2012-01-11 02:00:00,        25.2996
2012-01-11 04:00:00,        25.4268
2012-01-11 06:00:00,        25.6894
2012-01-11 08:00:00,        25.8846
2012-01-11 10:00:00,        26.0121
2012-01-11 12:00:00,        26.1248
2012-01-11 14:00:00,        26.1728
2012-01-11 16:00:00,        26.0513
2012-01-11 18:00:00,        25.6729
2012-01-11 20:00:00,        25.5873
2012-01-11 22:00:00,        25.7321
2012-01-12 00:00:00,        25.8337
2012-01-12 02:00:00,         25.727
2012-01-12 04:00:00,        25.5855
2012-01-12 06:00:00,         25.514
2012-01-12 08:00:00,        25.5236
2012-01-12 10:00:00,        25.5917
2012-01-12 12:00:00,        25.7678
2012-01-12 14:00:00,        25.8978
2012-01-12 16:00:00,        26.0142
2012-01-12 18:00:00,        26.1386
2012-01-12 20:00:00,        26.2906
2012-01-12 22:00:00,        26.4627
2012-01-13 00:00:00,        26.5159
2012-01-13 02:00:00,        26.5041
2012-01-13 04:00:00,        26.4703
2012-01-13 06:00:00,        26.4159
2012-01-13 08:00:00,        26.3796
2012-01-13 10:00:00,        26.3688
2012-01-13 12:00:00,        26.3748
2012-01-13 14:00:00,        26.3868
2012-01-13 16:00:00,        26.3809
2012-01-13 18:00:00,        26.3519
2012-01-13 20:00:00,         26.328
2012-01-13 22:00:00,        26.3046
2012-01-14 00:00:00,        26.2795
2012-01-14 02:00:00,        26.2526
2012-01-14 04:00:00,        26.2239
2012-01-14 06:00:00,         26.203
2012-01-14 08:00:00,        26.2059
2012-01-14 10:00:00,        26.1941
2012-01-14 12:00:00,        26.1915
2012-01-14 14:00:00,        26.1913
2012-01-14 16:00:00,        26.1979
2012-01-14 18:00:00,         26.152
2012-01-14 20:00:00,        26.1165
2012-01-14 22:00:00,        26.1073
2012-01-15 00:00:00,         26.108
2012-01-15 02:00:00,        26.0859
2012-01-15 04:00:00,        26.0694
2012-01-15 06:00:00,        26.0687
2012-01-15 08:00:00,        26.0978
2012-01-15 10:00:00,        26.1261
2012-01-15 12:00:00,        26.1047
2012-01-15 14:00:00,        26.0335
2012-01-15 16:00:00,        26.0375
2012-01-15 18:00:00,        26.0474
2012-01-15 20:00:00,         26.055
2012-01-15 22:00:00,        26.0598
2012-01-16 00:00:00,        26.0528
2012-01-16 02:00:00,        26.0451
2012-01-16 04:00:00,        26.0549
2012-01-16 06:00:00,        26.0591
2012-01-16 08:00:00,        26.0374
2012-01-16 10:00:00,        26.0139
2012-01-16 12:00:00,        26.0168
2012-01-16 14:00:00,        26.0278
2012-01-16 16:00:00,        26.0067
2012-01-16 18:00:00,        25.9909
2012-01-16 20:00:00,        25.9848
2012-01-16 22:00:00,        25.9799
2012-01-17 00:00:00,        25.9609
2012-01-17 02:00:00,        25.9226
2012-01-17 04:00:00,        25.8836
2012-01-17 06:00:00,        25.8623
2012-01-17 08:00:00,        25.8489
2012-01-17 10:00:00,        25.8663
2012-01-17 12:00:00,        25.8951
2012-01-17 14:00:00,        25.9084
2012-01-17 16:00:00,        25.9066
2012-01-17 18:00:00,        25.8854
2012-01-17 20:00:00,        25.8645
2012-01-17 22:00:00,        25.8426
2012-01-18 00:00:00,        25.8226
2012-01-18 02:00:00,        25.8066
2012-01-18 04:00:00,         25.791
2012-01-18 06:00:00,        25.7709
2012-01-18 08:00:00,        25.7522
2012-01-18 10:00:00,        25.7493
2012-01-18 12:00:00,        25.7603
2012-01-18 14:00:00,        25.7678
2012-01-18 16:00:00,        25.7649
2012-01-18 18:00:00,        25.7538
2012-01-18 20:00:00,        25.7392
2012-01-18 22:00:00,        25.7282
2012-01-19 00:00:00,        25.7208
2012-01-19 02:00:00,        25.7103
2012-01-19 04:00:00,        25.6942
2012-01-19 06:00:00,        25.6773
2012-01-19 08:00:00,        25.6662
2012-01-19 10:00:00,        25.6698
2012-01-19 12:00:00,        25.6931
2012-01-19 14:00:00,        25.7218
2012-01-19 16:00:00,        25.7382
2012-01-19 18:00:00,        25.7391
2012-01-19 20:00:00,        25.7272
2012-01-19 22:00:00,        25.7134
2012-01-20 00:00:00,        25.7043
2012-01-20 02:00:00,        25.6934
2012-01-20 04:00:00,        25.6785
2012-01-20 06:00:00,        25.6626
2012-01-20 08:00:00,        25.6479
2012-01-20 10:00:00,        25.6456
2012-01-20 12:00:00,         25.662
2012-01-20 14:00:00,        25.6792
2012-01-20 16:00:00,        25.6823
2012-01-20 18:00:00,        25.6715
2012-01-20 20:00:00,        25.6484
2012-01-20 22:00:00,        25.6229
2012-01-21 00:00:00,        25.6074
2012-01-21 02:00:00,         25.605
2012-01-21 04:00:00,        25.6038
2012-01-21 06:00:00,        25.5888
2012-01-21 08:00:00,        25.5784
2012-01-21 10:00:00,        25.5815
2012-01-21 12:00:00,        25.6017
2012-01-21 14:00:00,        25.6242
2012-01-21 16:00:00,        25.6333
2012-01-21 18:00:00,        25.6318
2012-01-21 20:00:00,        25.6219
2012-01-21 22:00:00,         25.606
2012-01-22 00:00:00,        25.5864
2012-01-22 02:00:00,        25.5663
2012-01-22 04:00:00,        25.5454
2012-01-22 06:00:00,         25.524
2012-01-22 08:00:00,        25.5105
2012-01-22 10:00:00,        25.5185
2012-01-22 12:00:00,        25.5549
2012-01-22 14:00:00,        25.5991
2012-01-22 16:00:00,        25.6225
2012-01-22 18:00:00,        25.6225
2012-01-22 20:00:00,        25.6078
2012-01-22 22:00:00,        25.5864
2012-01-23 00:00:00,        25.5599
2012-01-23 02:00:00,        25.5386
2012-01-23 04:00:00,        25.5245
2012-01-23 06:00:00,        25.4769
2012-01-23 08:00:00,        25.4644
2012-01-23 10:00:00,        25.4863
2012-01-23 12:00:00,        25.5319
2012-01-23 14:00:00,        25.5759
2012-01-23 16:00:00,        25.6013
2012-01-23 18:00:00,        25.6109
2012-01-23 20:00:00,        25.6067
2012-01-23 22:00:00,        25.5945
2012-01-24 00:00:00,        25.5748
2012-01-24 02:00:00,        25.5554
2012-01-24 04:00:00,        25.5428
2012-01-24 06:00:00,        25.4777
