date and time,ambient water temperature (oC)
2012-01-01 00:00:00,          25.68
2012-01-01 02:00:00,        25.6465
2012-01-01 04:00:00,        25.6158
2012-01-01 06:00:00,        25.5903
2012-01-01 08:00:00,        25.5778
2012-01-01 10:00:00,        25.5793
2012-01-01 12:00:00,        25.5931
2012-01-01 14:00:00,        25.6054
2012-01-01 16:00:00,         25.606
2012-01-01 18:00:00,        25.5986
2012-01-01 20:00:00,        25.5847
2012-01-01 22:00:00,        25.5643
2012-01-02 00:00:00,        25.5392
2012-01-02 02:00:00,        25.5112
2012-01-02 04:00:00,        25.4841
2012-01-02 06:00:00,        25.4609
2012-01-02 08:00:00,        25.4527
2012-01-02 10:00:00,        25.4687
2012-01-02 12:00:00,        25.5059
2012-01-02 14:00:00,        25.5437
2012-01-02 16:00:00,        25.5614
2012-01-02 18:00:00,        25.5575
2012-01-02 20:00:00,        25.5384
2012-01-02 22:00:00,         25.511
2012-01-03 00:00:00,        25.4742
2012-01-03 02:00:00,        25.4403
2012-01-03 04:00:00,        25.4196
2012-01-03 06:00:00,        25.4116
2012-01-03 08:00:00,        25.4263
2012-01-03 10:00:00,        25.4714
2012-01-03 12:00:00,        25.5457
2012-01-03 14:00:00,        25.6162
2012-01-03 16:00:00,        25.6543
2012-01-03 18:00:00,        25.6568
2012-01-03 20:00:00,        25.6346
2012-01-03 22:00:00,        25.6034
2012-01-04 00:00:00,        25.5642
2012-01-04 02:00:00,        25.5246
2012-01-04 04:00:00,        25.4919
2012-01-04 06:00:00,        25.4611
2012-01-04 08:00:00,        25.4457
2012-01-04 10:00:00,        25.4624
2012-01-04 12:00:00,        25.5058
2012-01-04 14:00:00,        25.5561
2012-01-04 16:00:00,        25.5883
2012-01-04 18:00:00,         25.612
2012-01-04 20:00:00,        25.6081
2012-01-04 22:00:00,        25.5743
2012-01-05 00:00:00,        25.5297
2012-01-05 02:00:00,        25.4893
2012-01-05 04:00:00,        25.4574
2012-01-05 06:00:00,        25.4279
2012-01-05 08:00:00,        25.3986
2012-01-05 10:00:00,        25.3889
2012-01-05 12:00:00,        25.4077
2012-01-05 14:00:00,        25.4278
2012-01-05 16:00:00,        25.4252
2012-01-05 18:00:00,         25.424
2012-01-05 20:00:00,         25.403
2012-01-05 22:00:00,        25.3797
2012-01-06 00:00:00,        25.3578
2012-01-06 02:00:00,        25.3472
2012-01-06 04:00:00,        25.3414
2012-01-06 06:00:00,        25.3285
2012-01-06 08:00:00,        25.3039
2012-01-06 10:00:00,        25.2765
2012-01-06 12:00:00,        25.3279
2012-01-06 14:00:00,        25.3848
2012-01-06 16:00:00,        25.4037
2012-01-06 18:00:00,        25.3988
2012-01-06 20:00:00,        25.3786
2012-01-06 22:00:00,         25.348
2012-01-07 00:00:00,        25.3254
2012-01-07 02:00:00,        25.3245
2012-01-07 04:00:00,        25.3161
2012-01-07 06:00:00,        25.3115
2012-01-07 08:00:00,        25.3157
2012-01-07 10:00:00,        25.3293
2012-01-07 12:00:00,        25.3798
2012-01-07 14:00:00,        25.4596
2012-01-07 16:00:00,          25.52
2012-01-07 18:00:00,        25.5381
2012-01-07 20:00:00,        25.5202
2012-01-07 22:00:00,        25.4891
2012-01-08 00:00:00,        25.4725
2012-01-08 02:00:00,        25.4892
2012-01-08 04:00:00,        25.5015
2012-01-08 06:00:00,        25.4964
2012-01-08 08:00:00,        25.4746
2012-01-08 10:00:00,         25.457
2012-01-08 12:00:00,        25.4787
2012-01-08 14:00:00,        25.5563
2012-01-08 16:00:00,        25.5998
2012-01-08 18:00:00,         25.603
2012-01-08 20:00:00,        25.5862
2012-01-08 22:00:00,        25.5656
2012-01-09 00:00:00,         25.543
2012-01-09 02:00:00,        25.5223
2012-01-09 04:00:00,         25.504
2012-01-09 06:00:00,         25.489
2012-01-09 08:00:00,        25.4815
2012-01-09 10:00:00,         25.486
2012-01-09 12:00:00,        25.5071
2012-01-09 14:00:00,        25.5314
2012-01-09 16:00:00,        25.5439
2012-01-09 18:00:00,         25.538
2012-01-09 20:00:00,         25.512
2012-01-09 22:00:00,        25.4735
2012-01-10 00:00:00,        25.4288
2012-01-10 02:00:00,        25.3905
2012-01-10 04:00:00,        25.3746
2012-01-10 06:00:00,        25.3306
2012-01-10 08:00:00,        25.2955
2012-01-10 10:00:00,        25.2908
2012-01-10 12:00:00,         25.307
2012-01-10 14:00:00,        25.3343
2012-01-10 16:00:00,        25.3624
2012-01-10 18:00:00,        25.3773
2012-01-10 20:00:00,         25.366
2012-01-10 22:00:00,        25.3384
2012-01-11 00:00:00,        25.3095
2012-01-11 02:00:00,        25.2889
2012-01-11 04:00:00,        25.2845
2012-01-11 06:00:00,        25.2952
2012-01-11 08:00:00,        25.2999
2012-01-11 10:00:00,        25.2967
2012-01-11 12:00:00,        25.3017
2012-01-11 14:00:00,        25.3259
2012-01-11 16:00:00,        25.3371
2012-01-11 18:00:00,        25.3294
2012-01-11 20:00:00,        25.3038
2012-01-11 22:00:00,        25.2704
2012-01-12 00:00:00,         25.239
2012-01-12 02:00:00,        25.2075
2012-01-12 04:00:00,        25.1868
2012-01-12 06:00:00,        25.1884
2012-01-12 08:00:00,        25.1986
2012-01-12 10:00:00,        25.2137
2012-01-12 12:00:00,        25.2553
2012-01-12 14:00:00,        25.3131
2012-01-12 16:00:00,        25.3814
2012-01-12 18:00:00,          25.43
2012-01-12 20:00:00,        25.4355
2012-01-12 22:00:00,         25.423
2012-01-13 00:00:00,        25.3963
2012-01-13 02:00:00,        25.3724
2012-01-13 04:00:00,        25.3513
2012-01-13 06:00:00,        25.3606
2012-01-13 08:00:00,        25.3921
2012-01-13 10:00:00,        25.4135
2012-01-13 12:00:00,        25.4343
2012-01-13 14:00:00,        25.4895
2012-01-13 16:00:00,         25.565
2012-01-13 18:00:00,        25.7036
2012-01-13 20:00:00,        25.8447
2012-01-13 22:00:00,          25.83
2012-01-14 00:00:00,        25.7594
2012-01-14 02:00:00,        25.7593
2012-01-14 04:00:00,         25.724
2012-01-14 06:00:00,         25.679
2012-01-14 08:00:00,        25.6613
2012-01-14 10:00:00,         25.671
2012-01-14 12:00:00,        25.6616
2012-01-14 14:00:00,        25.6193
2012-01-14 16:00:00,        25.5785
2012-01-14 18:00:00,        25.6409
2012-01-14 20:00:00,        25.7008
2012-01-14 22:00:00,        25.6935
2012-01-15 00:00:00,        25.6747
2012-01-15 02:00:00,        25.7411
2012-01-15 04:00:00,        25.7867
2012-01-15 06:00:00,        25.8099
2012-01-15 08:00:00,        25.8289
2012-01-15 10:00:00,        25.8531
2012-01-15 12:00:00,        25.8792
2012-01-15 14:00:00,        25.9071
2012-01-15 16:00:00,        25.9256
2012-01-15 18:00:00,        25.9398
2012-01-15 20:00:00,        25.9527
2012-01-15 22:00:00,        25.9652
2012-01-16 00:00:00,        25.9624
2012-01-16 02:00:00,        25.9435
2012-01-16 04:00:00,        25.8966
2012-01-16 06:00:00,        25.8236
2012-01-16 08:00:00,         25.767
2012-01-16 10:00:00,        25.7278
2012-01-16 12:00:00,        25.7229
2012-01-16 14:00:00,        25.7398
2012-01-16 16:00:00,        25.7828
2012-01-16 18:00:00,        25.8156
2012-01-16 20:00:00,        25.8477
2012-01-16 22:00:00,        25.9121
2012-01-17 00:00:00,        25.9492
2012-01-17 02:00:00,        25.9674
2012-01-17 04:00:00,        26.0171
2012-01-17 06:00:00,        26.0449
2012-01-17 08:00:00,        26.0545
2012-01-17 10:00:00,        26.0692
2012-01-17 12:00:00,        26.0732
2012-01-17 14:00:00,        26.0617
2012-01-17 16:00:00,        26.0439
2012-01-17 18:00:00,        26.0166
2012-01-17 20:00:00,        25.9852
2012-01-17 22:00:00,         25.965
2012-01-18 00:00:00,        25.9474
2012-01-18 02:00:00,        25.9221
2012-01-18 04:00:00,        25.8991
2012-01-18 06:00:00,        25.8784
2012-01-18 08:00:00,        25.8601
2012-01-18 10:00:00,         25.861
2012-01-18 12:00:00,        25.8763
2012-01-18 14:00:00,        25.8903
2012-01-18 16:00:00,        25.9011
2012-01-18 18:00:00,        25.9097
2012-01-18 20:00:00,        25.9032
2012-01-18 22:00:00,        25.8946
2012-01-19 00:00:00,        25.8883
2012-01-19 02:00:00,        25.8763
2012-01-19 04:00:00,        25.8599
2012-01-19 06:00:00,        25.8409
2012-01-19 08:00:00,        25.8233
2012-01-19 10:00:00,        25.8201
2012-01-19 12:00:00,        25.8323
2012-01-19 14:00:00,        25.8452
2012-01-19 16:00:00,         25.845
2012-01-19 18:00:00,         25.836
2012-01-19 20:00:00,        25.8217
2012-01-19 22:00:00,        25.8028
2012-01-20 00:00:00,        25.7862
2012-01-20 02:00:00,        25.7694
2012-01-20 04:00:00,        25.7551
2012-01-20 06:00:00,        25.7424
2012-01-20 08:00:00,        25.7341
2012-01-20 10:00:00,        25.7297
2012-01-20 12:00:00,        25.7422
2012-01-20 14:00:00,         25.767
2012-01-20 16:00:00,        25.7759
2012-01-20 18:00:00,        25.7664
2012-01-20 20:00:00,        25.7422
2012-01-20 22:00:00,          25.71
2012-01-21 00:00:00,        25.6857
2012-01-21 02:00:00,        25.6846
2012-01-21 04:00:00,        25.6814
2012-01-21 06:00:00,        25.6638
2012-01-21 08:00:00,        25.6444
2012-01-21 10:00:00,        25.6354
