date and time,magnitude of depth averaged velocity (m/s)
2012-01-01 00:00:00,              0
2012-01-01 02:00:00,       0.118817
2012-01-01 04:00:00,       0.139155
2012-01-01 06:00:00,        0.15495
2012-01-01 08:00:00,       0.152839
2012-01-01 10:00:00,       0.107682
2012-01-01 12:00:00,      0.0134447
2012-01-01 14:00:00,      0.0621658
2012-01-01 16:00:00,      0.0952327
2012-01-01 18:00:00,       0.113064
2012-01-01 20:00:00,       0.125346
2012-01-01 22:00:00,       0.133527
2012-01-02 00:00:00,       0.137473
2012-01-02 02:00:00,       0.111084
2012-01-02 04:00:00,      0.0860238
2012-01-02 06:00:00,      0.0814323
2012-01-02 08:00:00,      0.0693341
2012-01-02 10:00:00,      0.0637152
2012-01-02 12:00:00,       0.074781
2012-01-02 14:00:00,      0.0692386
2012-01-02 16:00:00,      0.0504832
2012-01-02 18:00:00,      0.0452089
2012-01-02 20:00:00,      0.0385987
2012-01-02 22:00:00,      0.0369914
2012-01-03 00:00:00,      0.0570594
2012-01-03 02:00:00,      0.0696562
2012-01-03 04:00:00,       0.062614
2012-01-03 06:00:00,      0.0618176
2012-01-03 08:00:00,       0.057257
2012-01-03 10:00:00,      0.0476401
2012-01-03 12:00:00,      0.0547574
2012-01-03 14:00:00,      0.0636381
2012-01-03 16:00:00,      0.0506541
2012-01-03 18:00:00,      0.0224952
2012-01-03 20:00:00,      0.0236175
2012-01-03 22:00:00,      0.0675573
2012-01-04 00:00:00,      0.0808486
2012-01-04 02:00:00,      0.0704463
2012-01-04 04:00:00,      0.0685677
2012-01-04 06:00:00,       0.060927
2012-01-04 08:00:00,      0.0541274
2012-01-04 10:00:00,      0.0695896
2012-01-04 12:00:00,      0.0815352
2012-01-04 14:00:00,      0.0856839
2012-01-04 16:00:00,       0.110114
2012-01-04 18:00:00,       0.149387
2012-01-04 20:00:00,       0.166797
2012-01-04 22:00:00,       0.161439
2012-01-05 00:00:00,       0.127023
2012-01-05 02:00:00,      0.0730512
2012-01-05 04:00:00,      0.0658003
2012-01-05 06:00:00,      0.0746053
2012-01-05 08:00:00,      0.0695851
2012-01-05 10:00:00,      0.0547939
2012-01-05 12:00:00,      0.0735068
2012-01-05 14:00:00,      0.0880419
2012-01-05 16:00:00,       0.118411
2012-01-05 18:00:00,       0.157624
2012-01-05 20:00:00,        0.15799
2012-01-05 22:00:00,       0.135311
2012-01-06 00:00:00,       0.114733
2012-01-06 02:00:00,      0.0737515
2012-01-06 04:00:00,      0.0625277
2012-01-06 06:00:00,      0.0769036
2012-01-06 08:00:00,      0.0755547
2012-01-06 10:00:00,      0.0552894
2012-01-06 12:00:00,      0.0465357
2012-01-06 14:00:00,      0.0467643
2012-01-06 16:00:00,      0.0270498
2012-01-06 18:00:00,      0.0254684
2012-01-06 20:00:00,      0.0245767
2012-01-06 22:00:00,      0.0223863
2012-01-07 00:00:00,      0.0425543
2012-01-07 02:00:00,      0.0464218
2012-01-07 04:00:00,     0.00966274
2012-01-07 06:00:00,      0.0257506
2012-01-07 08:00:00,      0.0303497
2012-01-07 10:00:00,       0.017654
2012-01-07 12:00:00,      0.0222037
2012-01-07 14:00:00,      0.0364925
2012-01-07 16:00:00,      0.0100723
2012-01-07 18:00:00,      0.0307914
2012-01-07 20:00:00,      0.0363418
2012-01-07 22:00:00,      0.0206197
2012-01-08 00:00:00,      0.0146516
2012-01-08 02:00:00,      0.0362051
2012-01-08 04:00:00,      0.0117485
2012-01-08 06:00:00,      0.0281563
2012-01-08 08:00:00,       0.031077
2012-01-08 10:00:00,      0.0126664
2012-01-08 12:00:00,      0.0302043
2012-01-08 14:00:00,      0.0669714
2012-01-08 16:00:00,      0.0619288
2012-01-08 18:00:00,       0.036276
2012-01-08 20:00:00,      0.0450047
2012-01-08 22:00:00,      0.0686262
2012-01-09 00:00:00,       0.093077
2012-01-09 02:00:00,       0.117903
2012-01-09 04:00:00,       0.104259
2012-01-09 06:00:00,      0.0492738
2012-01-09 08:00:00,      0.0299088
2012-01-09 10:00:00,       0.054633
2012-01-09 12:00:00,      0.0976064
2012-01-09 14:00:00,       0.169504
2012-01-09 16:00:00,       0.199882
2012-01-09 18:00:00,       0.141807
2012-01-09 20:00:00,      0.0861945
2012-01-09 22:00:00,      0.0932751
2012-01-10 00:00:00,      0.0740562
2012-01-10 02:00:00,      0.0940871
2012-01-10 04:00:00,       0.132516
2012-01-10 06:00:00,      0.0930867
2012-01-10 08:00:00,      0.0554363
2012-01-10 10:00:00,      0.0700471
2012-01-10 12:00:00,       0.061227
2012-01-10 14:00:00,       0.068934
2012-01-10 16:00:00,       0.112233
2012-01-10 18:00:00,       0.100797
2012-01-10 20:00:00,      0.0553297
2012-01-10 22:00:00,      0.0502649
2012-01-11 00:00:00,      0.0647499
2012-01-11 02:00:00,      0.0787416
2012-01-11 04:00:00,        0.11597
2012-01-11 06:00:00,        0.10473
2012-01-11 08:00:00,      0.0464677
2012-01-11 10:00:00,      0.0367539
2012-01-11 12:00:00,      0.0571532
2012-01-11 14:00:00,      0.0666917
2012-01-11 16:00:00,      0.0964307
2012-01-11 18:00:00,       0.103227
2012-01-11 20:00:00,      0.0506009
2012-01-11 22:00:00,      0.0277735
2012-01-12 00:00:00,      0.0430539
2012-01-12 02:00:00,       0.053749
2012-01-12 04:00:00,      0.0749821
2012-01-12 06:00:00,      0.0910342
2012-01-12 08:00:00,       0.044082
2012-01-12 10:00:00,      0.0161559
2012-01-12 12:00:00,       0.026726
2012-01-12 14:00:00,      0.0296736
2012-01-12 16:00:00,      0.0248793
2012-01-12 18:00:00,      0.0302238
2012-01-12 20:00:00,      0.0178688
2012-01-12 22:00:00,      0.0401338
2012-01-13 00:00:00,      0.0119481
2012-01-13 02:00:00,      0.0220329
2012-01-13 04:00:00,      0.0261777
2012-01-13 06:00:00,      0.0396344
2012-01-13 08:00:00,      0.0140649
