date and time,Kjeldahl nitrogen (gN/m3)
2012-01-01 00:00:00,              0
2012-01-01 02:00:00,    5.20205e-06
2012-01-01 04:00:00,    3.65077e-06
2012-01-01 06:00:00,    5.42005e-06
2012-01-01 08:00:00,    5.72498e-06
2012-01-01 10:00:00,     6.1425e-06
2012-01-01 12:00:00,    1.22824e-05
2012-01-01 14:00:00,    2.10039e-05
2012-01-01 16:00:00,    0.000120982
2012-01-01 18:00:00,    0.000303726
2012-01-01 20:00:00,     0.00042578
2012-01-01 22:00:00,    0.000521928
2012-01-02 00:00:00,    0.000773954
2012-01-02 02:00:00,    0.000815518
2012-01-02 04:00:00,    0.000692386
2012-01-02 06:00:00,    0.000655587
2012-01-02 08:00:00,    0.000635377
2012-01-02 10:00:00,      0.0006449
2012-01-02 12:00:00,    0.000809387
2012-01-02 14:00:00,     0.00163318
2012-01-02 16:00:00,     0.00243861
2012-01-02 18:00:00,     0.00366837
2012-01-02 20:00:00,     0.00413948
2012-01-02 22:00:00,     0.00390995
2012-01-03 00:00:00,     0.00392341
2012-01-03 02:00:00,      0.0041938
2012-01-03 04:00:00,     0.00380052
2012-01-03 06:00:00,     0.00354946
2012-01-03 08:00:00,     0.00283164
2012-01-03 10:00:00,     0.00193439
2012-01-03 12:00:00,     0.00149136
2012-01-03 14:00:00,     0.00134024
2012-01-03 16:00:00,     0.00138851
2012-01-03 18:00:00,     0.00188042
2012-01-03 20:00:00,     0.00239074
2012-01-03 22:00:00,     0.00235657
2012-01-04 00:00:00,     0.00226582
2012-01-04 02:00:00,     0.00235161
2012-01-04 04:00:00,     0.00251202
2012-01-04 06:00:00,     0.00281964
2012-01-04 08:00:00,     0.00314037
2012-01-04 10:00:00,     0.00322107
2012-01-04 12:00:00,     0.00335709
2012-01-04 14:00:00,     0.00370907
2012-01-04 16:00:00,     0.00416801
2012-01-04 18:00:00,     0.00447551
2012-01-04 20:00:00,     0.00429319
2012-01-04 22:00:00,     0.00380479
2012-01-05 00:00:00,     0.00322361
2012-01-05 02:00:00,     0.00285144
2012-01-05 04:00:00,     0.00279586
2012-01-05 06:00:00,     0.00324668
2012-01-05 08:00:00,     0.00445181
2012-01-05 10:00:00,     0.00607541
2012-01-05 12:00:00,     0.00807168
2012-01-05 14:00:00,      0.0101654
2012-01-05 16:00:00,      0.0117426
2012-01-05 18:00:00,      0.0121398
2012-01-05 20:00:00,      0.0106396
2012-01-05 22:00:00,     0.00820052
2012-01-06 00:00:00,      0.0061806
2012-01-06 02:00:00,     0.00505393
2012-01-06 04:00:00,     0.00459845
2012-01-06 06:00:00,     0.00469846
2012-01-06 08:00:00,      0.0056066
2012-01-06 10:00:00,     0.00696872
2012-01-06 12:00:00,      0.0079236
2012-01-06 14:00:00,     0.00828555
2012-01-06 16:00:00,     0.00843804
2012-01-06 18:00:00,     0.00895776
2012-01-06 20:00:00,      0.0102612
2012-01-06 22:00:00,       0.011319
2012-01-07 00:00:00,      0.0103953
2012-01-07 02:00:00,     0.00846547
2012-01-07 04:00:00,     0.00709686
2012-01-07 06:00:00,      0.0065818
2012-01-07 08:00:00,     0.00688778
2012-01-07 10:00:00,     0.00755672
2012-01-07 12:00:00,     0.00775608
2012-01-07 14:00:00,     0.00764014
2012-01-07 16:00:00,     0.00769957
2012-01-07 18:00:00,     0.00805185
2012-01-07 20:00:00,     0.00913885
2012-01-07 22:00:00,      0.0107881
2012-01-08 00:00:00,      0.0117327
2012-01-08 02:00:00,      0.0118108
2012-01-08 04:00:00,       0.011669
2012-01-08 06:00:00,      0.0117637
2012-01-08 08:00:00,      0.0126675
2012-01-08 10:00:00,      0.0144284
2012-01-08 12:00:00,      0.0158203
2012-01-08 14:00:00,      0.0157019
2012-01-08 16:00:00,      0.0145647
2012-01-08 18:00:00,      0.0143083
2012-01-08 20:00:00,      0.0154434
2012-01-08 22:00:00,      0.0168049
2012-01-09 00:00:00,        0.01657
2012-01-09 02:00:00,      0.0138924
2012-01-09 04:00:00,      0.0107258
2012-01-09 06:00:00,     0.00913852
2012-01-09 08:00:00,     0.00910323
2012-01-09 10:00:00,     0.00998176
2012-01-09 12:00:00,       0.011834
2012-01-09 14:00:00,      0.0125627
2012-01-09 16:00:00,      0.0107403
2012-01-09 18:00:00,     0.00873001
2012-01-09 20:00:00,     0.00816607
