date and time,suspended solids (g/m3)
2012-01-01 00:00:00,              0
2012-01-01 02:00:00,    1.02167e-07
2012-01-01 04:00:00,    3.49978e-05
2012-01-01 06:00:00,    0.000237223
2012-01-01 08:00:00,    0.000662409
2012-01-01 10:00:00,     0.00118874
2012-01-01 12:00:00,     0.00160973
2012-01-01 14:00:00,     0.00237929
2012-01-01 16:00:00,     0.00306166
2012-01-01 18:00:00,      0.0023923
2012-01-01 20:00:00,     0.00200954
2012-01-01 22:00:00,     0.00191161
2012-01-02 00:00:00,     0.00170786
2012-01-02 02:00:00,     0.00146932
2012-01-02 04:00:00,     0.00135272
2012-01-02 06:00:00,     0.00128071
2012-01-02 08:00:00,       0.001269
2012-01-02 10:00:00,     0.00130784
2012-01-02 12:00:00,     0.00116759
2012-01-02 14:00:00,    0.000955683
2012-01-02 16:00:00,      0.0008343
2012-01-02 18:00:00,    0.000762494
2012-01-02 20:00:00,     0.00073142
2012-01-02 22:00:00,    0.000760037
2012-01-03 00:00:00,    0.000724086
2012-01-03 02:00:00,    0.000616098
2012-01-03 04:00:00,    0.000539717
2012-01-03 06:00:00,    0.000502147
2012-01-03 08:00:00,    0.000482823
2012-01-03 10:00:00,    0.000481777
2012-01-03 12:00:00,    0.000482733
2012-01-03 14:00:00,    0.000479523
2012-01-03 16:00:00,    0.000489011
2012-01-03 18:00:00,    0.000515476
2012-01-03 20:00:00,    0.000541215
2012-01-03 22:00:00,    0.000859594
2012-01-04 00:00:00,     0.00296885
2012-01-04 02:00:00,     0.00553659
2012-01-04 04:00:00,     0.00771574
2012-01-04 06:00:00,     0.00917033
2012-01-04 08:00:00,      0.0103982
2012-01-04 10:00:00,      0.0135652
2012-01-04 12:00:00,      0.0186726
2012-01-04 14:00:00,      0.0220436
2012-01-04 16:00:00,      0.0234396
2012-01-04 18:00:00,      0.0225584
2012-01-04 20:00:00,      0.0210973
2012-01-04 22:00:00,      0.0236728
2012-01-05 00:00:00,      0.0308224
2012-01-05 02:00:00,      0.0387981
2012-01-05 04:00:00,      0.0447402
2012-01-05 06:00:00,      0.0498714
2012-01-05 08:00:00,      0.0550081
2012-01-05 10:00:00,       0.061384
2012-01-05 12:00:00,      0.0741697
2012-01-05 14:00:00,      0.0946366
2012-01-05 16:00:00,       0.119098
2012-01-05 18:00:00,       0.147449
2012-01-05 20:00:00,       0.174448
2012-01-05 22:00:00,       0.188628
2012-01-06 00:00:00,       0.181337
2012-01-06 02:00:00,       0.163146
2012-01-06 04:00:00,       0.147163
2012-01-06 06:00:00,        0.13704
2012-01-06 08:00:00,       0.132424
2012-01-06 10:00:00,       0.128211
2012-01-06 12:00:00,       0.122499
2012-01-06 14:00:00,       0.120258
2012-01-06 16:00:00,       0.120602
2012-01-06 18:00:00,       0.122188
2012-01-06 20:00:00,       0.127421
2012-01-06 22:00:00,       0.136671
2012-01-07 00:00:00,        0.14716
2012-01-07 02:00:00,       0.152528
2012-01-07 04:00:00,        0.15123
2012-01-07 06:00:00,       0.148552
2012-01-07 08:00:00,       0.148167
2012-01-07 10:00:00,       0.148855
2012-01-07 12:00:00,       0.146088
2012-01-07 14:00:00,       0.138269
2012-01-07 16:00:00,       0.131106
2012-01-07 18:00:00,       0.127922
2012-01-07 20:00:00,        0.12796
2012-01-07 22:00:00,       0.128277
2012-01-08 00:00:00,       0.125228
2012-01-08 02:00:00,       0.120768
2012-01-08 04:00:00,       0.118767
2012-01-08 06:00:00,       0.118291
2012-01-08 08:00:00,       0.118442
2012-01-08 10:00:00,       0.118371
2012-01-08 12:00:00,       0.116712
2012-01-08 14:00:00,       0.114371
2012-01-08 16:00:00,       0.113312
2012-01-08 18:00:00,        0.11312
2012-01-08 20:00:00,       0.114918
2012-01-08 22:00:00,       0.119411
2012-01-09 00:00:00,       0.124087
2012-01-09 02:00:00,       0.124844
2012-01-09 04:00:00,       0.121568
2012-01-09 06:00:00,       0.118499
2012-01-09 08:00:00,       0.117922
2012-01-09 10:00:00,       0.119625
2012-01-09 12:00:00,       0.125607
2012-01-09 14:00:00,       0.138761
2012-01-09 16:00:00,       0.150859
2012-01-09 18:00:00,       0.156743
2012-01-09 20:00:00,       0.163638
2012-01-09 22:00:00,       0.172444
2012-01-10 00:00:00,       0.183041
2012-01-10 02:00:00,       0.190385
2012-01-10 04:00:00,       0.186112
2012-01-10 06:00:00,       0.177173
2012-01-10 08:00:00,       0.172881
2012-01-10 10:00:00,        0.17535
2012-01-10 12:00:00,       0.179587
2012-01-10 14:00:00,       0.176711
2012-01-10 16:00:00,       0.162897
2012-01-10 18:00:00,       0.149899
2012-01-10 20:00:00,       0.146809
2012-01-10 22:00:00,       0.149388
2012-01-11 00:00:00,       0.151075
2012-01-11 02:00:00,       0.147947
2012-01-11 04:00:00,       0.135614
2012-01-11 06:00:00,       0.122632
2012-01-11 08:00:00,       0.118131
2012-01-11 10:00:00,        0.12029
2012-01-11 12:00:00,       0.124341
2012-01-11 14:00:00,       0.126864
2012-01-11 16:00:00,        0.12266
2012-01-11 18:00:00,        0.11509
2012-01-11 20:00:00,       0.112976
2012-01-11 22:00:00,       0.116967
2012-01-12 00:00:00,       0.123201
2012-01-12 02:00:00,       0.127541
