date and time,wind speed (m/s)
2012-01-01 00:00:00,          8.542
2012-01-01 02:00:00,        8.02633
2012-01-01 04:00:00,        7.51067
2012-01-01 06:00:00,          6.995
2012-01-01 08:00:00,          7.571
2012-01-01 10:00:00,          8.147
2012-01-01 12:00:00,          8.723
2012-01-01 14:00:00,        8.16267
2012-01-01 16:00:00,        7.60233
2012-01-01 18:00:00,          7.042
2012-01-01 20:00:00,        6.53533
2012-01-01 22:00:00,        6.02867
2012-01-02 00:00:00,          5.522
2012-01-02 02:00:00,          5.599
2012-01-02 04:00:00,          5.676
2012-01-02 06:00:00,          5.753
2012-01-02 08:00:00,        6.16733
2012-01-02 10:00:00,        6.58167
2012-01-02 12:00:00,          6.996
2012-01-02 14:00:00,        6.50733
2012-01-02 16:00:00,        6.01867
2012-01-02 18:00:00,           5.53
2012-01-02 20:00:00,        5.35333
2012-01-02 22:00:00,        5.17667
2012-01-03 00:00:00,              5
2012-01-03 02:00:00,          3.958
2012-01-03 04:00:00,          2.916
2012-01-03 06:00:00,          1.874
2012-01-03 08:00:00,          1.643
2012-01-03 10:00:00,          1.412
2012-01-03 12:00:00,          1.181
2012-01-03 14:00:00,        3.03467
2012-01-03 16:00:00,        4.88833
2012-01-03 18:00:00,          6.742
2012-01-03 20:00:00,        5.96667
2012-01-03 22:00:00,        5.19133
2012-01-04 00:00:00,          4.416
2012-01-04 02:00:00,        3.96133
2012-01-04 04:00:00,        3.50667
2012-01-04 06:00:00,          3.052
2012-01-04 08:00:00,        4.27833
2012-01-04 10:00:00,        5.50467
2012-01-04 12:00:00,          6.731
2012-01-04 14:00:00,        7.47067
2012-01-04 16:00:00,        8.21033
2012-01-04 18:00:00,           8.95
2012-01-04 20:00:00,          7.608
2012-01-04 22:00:00,          6.266
2012-01-05 00:00:00,          4.924
2012-01-05 02:00:00,        4.29267
2012-01-05 04:00:00,        3.66133
2012-01-05 06:00:00,           3.03
2012-01-05 08:00:00,        4.56867
2012-01-05 10:00:00,        6.10733
2012-01-05 12:00:00,          7.646
2012-01-05 14:00:00,        8.05467
2012-01-05 16:00:00,        8.46333
2012-01-05 18:00:00,          8.872
2012-01-05 20:00:00,        7.80933
2012-01-05 22:00:00,        6.74667
2012-01-06 00:00:00,          5.684
2012-01-06 02:00:00,        5.08867
2012-01-06 04:00:00,        4.49333
2012-01-06 06:00:00,          3.898
2012-01-06 08:00:00,        4.10633
2012-01-06 10:00:00,        4.31467
2012-01-06 12:00:00,          4.523
2012-01-06 14:00:00,          4.583
2012-01-06 16:00:00,          4.643
2012-01-06 18:00:00,          4.703
2012-01-06 20:00:00,        4.29533
2012-01-06 22:00:00,        3.88767
2012-01-07 00:00:00,           3.48
2012-01-07 02:00:00,        2.94033
2012-01-07 04:00:00,        2.40067
2012-01-07 06:00:00,          1.861
2012-01-07 08:00:00,          1.548
2012-01-07 10:00:00,          1.235
2012-01-07 12:00:00,          0.922
2012-01-07 14:00:00,        1.13033
2012-01-07 16:00:00,        1.33867
2012-01-07 18:00:00,          1.547
2012-01-07 20:00:00,        2.41833
2012-01-07 22:00:00,        3.28967
2012-01-08 00:00:00,          4.161
2012-01-08 02:00:00,        3.79267
2012-01-08 04:00:00,        3.42433
2012-01-08 06:00:00,          3.056
2012-01-08 08:00:00,        3.10967
2012-01-08 10:00:00,        3.16333
2012-01-08 12:00:00,          3.217
2012-01-08 14:00:00,        4.28333
2012-01-08 16:00:00,        5.34967
2012-01-08 18:00:00,          6.416
2012-01-08 20:00:00,        5.45967
2012-01-08 22:00:00,        4.50333
2012-01-09 00:00:00,          3.547
2012-01-09 02:00:00,          3.957
2012-01-09 04:00:00,          4.367
2012-01-09 06:00:00,          4.777
2012-01-09 08:00:00,        5.87067
2012-01-09 10:00:00,        6.96433
2012-01-09 12:00:00,          8.058
2012-01-09 14:00:00,        8.31367
2012-01-09 16:00:00,        8.56933
2012-01-09 18:00:00,          8.825
2012-01-09 20:00:00,        9.05167
2012-01-09 22:00:00,        9.27833
2012-01-10 00:00:00,          9.505
2012-01-10 02:00:00,        9.57733
2012-01-10 04:00:00,        9.64967
2012-01-10 06:00:00,          9.722
2012-01-10 08:00:00,        8.72567
2012-01-10 10:00:00,        7.72933
2012-01-10 12:00:00,          6.733
2012-01-10 14:00:00,        7.02267
2012-01-10 16:00:00,        7.31233
2012-01-10 18:00:00,          7.602
2012-01-10 20:00:00,        6.77467
