date and time,irradiation at the water surface (W/m2)
2012-01-01 00:00:00,           94.6
2012-01-01 02:00:00,        215.433
2012-01-01 04:00:00,        336.267
2012-01-01 06:00:00,          457.1
2012-01-01 08:00:00,        340.067
2012-01-01 10:00:00,        223.033
2012-01-01 12:00:00,            106
2012-01-01 14:00:00,        70.6667
2012-01-01 16:00:00,        35.3333
2012-01-01 18:00:00,              0
2012-01-01 20:00:00,        42.4667
2012-01-01 22:00:00,        84.9333
2012-01-02 00:00:00,          127.4
2012-01-02 02:00:00,        373.533
2012-01-02 04:00:00,        619.667
2012-01-02 06:00:00,          865.8
2012-01-02 08:00:00,          665.4
2012-01-02 10:00:00,            465
2012-01-02 12:00:00,          264.6
2012-01-02 14:00:00,          176.4
2012-01-02 16:00:00,           88.2
2012-01-02 18:00:00,              0
2012-01-02 20:00:00,        68.4667
2012-01-02 22:00:00,        136.933
2012-01-03 00:00:00,          205.4
2012-01-03 02:00:00,        477.267
2012-01-03 04:00:00,        749.133
2012-01-03 06:00:00,           1021
2012-01-03 08:00:00,          774.6
2012-01-03 10:00:00,          528.2
2012-01-03 12:00:00,          281.8
2012-01-03 14:00:00,        187.867
2012-01-03 16:00:00,        93.9333
2012-01-03 18:00:00,              0
2012-01-03 20:00:00,           72.2
2012-01-03 22:00:00,          144.4
2012-01-04 00:00:00,          216.6
2012-01-04 02:00:00,          482.4
2012-01-04 04:00:00,          748.2
2012-01-04 06:00:00,           1014
2012-01-04 08:00:00,            768
2012-01-04 10:00:00,            522
2012-01-04 12:00:00,            276
2012-01-04 14:00:00,            184
2012-01-04 16:00:00,             92
2012-01-04 18:00:00,              0
2012-01-04 20:00:00,        46.2667
2012-01-04 22:00:00,        92.5333
2012-01-05 00:00:00,          138.8
2012-01-05 02:00:00,        270.367
2012-01-05 04:00:00,        401.933
2012-01-05 06:00:00,          533.5
2012-01-05 08:00:00,          395.4
2012-01-05 10:00:00,          257.3
2012-01-05 12:00:00,          119.2
2012-01-05 14:00:00,        79.4667
2012-01-05 16:00:00,        39.7333
2012-01-05 18:00:00,              0
2012-01-05 20:00:00,        27.7667
2012-01-05 22:00:00,        55.5333
