date and time,Salinity (g/kg)
2012-01-01 00:00:00,          35.28
2012-01-01 02:00:00,          35.28
2012-01-01 04:00:00,          35.28
2012-01-01 06:00:00,          35.28
2012-01-01 08:00:00,          35.28
2012-01-01 10:00:00,          35.28
2012-01-01 12:00:00,          35.28
2012-01-01 14:00:00,          35.28
2012-01-01 16:00:00,          35.28
2012-01-01 18:00:00,          35.28
2012-01-01 20:00:00,        35.2799
2012-01-01 22:00:00,          35.28
2012-01-02 00:00:00,        35.2799
2012-01-02 02:00:00,          35.28
2012-01-02 04:00:00,        35.2799
2012-01-02 06:00:00,        35.2799
2012-01-02 08:00:00,        35.2799
2012-01-02 10:00:00,          35.28
2012-01-02 12:00:00,          35.28
2012-01-02 14:00:00,          35.28
2012-01-02 16:00:00,        35.2799
2012-01-02 18:00:00,        35.2796
2012-01-02 20:00:00,        35.2794
2012-01-02 22:00:00,        35.2793
2012-01-03 00:00:00,        35.2793
2012-01-03 02:00:00,        35.2795
2012-01-03 04:00:00,        35.2796
2012-01-03 06:00:00,        35.2794
2012-01-03 08:00:00,        35.2793
2012-01-03 10:00:00,        35.2797
2012-01-03 12:00:00,        35.2807
2012-01-03 14:00:00,        35.2828
2012-01-03 16:00:00,        35.2855
2012-01-03 18:00:00,        35.2864
2012-01-03 20:00:00,        35.2844
2012-01-03 22:00:00,        35.2811
2012-01-04 00:00:00,        35.2791
2012-01-04 02:00:00,        35.2783
2012-01-04 04:00:00,        35.2779
2012-01-04 06:00:00,        35.2769
2012-01-04 08:00:00,        35.2758
2012-01-04 10:00:00,        35.2751
2012-01-04 12:00:00,        35.2745
2012-01-04 14:00:00,         35.274
2012-01-04 16:00:00,        35.2742
2012-01-04 18:00:00,        35.2747
2012-01-04 20:00:00,        35.2674
2012-01-04 22:00:00,        35.2617
2012-01-05 00:00:00,        35.2648
2012-01-05 02:00:00,        35.2669
2012-01-05 04:00:00,        35.2678
2012-01-05 06:00:00,        35.2667
2012-01-05 08:00:00,        35.2641
2012-01-05 10:00:00,        35.2621
2012-01-05 12:00:00,        35.2613
2012-01-05 14:00:00,          35.25
2012-01-05 16:00:00,        35.2363
2012-01-05 18:00:00,        35.2455
2012-01-05 20:00:00,        35.2507
2012-01-05 22:00:00,        35.2505
2012-01-06 00:00:00,        35.2524
2012-01-06 02:00:00,         35.254
2012-01-06 04:00:00,         35.251
2012-01-06 06:00:00,        35.2435
2012-01-06 08:00:00,        35.2315
2012-01-06 10:00:00,        35.2127
2012-01-06 12:00:00,         35.184
2012-01-06 14:00:00,        35.1637
2012-01-06 16:00:00,        35.1678
2012-01-06 18:00:00,        35.1775
2012-01-06 20:00:00,        35.1823
2012-01-06 22:00:00,         35.177
2012-01-07 00:00:00,        35.1668
2012-01-07 02:00:00,        35.1607
2012-01-07 04:00:00,        35.1617
2012-01-07 06:00:00,        35.1624
2012-01-07 08:00:00,        35.1614
2012-01-07 10:00:00,        35.1599
2012-01-07 12:00:00,        35.1608
2012-01-07 14:00:00,        35.1669
2012-01-07 16:00:00,        35.1727
2012-01-07 18:00:00,        35.1717
2012-01-07 20:00:00,        35.1666
2012-01-07 22:00:00,        35.1619
2012-01-08 00:00:00,        35.1612
2012-01-08 02:00:00,         35.166
2012-01-08 04:00:00,        35.1713
2012-01-08 06:00:00,        35.1712
2012-01-08 08:00:00,        35.1675
2012-01-08 10:00:00,        35.1634
