date and time,magnitude of depth averaged velocity (m/s)
2012-01-01 00:00:00,              0
2012-01-01 02:00:00,      0.0612376
2012-01-01 04:00:00,      0.0429421
2012-01-01 06:00:00,       0.039744
2012-01-01 08:00:00,      0.0829004
2012-01-01 10:00:00,       0.093784
2012-01-01 12:00:00,      0.0209526
2012-01-01 14:00:00,      0.0123602
2012-01-01 16:00:00,      0.0102952
2012-01-01 18:00:00,      0.0267198
2012-01-01 20:00:00,      0.0502354
2012-01-01 22:00:00,      0.0457211
2012-01-02 00:00:00,      0.0649064
2012-01-02 02:00:00,      0.0554444
2012-01-02 04:00:00,      0.0224885
2012-01-02 06:00:00,      0.0130405
2012-01-02 08:00:00,      0.0203044
2012-01-02 10:00:00,      0.0354341
2012-01-02 12:00:00,      0.0244557
2012-01-02 14:00:00,      0.0379947
2012-01-02 16:00:00,      0.0145439
2012-01-02 18:00:00,      0.0132917
2012-01-02 20:00:00,      0.0222989
2012-01-02 22:00:00,      0.0481739
2012-01-03 00:00:00,      0.0059401
2012-01-03 02:00:00,       0.027267
2012-01-03 04:00:00,      0.0125297
2012-01-03 06:00:00,      0.0197419
2012-01-03 08:00:00,      0.0244995
2012-01-03 10:00:00,      0.0581074
2012-01-03 12:00:00,      0.0374337
2012-01-03 14:00:00,      0.0339818
2012-01-03 16:00:00,       0.034495
2012-01-03 18:00:00,      0.0322811
2012-01-03 20:00:00,      0.0141069
2012-01-03 22:00:00,      0.0663582
2012-01-04 00:00:00,      0.0730868
2012-01-04 02:00:00,       0.035638
2012-01-04 04:00:00,      0.0155843
2012-01-04 06:00:00,      0.0024115
2012-01-04 08:00:00,     0.00442616
2012-01-04 10:00:00,      0.0551696
2012-01-04 12:00:00,      0.0761936
2012-01-04 14:00:00,      0.0409397
2012-01-04 16:00:00,      0.0255112
2012-01-04 18:00:00,      0.0357957
2012-01-04 20:00:00,      0.0482461
2012-01-04 22:00:00,      0.0879417
2012-01-05 00:00:00,       0.123423
2012-01-05 02:00:00,      0.0963104
2012-01-05 04:00:00,      0.0482529
2012-01-05 06:00:00,      0.0140841
2012-01-05 08:00:00,      0.0276928
2012-01-05 10:00:00,      0.0278239
2012-01-05 12:00:00,      0.0939798
2012-01-05 14:00:00,       0.087768
2012-01-05 16:00:00,      0.0481349
2012-01-05 18:00:00,      0.0461873
2012-01-05 20:00:00,       0.052497
2012-01-05 22:00:00,      0.0646789
2012-01-06 00:00:00,       0.127081
2012-01-06 02:00:00,       0.123827
2012-01-06 04:00:00,      0.0727294
2012-01-06 06:00:00,      0.0033884
2012-01-06 08:00:00,      0.0473846
2012-01-06 10:00:00,       0.016308
2012-01-06 12:00:00,      0.0697196
2012-01-06 14:00:00,       0.100183
2012-01-06 16:00:00,      0.0508296
2012-01-06 18:00:00,      0.0262805
2012-01-06 20:00:00,      0.0614289
2012-01-06 22:00:00,       0.035921
2012-01-07 00:00:00,       0.063874
2012-01-07 02:00:00,       0.121943
2012-01-07 04:00:00,      0.0861478
2012-01-07 06:00:00,     0.00774534
2012-01-07 08:00:00,      0.0733252
2012-01-07 10:00:00,      0.0646845
2012-01-07 12:00:00,      0.0266704
2012-01-07 14:00:00,       0.101752
2012-01-07 16:00:00,      0.0736834
2012-01-07 18:00:00,      0.0263727
2012-01-07 20:00:00,      0.0906704
2012-01-07 22:00:00,      0.0875123
2012-01-08 00:00:00,      0.0260343
2012-01-08 02:00:00,       0.105929
2012-01-08 04:00:00,       0.108199
2012-01-08 06:00:00,      0.0194249
2012-01-08 08:00:00,       0.079677
2012-01-08 10:00:00,      0.0909413
2012-01-08 12:00:00,      0.0372064
2012-01-08 14:00:00,      0.0868627
2012-01-08 16:00:00,       0.105334
2012-01-08 18:00:00,      0.0187492
2012-01-08 20:00:00,      0.0879854
2012-01-08 22:00:00,      0.0917032
2012-01-09 00:00:00,      0.0362159
2012-01-09 02:00:00,       0.114289
2012-01-09 04:00:00,       0.150236
2012-01-09 06:00:00,      0.0733756
2012-01-09 08:00:00,      0.0527542
2012-01-09 10:00:00,      0.0828714
2012-01-09 12:00:00,      0.0367135
2012-01-09 14:00:00,       0.105106
2012-01-09 16:00:00,       0.162773
2012-01-09 18:00:00,       0.086343
2012-01-09 20:00:00,      0.0537333
2012-01-09 22:00:00,      0.0732501
2012-01-10 00:00:00,       0.033828
2012-01-10 02:00:00,       0.127757
2012-01-10 04:00:00,       0.194078
2012-01-10 06:00:00,        0.13757
2012-01-10 08:00:00,      0.0140236
2012-01-10 10:00:00,       0.052028
2012-01-10 12:00:00,      0.0215181
2012-01-10 14:00:00,      0.0748923
2012-01-10 16:00:00,       0.164112
2012-01-10 18:00:00,       0.106428
2012-01-10 20:00:00,      0.0446611
2012-01-10 22:00:00,      0.0902627
2012-01-11 00:00:00,      0.0502987
2012-01-11 02:00:00,      0.0505722
2012-01-11 04:00:00,       0.159526
2012-01-11 06:00:00,       0.145486
2012-01-11 08:00:00,      0.0256225
2012-01-11 10:00:00,      0.0747745
2012-01-11 12:00:00,       0.050703
2012-01-11 14:00:00,      0.0269959
2012-01-11 16:00:00,       0.124993
2012-01-11 18:00:00,       0.130314
2012-01-11 20:00:00,       0.022043
2012-01-11 22:00:00,       0.100904
2012-01-12 00:00:00,      0.0716673
2012-01-12 02:00:00,      0.0229787
2012-01-12 04:00:00,         0.1133
2012-01-12 06:00:00,        0.15701
2012-01-12 08:00:00,      0.0653857
2012-01-12 10:00:00,      0.0710253
2012-01-12 12:00:00,      0.0615918
