date and time,BOD5 (gO2/m3)
2012-01-01 00:00:00,              0
2012-01-01 02:00:00,    0.000902669
2012-01-01 04:00:00,    0.000574994
2012-01-01 06:00:00,    0.000235475
2012-01-01 08:00:00,    6.90022e-05
2012-01-01 10:00:00,    2.14612e-05
2012-01-01 12:00:00,    1.81307e-05
2012-01-01 14:00:00,    0.000346173
2012-01-01 16:00:00,    0.000572812
2012-01-01 18:00:00,     0.00169166
2012-01-01 20:00:00,     0.00379854
2012-01-01 22:00:00,     0.00578868
2012-01-02 00:00:00,      0.0288295
2012-01-02 02:00:00,       0.295668
2012-01-02 04:00:00,       0.380453
2012-01-02 06:00:00,       0.333471
2012-01-02 08:00:00,       0.260926
2012-01-02 10:00:00,       0.148867
2012-01-02 12:00:00,       0.109194
2012-01-02 14:00:00,       0.153299
2012-01-02 16:00:00,       0.136533
2012-01-02 18:00:00,       0.115115
2012-01-02 20:00:00,       0.103288
2012-01-02 22:00:00,      0.0874178
2012-01-03 00:00:00,      0.0782695
2012-01-03 02:00:00,      0.0938606
2012-01-03 04:00:00,       0.138082
2012-01-03 06:00:00,       0.144101
2012-01-03 08:00:00,       0.173759
2012-01-03 10:00:00,        0.11519
2012-01-03 12:00:00,       0.076494
2012-01-03 14:00:00,       0.074771
2012-01-03 16:00:00,       0.209851
2012-01-03 18:00:00,       0.353142
2012-01-03 20:00:00,       0.518143
2012-01-03 22:00:00,       0.333836
2012-01-04 00:00:00,       0.149794
2012-01-04 02:00:00,      0.0906637
2012-01-04 04:00:00,      0.0760151
2012-01-04 06:00:00,      0.0756722
2012-01-04 08:00:00,      0.0934376
2012-01-04 10:00:00,      0.0800543
2012-01-04 12:00:00,      0.0596589
2012-01-04 14:00:00,       0.048556
2012-01-04 16:00:00,      0.0434344
2012-01-04 18:00:00,      0.0390972
2012-01-04 20:00:00,      0.0336454
2012-01-04 22:00:00,      0.0240715
2012-01-05 00:00:00,      0.0149456
2012-01-05 02:00:00,      0.0105584
2012-01-05 04:00:00,     0.00890306
2012-01-05 06:00:00,     0.00834632
2012-01-05 08:00:00,      0.0126799
2012-01-05 10:00:00,      0.0151217
2012-01-05 12:00:00,      0.0101993
2012-01-05 14:00:00,     0.00846419
2012-01-05 16:00:00,     0.00826207
2012-01-05 18:00:00,     0.00820256
2012-01-05 20:00:00,     0.00837001
2012-01-05 22:00:00,      0.0082287
2012-01-06 00:00:00,     0.00829788
2012-01-06 02:00:00,     0.00907231
2012-01-06 04:00:00,       0.010068
2012-01-06 06:00:00,      0.0103608
2012-01-06 08:00:00,      0.0321257
2012-01-06 10:00:00,      0.0573836
2012-01-06 12:00:00,      0.0471499
2012-01-06 14:00:00,      0.0275472
2012-01-06 16:00:00,      0.0205704
2012-01-06 18:00:00,      0.0203641
2012-01-06 20:00:00,      0.0626744
2012-01-06 22:00:00,      0.0797274
2012-01-07 00:00:00,      0.0665664
2012-01-07 02:00:00,      0.0376107
2012-01-07 04:00:00,      0.0276835
2012-01-07 06:00:00,      0.0259152
2012-01-07 08:00:00,      0.0405852
2012-01-07 10:00:00,      0.0587422
2012-01-07 12:00:00,      0.0573523
2012-01-07 14:00:00,        0.04089
2012-01-07 16:00:00,      0.0324439
2012-01-07 18:00:00,      0.0305631
2012-01-07 20:00:00,       0.044745
2012-01-07 22:00:00,      0.0525818
2012-01-08 00:00:00,      0.0494065
2012-01-08 02:00:00,      0.0412006
2012-01-08 04:00:00,      0.0343095
2012-01-08 06:00:00,      0.0318997
2012-01-08 08:00:00,      0.0510135
2012-01-08 10:00:00,      0.0789997
2012-01-08 12:00:00,      0.0762623
2012-01-08 14:00:00,      0.0608996
2012-01-08 16:00:00,      0.0430385
2012-01-08 18:00:00,      0.0356807
2012-01-08 20:00:00,      0.0453473
2012-01-08 22:00:00,      0.0569994
2012-01-09 00:00:00,      0.0549313
2012-01-09 02:00:00,      0.0428866
2012-01-09 04:00:00,      0.0324413
2012-01-09 06:00:00,      0.0299707
2012-01-09 08:00:00,      0.0293083
2012-01-09 10:00:00,      0.0432981
2012-01-09 12:00:00,      0.0483613
2012-01-09 14:00:00,      0.0375502
2012-01-09 16:00:00,      0.0315633
2012-01-09 18:00:00,      0.0325396
2012-01-09 20:00:00,      0.0323083
2012-01-09 22:00:00,      0.0331402
2012-01-10 00:00:00,       0.033263
2012-01-10 02:00:00,      0.0325721
2012-01-10 04:00:00,      0.0393758
2012-01-10 06:00:00,        0.04777
2012-01-10 08:00:00,      0.0509235
2012-01-10 10:00:00,      0.0552442
2012-01-10 12:00:00,      0.0556442
2012-01-10 14:00:00,      0.0540467
2012-01-10 16:00:00,      0.0544956
2012-01-10 18:00:00,      0.0596156
2012-01-10 20:00:00,      0.0603413
2012-01-10 22:00:00,      0.0664478
2012-01-11 00:00:00,      0.0678229
2012-01-11 02:00:00,      0.0644042
2012-01-11 04:00:00,      0.0616577
2012-01-11 06:00:00,      0.0686082
2012-01-11 08:00:00,      0.0728036
2012-01-11 10:00:00,      0.0809522
2012-01-11 12:00:00,      0.0854868
2012-01-11 14:00:00,      0.0810711
2012-01-11 16:00:00,      0.0737932
2012-01-11 18:00:00,      0.0827648
2012-01-11 20:00:00,      0.0911363
2012-01-11 22:00:00,      0.0918615
2012-01-12 00:00:00,       0.089665
2012-01-12 02:00:00,      0.0836982
2012-01-12 04:00:00,      0.0871188
2012-01-12 06:00:00,       0.114696
2012-01-12 08:00:00,       0.140628
2012-01-12 10:00:00,       0.138963
2012-01-12 12:00:00,       0.132692
2012-01-12 14:00:00,        0.12598
2012-01-12 16:00:00,       0.130369
2012-01-12 18:00:00,       0.158587
2012-01-12 20:00:00,       0.180262
2012-01-12 22:00:00,        0.18018
2012-01-13 00:00:00,       0.167222
2012-01-13 02:00:00,       0.144948
2012-01-13 04:00:00,       0.136775
2012-01-13 06:00:00,       0.159029
2012-01-13 08:00:00,       0.182651
2012-01-13 10:00:00,       0.183079
2012-01-13 12:00:00,       0.184243
2012-01-13 14:00:00,        0.17648
2012-01-13 16:00:00,       0.170952
2012-01-13 18:00:00,       0.174136
2012-01-13 20:00:00,        0.18896
2012-01-13 22:00:00,       0.187305
2012-01-14 00:00:00,       0.184169
2012-01-14 02:00:00,       0.165335
2012-01-14 04:00:00,         0.1529
2012-01-14 06:00:00,        0.16459
2012-01-14 08:00:00,       0.187152
2012-01-14 10:00:00,       0.196876
2012-01-14 12:00:00,       0.188862
2012-01-14 14:00:00,       0.181178
2012-01-14 16:00:00,       0.184127
2012-01-14 18:00:00,       0.189935
2012-01-14 20:00:00,        0.19678
2012-01-14 22:00:00,       0.197654
2012-01-15 00:00:00,       0.214994
2012-01-15 02:00:00,       0.226702
2012-01-15 04:00:00,       0.234112
2012-01-15 06:00:00,       0.278588
2012-01-15 08:00:00,        0.26329
2012-01-15 10:00:00,       0.238533
2012-01-15 12:00:00,        0.36533
2012-01-15 14:00:00,       0.452985
2012-01-15 16:00:00,       0.478335
2012-01-15 18:00:00,       0.472428
2012-01-15 20:00:00,       0.388255
2012-01-15 22:00:00,       0.300196
2012-01-16 00:00:00,       0.354276
2012-01-16 02:00:00,       0.393005
2012-01-16 04:00:00,       0.371418
2012-01-16 06:00:00,       0.355472
2012-01-16 08:00:00,       0.344682
2012-01-16 10:00:00,       0.288967
2012-01-16 12:00:00,       0.271264
2012-01-16 14:00:00,       0.281983
2012-01-16 16:00:00,       0.268971
2012-01-16 18:00:00,       0.254638
2012-01-16 20:00:00,        0.24181
