date and time,Salinity (g/kg)
2012-01-01 00:00:00,          35.28
2012-01-01 02:00:00,          35.28
2012-01-01 04:00:00,          35.28
2012-01-01 06:00:00,          35.28
2012-01-01 08:00:00,          35.28
2012-01-01 10:00:00,          35.28
2012-01-01 12:00:00,          35.28
2012-01-01 14:00:00,          35.28
2012-01-01 16:00:00,          35.28
2012-01-01 18:00:00,        35.2799
2012-01-01 20:00:00,        35.2798
2012-01-01 22:00:00,        35.2799
2012-01-02 00:00:00,         35.279
2012-01-02 02:00:00,         35.178
2012-01-02 04:00:00,         35.081
2012-01-02 06:00:00,        35.1174
2012-01-02 08:00:00,        35.1738
2012-01-02 10:00:00,        35.2479
2012-01-02 12:00:00,        35.2587
2012-01-02 14:00:00,        35.2427
2012-01-02 16:00:00,        35.2434
2012-01-02 18:00:00,        35.2509
2012-01-02 20:00:00,        35.2552
2012-01-02 22:00:00,        35.2574
2012-01-03 00:00:00,        35.2574
2012-01-03 02:00:00,        35.2557
2012-01-03 04:00:00,        35.2555
2012-01-03 06:00:00,        35.2462
2012-01-03 08:00:00,        35.2334
2012-01-03 10:00:00,        35.2538
2012-01-03 12:00:00,        35.2602
2012-01-03 14:00:00,         35.259
2012-01-03 16:00:00,         35.245
2012-01-03 18:00:00,        35.1558
2012-01-03 20:00:00,        35.0401
2012-01-03 22:00:00,        35.1886
2012-01-04 00:00:00,        35.2574
2012-01-04 02:00:00,        35.2611
2012-01-04 04:00:00,        35.2607
2012-01-04 06:00:00,        35.2592
2012-01-04 08:00:00,        35.2568
2012-01-04 10:00:00,        35.2539
2012-01-04 12:00:00,        35.2484
2012-01-04 14:00:00,        35.2519
2012-01-04 16:00:00,        35.2559
2012-01-04 18:00:00,        35.2596
2012-01-04 20:00:00,        35.2639
2012-01-04 22:00:00,          35.27
2012-01-05 00:00:00,        35.2745
2012-01-05 02:00:00,         35.278
2012-01-05 04:00:00,        35.2767
2012-01-05 06:00:00,        35.2755
2012-01-05 08:00:00,        35.2758
2012-01-05 10:00:00,        35.2752
2012-01-05 12:00:00,        35.2698
2012-01-05 14:00:00,        35.2597
2012-01-05 16:00:00,        35.2626
2012-01-05 18:00:00,        35.2615
2012-01-05 20:00:00,        35.2611
2012-01-05 22:00:00,        35.2606
2012-01-06 00:00:00,        35.2634
2012-01-06 02:00:00,        35.2616
2012-01-06 04:00:00,        35.2299
2012-01-06 06:00:00,        35.2294
2012-01-06 08:00:00,        35.2339
2012-01-06 10:00:00,        35.2298
2012-01-06 12:00:00,        35.2305
2012-01-06 14:00:00,        35.2331
2012-01-06 16:00:00,        35.2376
2012-01-06 18:00:00,        35.2399
2012-01-06 20:00:00,        35.2325
2012-01-06 22:00:00,        35.2223
2012-01-07 00:00:00,        35.2256
2012-01-07 02:00:00,        35.2481
2012-01-07 04:00:00,        35.2681
2012-01-07 06:00:00,        35.2732
2012-01-07 08:00:00,         35.268
2012-01-07 10:00:00,        35.2496
2012-01-07 12:00:00,         35.241
2012-01-07 14:00:00,         35.263
2012-01-07 16:00:00,        35.2755
2012-01-07 18:00:00,        35.2757
2012-01-07 20:00:00,        35.2696
2012-01-07 22:00:00,        35.2391
2012-01-08 00:00:00,        35.2189
2012-01-08 02:00:00,        35.2482
2012-01-08 04:00:00,        35.2712
2012-01-08 06:00:00,        35.2715
2012-01-08 08:00:00,        35.2711
2012-01-08 10:00:00,        35.2481
