date and time,suspended solids (g/m3)
2012-01-01 00:00:00,              0
2012-01-01 02:00:00,    1.99925e-06
2012-01-01 04:00:00,    4.02457e-06
2012-01-01 06:00:00,    0.000959915
2012-01-01 08:00:00,      0.0506451
2012-01-01 10:00:00,        0.19129
2012-01-01 12:00:00,       0.154756
2012-01-01 14:00:00,      0.0782253
2012-01-01 16:00:00,      0.0603301
2012-01-01 18:00:00,       0.129115
2012-01-01 20:00:00,       0.438431
2012-01-01 22:00:00,       0.839241
2012-01-02 00:00:00,       0.927406
2012-01-02 02:00:00,       0.866413
2012-01-02 04:00:00,       0.916912
2012-01-02 06:00:00,        1.03683
2012-01-02 08:00:00,        1.19013
2012-01-02 10:00:00,         1.2296
2012-01-02 12:00:00,        1.12058
2012-01-02 14:00:00,        1.03087
2012-01-02 16:00:00,       0.930667
2012-01-02 18:00:00,        0.82521
2012-01-02 20:00:00,         0.7562
2012-01-02 22:00:00,       0.809645
2012-01-03 00:00:00,       0.744413
2012-01-03 02:00:00,       0.596884
2012-01-03 04:00:00,       0.508087
2012-01-03 06:00:00,       0.437707
2012-01-03 08:00:00,        0.40188
2012-01-03 10:00:00,       0.366476
2012-01-03 12:00:00,       0.326106
2012-01-03 14:00:00,       0.294592
2012-01-03 16:00:00,        0.28872
2012-01-03 18:00:00,       0.285178
2012-01-03 20:00:00,       0.315537
2012-01-03 22:00:00,         0.3443
2012-01-04 00:00:00,       0.548556
2012-01-04 02:00:00,       0.778067
2012-01-04 04:00:00,       0.831116
2012-01-04 06:00:00,       0.792433
2012-01-04 08:00:00,       0.737921
2012-01-04 10:00:00,        0.78114
2012-01-04 12:00:00,         1.0783
2012-01-04 14:00:00,        1.16952
2012-01-04 16:00:00,       0.964268
2012-01-04 18:00:00,       0.745851
2012-01-04 20:00:00,       0.575829
2012-01-04 22:00:00,       0.457267
2012-01-05 00:00:00,       0.383445
2012-01-05 02:00:00,       0.482489
2012-01-05 04:00:00,        0.56339
2012-01-05 06:00:00,       0.488621
2012-01-05 08:00:00,       0.359134
2012-01-05 10:00:00,       0.280599
2012-01-05 12:00:00,       0.368526
2012-01-05 14:00:00,       0.733354
2012-01-05 16:00:00,       0.823953
2012-01-05 18:00:00,       0.633078
2012-01-05 20:00:00,       0.398682
2012-01-05 22:00:00,       0.255369
2012-01-06 00:00:00,       0.240732
2012-01-06 02:00:00,       0.497297
2012-01-06 04:00:00,       0.698606
2012-01-06 06:00:00,       0.704033
2012-01-06 08:00:00,       0.481054
2012-01-06 10:00:00,       0.324052
2012-01-06 12:00:00,       0.283542
2012-01-06 14:00:00,       0.694475
2012-01-06 16:00:00,        1.01107
2012-01-06 18:00:00,       0.965577
2012-01-06 20:00:00,       0.639458
2012-01-06 22:00:00,       0.406689
2012-01-07 00:00:00,       0.327193
2012-01-07 02:00:00,       0.618406
2012-01-07 04:00:00,       0.920365
2012-01-07 06:00:00,       0.993026
2012-01-07 08:00:00,       0.720713
2012-01-07 10:00:00,       0.501554
2012-01-07 12:00:00,        0.40768
2012-01-07 14:00:00,        0.47667
2012-01-07 16:00:00,        0.75317
2012-01-07 18:00:00,       0.752392
2012-01-07 20:00:00,       0.536212
2012-01-07 22:00:00,       0.396125
2012-01-08 00:00:00,       0.330065
2012-01-08 02:00:00,       0.428004
2012-01-08 04:00:00,       0.767498
2012-01-08 06:00:00,        0.90706
2012-01-08 08:00:00,       0.722224
2012-01-08 10:00:00,       0.517095
2012-01-08 12:00:00,       0.410216
2012-01-08 14:00:00,       0.396231
2012-01-08 16:00:00,       0.680755
2012-01-08 18:00:00,         0.8195
2012-01-08 20:00:00,       0.580984
2012-01-08 22:00:00,       0.391323
2012-01-09 00:00:00,       0.288794
2012-01-09 02:00:00,       0.250486
2012-01-09 04:00:00,       0.542118
2012-01-09 06:00:00,       0.750803
2012-01-09 08:00:00,       0.676193
2012-01-09 10:00:00,       0.444447
2012-01-09 12:00:00,       0.307318
2012-01-09 14:00:00,       0.245879
2012-01-09 16:00:00,       0.412131
2012-01-09 18:00:00,       0.634586
2012-01-09 20:00:00,       0.465506
2012-01-09 22:00:00,       0.238268
2012-01-10 00:00:00,       0.139621
2012-01-10 02:00:00,        0.10653
2012-01-10 04:00:00,       0.267429
2012-01-10 06:00:00,       0.564841
2012-01-10 08:00:00,       0.636354
2012-01-10 10:00:00,       0.345691
2012-01-10 12:00:00,       0.182576
2012-01-10 14:00:00,       0.120035
2012-01-10 16:00:00,       0.228211
2012-01-10 18:00:00,       0.597517
2012-01-10 20:00:00,       0.653097
2012-01-10 22:00:00,       0.337145
2012-01-11 00:00:00,       0.183375
2012-01-11 02:00:00,       0.134704
2012-01-11 04:00:00,       0.218561
2012-01-11 06:00:00,       0.615489
2012-01-11 08:00:00,       0.729488
2012-01-11 10:00:00,       0.526378
2012-01-11 12:00:00,       0.330595
2012-01-11 14:00:00,        0.23635
2012-01-11 16:00:00,       0.237634
2012-01-11 18:00:00,       0.593511
2012-01-11 20:00:00,       0.758801
2012-01-11 22:00:00,       0.470507
2012-01-12 00:00:00,       0.271195
2012-01-12 02:00:00,       0.187777
2012-01-12 04:00:00,       0.162469
2012-01-12 06:00:00,       0.505024
2012-01-12 08:00:00,       0.727182
2012-01-12 10:00:00,        0.59928
2012-01-12 12:00:00,       0.383194
2012-01-12 14:00:00,       0.283542
2012-01-12 16:00:00,       0.254859
2012-01-12 18:00:00,       0.546392
2012-01-12 20:00:00,       0.789816
2012-01-12 22:00:00,       0.608908
2012-01-13 00:00:00,       0.379664
2012-01-13 02:00:00,       0.269152
2012-01-13 04:00:00,       0.216906
2012-01-13 06:00:00,        0.41692
2012-01-13 08:00:00,       0.764997
2012-01-13 10:00:00,       0.753669
2012-01-13 12:00:00,       0.468659
2012-01-13 14:00:00,       0.326006
2012-01-13 16:00:00,       0.272371
2012-01-13 18:00:00,       0.427144
2012-01-13 20:00:00,       0.803798
2012-01-13 22:00:00,       0.770268
2012-01-14 00:00:00,       0.456787
2012-01-14 02:00:00,       0.297814
2012-01-14 04:00:00,       0.220229
2012-01-14 06:00:00,       0.198247
2012-01-14 08:00:00,       0.505311
2012-01-14 10:00:00,       0.651761
2012-01-14 12:00:00,       0.368654
2012-01-14 14:00:00,       0.220038
2012-01-14 16:00:00,       0.165544
2012-01-14 18:00:00,       0.174217
2012-01-14 20:00:00,        0.55608
2012-01-14 22:00:00,       0.781446
2012-01-15 00:00:00,        0.48994
2012-01-15 02:00:00,       0.284979
2012-01-15 04:00:00,       0.206106
2012-01-15 06:00:00,       0.169695
2012-01-15 08:00:00,       0.353832
2012-01-15 10:00:00,       0.709019
2012-01-15 12:00:00,       0.507118
2012-01-15 14:00:00,       0.302493
2012-01-15 16:00:00,       0.234425
2012-01-15 18:00:00,       0.209741
2012-01-15 20:00:00,       0.354088
2012-01-15 22:00:00,       0.881144
2012-01-16 00:00:00,       0.670009
2012-01-16 02:00:00,       0.361483
2012-01-16 04:00:00,       0.257116
2012-01-16 06:00:00,       0.208098
2012-01-16 08:00:00,       0.193232
2012-01-16 10:00:00,       0.403892
2012-01-16 12:00:00,       0.394863
2012-01-16 14:00:00,       0.263613
2012-01-16 16:00:00,        0.21992
