date and time,ambient water temperature (oC)
2012-01-01 00:00:00,          25.68
2012-01-01 02:00:00,        25.6329
2012-01-01 04:00:00,        25.5944
2012-01-01 06:00:00,        25.5661
2012-01-01 08:00:00,        25.5563
2012-01-01 10:00:00,        25.5614
2012-01-01 12:00:00,        25.5843
2012-01-01 14:00:00,        25.6084
2012-01-01 16:00:00,        25.6133
2012-01-01 18:00:00,        25.5983
2012-01-01 20:00:00,        25.5693
2012-01-01 22:00:00,        25.5021
2012-01-02 00:00:00,          25.46
2012-01-02 02:00:00,        25.4288
2012-01-02 04:00:00,        25.4011
2012-01-02 06:00:00,        25.3924
2012-01-02 08:00:00,         25.394
2012-01-02 10:00:00,          25.39
2012-01-02 12:00:00,        25.4454
2012-01-02 14:00:00,        25.5063
2012-01-02 16:00:00,        25.5375
2012-01-02 18:00:00,        25.5393
2012-01-02 20:00:00,        25.5187
2012-01-02 22:00:00,          25.48
2012-01-03 00:00:00,        25.4264
2012-01-03 02:00:00,        25.3868
2012-01-03 04:00:00,        25.3591
2012-01-03 06:00:00,        25.3455
2012-01-03 08:00:00,         25.359
2012-01-03 10:00:00,         25.421
2012-01-03 12:00:00,        25.5285
2012-01-03 14:00:00,        25.6242
2012-01-03 16:00:00,         25.668
2012-01-03 18:00:00,        25.6619
2012-01-03 20:00:00,          25.63
2012-01-03 22:00:00,        25.5908
2012-01-04 00:00:00,        25.5441
2012-01-04 02:00:00,        25.4953
2012-01-04 04:00:00,        25.4561
2012-01-04 06:00:00,        25.4356
2012-01-04 08:00:00,        25.4415
2012-01-04 10:00:00,         25.477
2012-01-04 12:00:00,        25.5449
2012-01-04 14:00:00,        25.6061
2012-01-04 16:00:00,        25.6385
2012-01-04 18:00:00,        25.6272
2012-01-04 20:00:00,        25.5902
2012-01-04 22:00:00,        25.5437
2012-01-05 00:00:00,        25.4837
2012-01-05 02:00:00,        25.4221
2012-01-05 04:00:00,        25.3863
2012-01-05 06:00:00,        25.3664
2012-01-05 08:00:00,        25.3541
2012-01-05 10:00:00,        25.3529
2012-01-05 12:00:00,        25.3696
2012-01-05 14:00:00,        25.3762
2012-01-05 16:00:00,        25.3604
2012-01-05 18:00:00,        25.3332
2012-01-05 20:00:00,        25.2888
2012-01-05 22:00:00,        25.2551
2012-01-06 00:00:00,        25.2287
2012-01-06 02:00:00,        25.2307
2012-01-06 04:00:00,        25.2439
2012-01-06 06:00:00,        25.2454
2012-01-06 08:00:00,         25.226
2012-01-06 10:00:00,        25.2302
2012-01-06 12:00:00,        25.2831
2012-01-06 14:00:00,        25.3459
2012-01-06 16:00:00,        25.3288
2012-01-06 18:00:00,        25.3379
2012-01-06 20:00:00,        25.3404
2012-01-06 22:00:00,        25.3244
2012-01-07 00:00:00,        25.3117
2012-01-07 02:00:00,        25.3056
2012-01-07 04:00:00,        25.2576
2012-01-07 06:00:00,        25.2611
2012-01-07 08:00:00,        25.2859
2012-01-07 10:00:00,        25.3407
2012-01-07 12:00:00,        25.4202
2012-01-07 14:00:00,         25.504
2012-01-07 16:00:00,        25.5208
2012-01-07 18:00:00,        25.5369
2012-01-07 20:00:00,        25.5752
2012-01-07 22:00:00,        25.5738
2012-01-08 00:00:00,        25.5549
2012-01-08 02:00:00,        25.5267
2012-01-08 04:00:00,        25.4613
2012-01-08 06:00:00,        25.4376
2012-01-08 08:00:00,        25.4543
2012-01-08 10:00:00,        25.5091
2012-01-08 12:00:00,        25.5489
2012-01-08 14:00:00,        25.5809
2012-01-08 16:00:00,        25.5641
2012-01-08 18:00:00,        25.5187
2012-01-08 20:00:00,        25.5418
2012-01-08 22:00:00,        25.5334
2012-01-09 00:00:00,        25.5169
2012-01-09 02:00:00,        25.4817
2012-01-09 04:00:00,         25.439
2012-01-09 06:00:00,        25.3865
2012-01-09 08:00:00,         25.391
2012-01-09 10:00:00,        25.4434
2012-01-09 12:00:00,        25.4836
2012-01-09 14:00:00,        25.5088
2012-01-09 16:00:00,        25.5094
2012-01-09 18:00:00,        25.4609
2012-01-09 20:00:00,        25.4431
2012-01-09 22:00:00,        25.4191
2012-01-10 00:00:00,        25.3741
2012-01-10 02:00:00,        25.3476
2012-01-10 04:00:00,        25.3114
2012-01-10 06:00:00,         25.292
2012-01-10 08:00:00,        25.2788
2012-01-10 10:00:00,        25.2795
2012-01-10 12:00:00,        25.3036
2012-01-10 14:00:00,        25.3251
2012-01-10 16:00:00,        25.3318
2012-01-10 18:00:00,         25.279
2012-01-10 20:00:00,         25.274
2012-01-10 22:00:00,        25.2679
2012-01-11 00:00:00,        25.2518
2012-01-11 02:00:00,         25.237
2012-01-11 04:00:00,        25.2266
2012-01-11 06:00:00,        25.1733
2012-01-11 08:00:00,        25.2094
2012-01-11 10:00:00,         25.193
2012-01-11 12:00:00,        25.2163
2012-01-11 14:00:00,        25.2414
2012-01-11 16:00:00,         25.257
2012-01-11 18:00:00,        25.2435
2012-01-11 20:00:00,        25.2296
2012-01-11 22:00:00,        25.2169
2012-01-12 00:00:00,        25.1941
2012-01-12 02:00:00,        25.1572
2012-01-12 04:00:00,        25.1429
2012-01-12 06:00:00,        25.1348
2012-01-12 08:00:00,        25.1323
2012-01-12 10:00:00,        25.1698
2012-01-12 12:00:00,        25.2495
2012-01-12 14:00:00,        25.3249
2012-01-12 16:00:00,        25.3758
2012-01-12 18:00:00,        25.3981
2012-01-12 20:00:00,        25.3731
2012-01-12 22:00:00,        25.3852
2012-01-13 00:00:00,        25.3871
2012-01-13 02:00:00,         25.369
2012-01-13 04:00:00,        25.3444
2012-01-13 06:00:00,        25.3389
2012-01-13 08:00:00,        25.2991
2012-01-13 10:00:00,        25.3254
2012-01-13 12:00:00,        25.3861
2012-01-13 14:00:00,         25.409
2012-01-13 16:00:00,        25.4139
2012-01-13 18:00:00,        25.4249
2012-01-13 20:00:00,        25.3908
2012-01-13 22:00:00,        25.3789
2012-01-14 00:00:00,        25.3661
2012-01-14 02:00:00,         25.334
2012-01-14 04:00:00,        25.3044
2012-01-14 06:00:00,        25.2921
2012-01-14 08:00:00,        25.2944
2012-01-14 10:00:00,        25.2851
2012-01-14 12:00:00,        25.3377
2012-01-14 14:00:00,        25.3603
2012-01-14 16:00:00,        25.3946
2012-01-14 18:00:00,        25.4424
2012-01-14 20:00:00,        25.4618
2012-01-14 22:00:00,        25.6628
2012-01-15 00:00:00,        25.4937
2012-01-15 02:00:00,        25.4922
2012-01-15 04:00:00,        25.4596
2012-01-15 06:00:00,        25.5066
2012-01-15 08:00:00,        25.5082
2012-01-15 10:00:00,        25.5881
2012-01-15 12:00:00,        25.5554
2012-01-15 14:00:00,        25.4486
2012-01-15 16:00:00,        25.4626
2012-01-15 18:00:00,        25.5108
2012-01-15 20:00:00,        25.5499
2012-01-15 22:00:00,        25.5848
2012-01-16 00:00:00,        25.5718
2012-01-16 02:00:00,        25.6092
2012-01-16 04:00:00,         25.587
2012-01-16 06:00:00,        25.5534
2012-01-16 08:00:00,        25.5554
2012-01-16 10:00:00,         25.618
2012-01-16 12:00:00,        25.6442
2012-01-16 14:00:00,        25.6171
2012-01-16 16:00:00,        25.6014
2012-01-16 18:00:00,        25.5809
2012-01-16 20:00:00,        25.5489
2012-01-16 22:00:00,        25.5817
2012-01-17 00:00:00,        25.5895
2012-01-17 02:00:00,        25.4996
2012-01-17 04:00:00,          25.44
2012-01-17 06:00:00,          25.41
2012-01-17 08:00:00,        25.3877
2012-01-17 10:00:00,        25.4157
2012-01-17 12:00:00,        25.4677
2012-01-17 14:00:00,        25.4836
2012-01-17 16:00:00,        25.5011
2012-01-17 18:00:00,        25.5156
2012-01-17 20:00:00,        25.5083
2012-01-17 22:00:00,        25.5372
2012-01-18 00:00:00,        25.6198
2012-01-18 02:00:00,         25.654
2012-01-18 04:00:00,        25.6411
2012-01-18 06:00:00,        25.6218
2012-01-18 08:00:00,        25.5641
2012-01-18 10:00:00,        25.5618
2012-01-18 12:00:00,        25.6415
2012-01-18 14:00:00,        25.6982
2012-01-18 16:00:00,        25.6879
2012-01-18 18:00:00,        25.6655
2012-01-18 20:00:00,        25.6172
2012-01-18 22:00:00,        25.5876
2012-01-19 00:00:00,        25.6274
2012-01-19 02:00:00,          25.68
2012-01-19 04:00:00,        25.6872
2012-01-19 06:00:00,        25.6568
2012-01-19 08:00:00,        25.5771
2012-01-19 10:00:00,         25.515
2012-01-19 12:00:00,        25.5632
2012-01-19 14:00:00,        25.6774
2012-01-19 16:00:00,        25.7186
2012-01-19 18:00:00,        25.6951
2012-01-19 20:00:00,        25.6202
2012-01-19 22:00:00,        25.5778
2012-01-20 00:00:00,        25.5822
2012-01-20 02:00:00,        25.6474
2012-01-20 04:00:00,        25.6549
2012-01-20 06:00:00,        25.6427
2012-01-20 08:00:00,          25.63
2012-01-20 10:00:00,        25.5834
2012-01-20 12:00:00,        25.5816
2012-01-20 14:00:00,         25.643
2012-01-20 16:00:00,        25.6724
2012-01-20 18:00:00,        25.6507
2012-01-20 20:00:00,        25.5524
2012-01-20 22:00:00,        25.4738
2012-01-21 00:00:00,        25.4256
2012-01-21 02:00:00,        25.4786
2012-01-21 04:00:00,         25.512
2012-01-21 06:00:00,        25.5383
2012-01-21 08:00:00,        25.5148
2012-01-21 10:00:00,        25.4898
2012-01-21 12:00:00,        25.4971
2012-01-21 14:00:00,        25.5527
2012-01-21 16:00:00,        25.5984
2012-01-21 18:00:00,        25.6009
2012-01-21 20:00:00,        25.5537
2012-01-21 22:00:00,        25.4848
2012-01-22 00:00:00,        25.3931
2012-01-22 02:00:00,        25.4069
